fold_index,accession,job_id,analysis_id,span_aa,wall_seconds,free_mib_before,requirement_mib,peak_allocated_mib,peak_reserved_mib,emitted_pae,served_structure_bytes,served_pae,verdict,at
55,O00631,4443,4444,5,18.86,7043,6357,5364,5490,True,4092,True,ok,2026-09-13T06:02:29
56,O75379,4444,4445,5,18.99,7043,6357,5364,5490,True,3849,True,ok,2026-09-13T06:02:49
57,P13498,4445,4446,5,18.95,7043,6357,5364,5490,True,3444,True,ok,2026-09-13T06:03:09
58,P30273,4446,4447,5,19.22,7043,6357,5364,5490,True,3039,True,ok,2026-09-13T06:03:29
59,P56962,4447,4448,5,19.12,7043,6357,5364,5490,True,3039,True,ok,2026-09-13T06:03:49
60,P60468,4448,4449,5,19.1,7043,6357,5364,5490,True,3687,True,ok,2026-09-13T06:04:09
61,Q01628,4449,4450,5,18.8,7043,6357,5364,5490,True,3363,True,ok,2026-09-13T06:04:28
62,Q01629,4450,4451,5,18.79,7043,6357,5364,5490,True,3363,True,ok,2026-09-13T06:04:48
63,Q13277,4451,4452,5,18.73,7043,6357,5364,5490,True,2715,True,ok,2026-09-13T06:05:07
64,Q14BN4,4452,4453,5,18.84,7043,6357,5364,5490,True,2796,True,ok,2026-09-13T06:05:27
65,Q15011,4453,4454,5,18.93,7043,6357,5364,5490,True,3039,True,ok,2026-09-13T06:05:46
66,Q3MIP1,4454,4455,5,19.1,7043,6357,5364,5490,True,2715,True,ok,2026-09-13T06:06:06
67,Q8WV19,4455,4456,5,18.56,7043,6357,5364,5490,True,2634,True,ok,2026-09-13T06:06:25
68,Q969W0,4456,4457,5,18.89,7043,6357,5364,5490,True,4092,True,ok,2026-09-13T06:06:45
69,Q9GZY6,4457,4458,5,18.83,7043,6357,5364,5490,True,2553,True,ok,2026-09-13T06:07:05
70,Q9P2W9,4458,4459,5,19.04,7043,6357,5364,5490,True,3930,True,ok,2026-09-13T06:07:24
71,Q9ULH0,4459,4460,5,19.04,7043,6357,5364,5490,True,3444,True,ok,2026-09-13T06:07:44
72,O00559,4460,4461,6,19.24,7043,6357,5365,5490,True,3930,True,ok,2026-09-13T06:08:04
73,O94966,4461,4462,6,18.99,7043,6357,5365,5490,True,4659,True,ok,2026-09-13T06:08:24
74,O95210,4462,4463,6,18.82,7043,6357,5365,5490,True,3606,True,ok,2026-09-13T06:08:44
75,O95562,4463,4464,6,18.89,7043,6357,5365,5490,True,4011,True,ok,2026-09-13T06:09:03
76,P55061,4464,4465,6,18.8,7043,6357,5365,5490,True,3849,True,ok,2026-09-13T06:09:23
77,Q5QGT7,4465,4466,6,18.96,7043,6357,5365,5490,True,3930,True,ok,2026-09-13T06:09:42
78,Q7L8C5,4466,4467,6,18.97,7043,6357,5365,5490,True,3525,True,ok,2026-09-13T06:10:02
79,Q86V35,4467,4468,6,18.95,7043,6357,5365,5490,True,3768,True,ok,2026-09-13T06:10:22
80,Q8WZ55,4468,4469,6,18.99,7043,6357,5365,5490,True,4173,True,ok,2026-09-13T06:10:42
81,Q9BV81,4469,4470,6,19.55,7043,6357,5365,5490,True,3525,True,ok,2026-09-13T06:11:02
82,Q9BXU9,4470,4471,6,19.18,7043,6357,5365,5490,True,3768,True,ok,2026-09-13T06:11:22
83,Q9H400,4471,4472,6,19.1,7043,6357,5365,5490,True,3282,True,ok,2026-09-13T06:11:41
84,P10620,4472,4473,7,19.14,7043,6357,5366,5492,True,4497,True,ok,2026-09-13T06:12:01
85,P60059,4473,4474,7,19.13,7043,6357,5366,5492,True,3849,True,ok,2026-09-13T06:12:21
86,Q6PIZ9,4474,4475,7,18.89,7043,6357,5366,5492,True,3444,True,ok,2026-09-13T06:12:41
87,Q86T96,4475,4476,7,18.7,7043,6357,5366,5492,True,5631,True,ok,2026-09-13T06:13:00
88,Q8NFR3,4476,4477,7,18.88,7043,6357,5366,5492,True,4902,True,ok,2026-09-13T06:13:20
89,Q9BWL3,4477,4478,7,18.8,7043,6357,5366,5492,True,4173,True,ok,2026-09-13T06:13:39
90,Q9NTJ5,4478,4479,7,18.96,7043,6357,5366,5492,True,4416,True,ok,2026-09-13T06:13:59
91,Q9NX76,4479,4480,7,19.02,7043,6357,5366,5492,True,3606,True,ok,2026-09-13T06:14:19
92,Q9NZ43,4480,4481,7,18.93,7043,6357,5366,5492,True,4902,True,ok,2026-09-13T06:14:38
93,Q9P2E9,4481,4482,7,18.87,7043,6357,5366,5492,True,4902,True,ok,2026-09-13T06:14:58
94,Q9UBH6,4482,4483,7,18.84,7043,6357,5366,5492,True,4740,True,ok,2026-09-13T06:15:18
95,Q9Y228,4483,4484,7,19.24,7043,6357,5366,5492,True,4659,True,ok,2026-09-13T06:15:38
96,Q9Y673,4484,4485,7,18.96,7043,6357,5366,5490,True,4335,True,ok,2026-09-13T06:15:57
97,O60725,4485,4486,8,19.04,7043,6357,5367,5492,True,4821,True,ok,2026-09-13T06:16:17
98,P49069,4486,4487,8,18.9,7043,6357,5367,5492,True,5469,True,ok,2026-09-13T06:16:37
99,P53816,4487,4488,8,19.11,7043,6357,5367,5492,True,5874,True,ok,2026-09-13T06:16:56
100,Q12981,4488,4489,8,19.05,7043,6357,5367,5492,True,6036,True,ok,2026-09-13T06:17:16
101,Q9BSR8,4489,4490,8,18.68,7043,6357,5367,5492,True,4659,True,ok,2026-09-13T06:17:36
102,Q9BV23,4490,4491,8,18.75,7043,6357,5367,5492,True,5064,True,ok,2026-09-13T06:17:55
103,Q9BVK8,4491,4492,8,18.71,7043,6357,5367,5492,True,5388,True,ok,2026-09-13T06:18:14
104,Q9HCU5,4492,4493,8,19.04,7043,6357,5367,5492,True,4983,True,ok,2026-09-13T06:18:34
105,Q9NWW9,4493,4494,8,18.87,7043,6357,5367,5492,True,5793,True,ok,2026-09-13T06:18:54
106,A6NI61,4494,4495,9,19.14,7043,6357,5367,5492,True,6117,True,ok,2026-09-13T06:19:14
107,O14523,4495,4496,9,19.17,7043,6357,5367,5492,True,5955,True,ok,2026-09-13T06:19:33
108,P20963,4496,4497,9,18.97,7043,6357,5367,5492,True,5712,True,ok,2026-09-13T06:19:53
109,Q15392,4497,4498,9,19.4,7043,6357,5367,5492,True,6603,True,ok,2026-09-13T06:20:13
110,Q8IV31,4498,4499,9,19.7,7043,6357,5367,5492,True,5307,True,ok,2026-09-13T06:20:34
111,Q92813,4499,4500,9,19.75,7043,6357,5367,5492,True,5307,True,ok,2026-09-13T06:20:54
112,Q99720,4500,4501,9,19.2,7043,6357,5367,5492,True,6765,True,ok,2026-09-13T06:21:15
113,Q9HC24,4501,4502,9,19.27,7043,6357,5367,5492,True,6279,True,ok,2026-09-13T06:21:35
114,Q9HDD0,4502,4503,9,19.03,7043,6357,5367,5492,True,6360,True,ok,2026-09-13T06:21:55
115,Q9NRQ2,4503,4504,9,19.17,7043,6357,5367,5492,True,6279,True,ok,2026-09-13T06:22:15
116,Q9UL19,4504,4505,9,19.26,7043,6357,5367,5492,True,6360,True,ok,2026-09-13T06:22:35
117,O43731,4505,4506,10,18.83,7043,6357,5368,5492,True,7818,True,ok,2026-09-13T06:22:54
118,P24390,4506,4507,10,19.1,7043,6357,5368,5492,True,7737,True,ok,2026-09-13T06:23:14
119,P33947,4507,4508,10,19.05,7043,6357,5368,5492,True,7818,True,ok,2026-09-13T06:23:34
120,Q5GH76,4508,4509,10,19.74,7043,6357,5368,5492,True,6441,True,ok,2026-09-13T06:23:54
121,Q6ZSY5,4509,4510,10,20.03,7043,6357,5368,5492,True,6279,True,ok,2026-09-13T06:24:15
122,Q86WV6,4510,4511,10,20.39,7043,6357,5368,5492,True,5955,True,ok,2026-09-13T06:24:36
123,Q8IV45,4511,4512,10,20.08,7043,6357,5368,5492,True,6360,True,ok,2026-09-13T06:24:57
124,Q96D59,4512,4513,10,19.65,7043,6357,5368,5492,True,7089,True,ok,2026-09-13T06:25:17
125,Q9BUV8,4513,4514,10,18.88,7043,6357,5368,5492,True,6765,True,ok,2026-09-13T06:25:37
126,Q9BXJ8,4514,4515,10,18.72,7043,6357,5368,5492,True,6360,True,ok,2026-09-13T06:25:56
127,A8MV81,4515,4516,11,18.82,7043,6357,5369,5494,True,8223,True,ok,2026-09-13T06:26:16
128,B2RUZ4,4516,4517,11,18.73,7043,6357,5369,5494,True,7818,True,ok,2026-09-13T06:26:35
129,O00124,4517,4518,11,18.79,7043,6357,5369,5494,True,7008,True,ok,2026-09-13T06:26:55
130,P21145,4518,4519,11,19.23,7043,6357,5369,5494,True,8304,True,ok,2026-09-13T06:27:15
131,P51809,4519,4520,11,19.18,7043,6357,5369,5494,True,6846,True,ok,2026-09-13T06:27:35
132,P53985,4520,4521,11,18.9,7043,6357,5369,5494,True,7089,True,ok,2026-09-13T06:27:54
133,Q2WGJ8,4521,4522,11,18.91,7043,6357,5369,5494,True,7899,True,ok,2026-09-13T06:28:14
134,Q6ZVE7,4522,4523,11,19.07,7043,6357,5369,5494,True,7494,True,ok,2026-09-13T06:28:34
135,Q8IWU2,4523,4524,11,19.04,7043,6357,5369,5494,True,5469,True,ok,2026-09-13T06:28:54
136,Q8IY26,4524,4525,11,19.02,7043,6357,5369,5494,True,7170,True,ok,2026-09-13T06:29:13
137,Q8N2M4,4525,4526,11,19.18,7043,6357,5369,5494,True,7737,True,ok,2026-09-13T06:29:33
138,Q8N661,4526,4527,11,18.88,7043,6357,5369,5494,True,7089,True,ok,2026-09-13T06:29:53
139,Q99726,4527,4528,11,18.59,7043,6357,5369,5494,True,7656,True,ok,2026-09-13T06:30:12
140,Q9C0E8,4528,4529,11,18.94,7043,6357,5369,5494,True,7008,True,ok,2026-09-13T06:30:32
141,Q9H6X4,4529,4530,11,18.86,7043,6357,5369,5494,True,5874,True,ok,2026-09-13T06:30:51
142,Q9NR82,4530,4531,11,19.03,7043,6357,5369,5494,True,7575,True,ok,2026-09-13T06:31:11
143,Q9Y284,4531,4532,11,18.97,7043,6357,5369,5494,True,7413,True,ok,2026-09-13T06:31:31
144,C9JI98,4532,4533,12,19.38,7043,6357,5369,5494,True,7737,True,ok,2026-09-13T06:31:51
145,O14684,4533,4534,12,19.28,7043,6357,5369,5494,True,6765,True,ok,2026-09-13T06:32:11
146,O75110,4534,4535,12,19.31,7043,6357,5369,5494,True,8061,True,ok,2026-09-13T06:32:31
147,O75907,4535,4536,12,19.02,7043,6357,5369,5494,True,7980,True,ok,2026-09-13T06:32:51
148,P49895,4536,4537,12,18.84,7043,6357,5369,5494,True,7899,True,ok,2026-09-13T06:33:10
149,P56696,4537,4538,12,19.09,7043,6357,5369,5494,True,7575,True,ok,2026-09-13T06:33:30
150,Q2WGJ9,4538,4539,12,18.96,7043,6357,5369,5494,True,6846,True,ok,2026-09-13T06:33:50
151,Q6PIU1,4539,4540,12,18.8,7043,6357,5369,5494,True,7656,True,ok,2026-09-13T06:34:10
152,Q6ZV29,4540,4541,12,18.89,7043,6357,5369,5494,True,7899,True,ok,2026-09-13T06:34:29
153,Q86XL3,4541,4542,12,18.9,7043,6357,5369,5494,True,8061,True,ok,2026-09-13T06:34:49
154,Q8N2K1,4542,4543,12,19.23,7043,6357,5369,5494,True,7980,True,ok,2026-09-13T06:35:09
155,Q8TBA6,4543,4544,12,19.21,7043,6357,5369,5494,True,8142,True,ok,2026-09-13T06:35:29
156,Q9NZQ8,4544,4545,12,19.1,7043,6357,5369,5494,True,7170,True,ok,2026-09-13T06:35:48
157,E9PQX1,4545,4546,13,18.79,7043,6357,5370,5494,True,9519,True,ok,2026-09-13T06:36:08
158,O15162,4546,4547,13,18.94,7043,6357,5370,5496,True,8061,True,ok,2026-09-13T06:36:28
159,O15439,4547,4548,13,18.99,7043,6357,5370,5494,True,9357,True,ok,2026-09-13T06:36:48
160,O43526,4548,4549,13,19.04,7043,6357,5370,5496,True,6684,True,ok,2026-09-13T06:37:07
161,O75923,4549,4550,13,18.75,7043,6357,5370,5494,True,8304,True,ok,2026-09-13T06:37:27
162,Q5BKX6,4550,4551,13,19.09,7043,6357,5370,5494,True,7737,True,ok,2026-09-13T06:37:47
163,Q6PCB7,4551,4552,13,18.7,7043,6357,5370,5496,True,6522,True,ok,2026-09-13T06:38:06
164,Q86UD5,4552,4553,13,18.91,7043,6357,5370,5494,True,8709,True,ok,2026-09-13T06:38:26
165,Q96QT4,4553,4554,13,18.84,7043,6357,5370,5494,True,8709,True,ok,2026-09-13T06:38:45
166,Q9HC10,4554,4555,13,18.66,7043,6357,5370,5494,True,7656,True,ok,2026-09-13T06:39:05
167,O14735,4555,4556,14,18.88,7043,6357,5371,5496,True,8142,True,ok,2026-09-13T06:39:24
168,P41440,4556,4557,14,19.27,7043,6357,5371,5496,True,9600,True,ok,2026-09-13T06:39:44
169,Q4VC39,4557,4558,14,19.08,7043,6357,5371,5496,True,8952,True,ok,2026-09-13T06:40:04
170,Q8N5Y8,4558,4559,14,19.12,7043,6357,5371,5496,True,10086,True,ok,2026-09-13T06:40:24
171,Q8WWP7,4559,4560,14,19.1,7043,6357,5371,5496,True,9195,True,ok,2026-09-13T06:40:44
172,Q9NVV5,4560,4561,14,18.78,7043,6357,5371,5496,True,9600,True,ok,2026-09-13T06:41:03
173,Q9P298,4561,4562,14,18.92,7043,6357,5371,5496,True,9195,True,ok,2026-09-13T06:41:23
174,Q9UKR8,4562,4563,14,18.98,7043,6357,5371,5496,True,8871,True,ok,2026-09-13T06:41:42
175,O00168,4563,4564,15,18.81,7043,6357,5372,5496,True,10572,True,ok,2026-09-13T06:42:02
176,O15269,4564,4565,15,18.89,7043,6357,5372,5496,True,9681,True,ok,2026-09-13T06:42:22
177,O15375,4565,4566,15,18.94,7043,6357,5372,5496,True,10005,True,ok,2026-09-13T06:42:41
178,O95070,4566,4567,15,19.01,7043,6357,5372,5496,True,9195,True,ok,2026-09-13T06:43:01
179,O95237,4567,4568,15,19.24,7043,6357,5372,5496,True,9924,True,ok,2026-09-13T06:43:21
180,P78382,4568,4569,15,19.33,7043,6357,5372,5496,True,10734,True,ok,2026-09-13T06:43:41
181,P98194,4569,4570,15,18.86,7043,6357,5372,5496,True,10977,True,ok,2026-09-13T06:44:00
182,Q5BJH7,4570,4571,15,18.93,7043,6357,5372,5496,True,9276,True,ok,2026-09-13T06:44:20
183,Q6NXT4,4571,4572,15,19.07,7043,6357,5372,5496,True,10329,True,ok,2026-09-13T06:44:40
184,Q76EJ3,4572,4573,15,19.06,7043,6357,5372,5496,True,10167,True,ok,2026-09-13T06:45:00
185,Q8IXU6,4573,4574,15,18.87,7043,6357,5372,5496,True,10815,True,ok,2026-09-13T06:45:19
186,Q8NBD8,4574,4575,15,18.97,7043,6357,5372,5496,True,10815,True,ok,2026-09-13T06:45:39
187,Q8WUD6,4575,4576,15,19.17,7043,6357,5372,5496,True,9519,True,ok,2026-09-13T06:45:59
188,Q9BT88,4576,4577,15,19.08,7043,6357,5372,5496,True,9438,True,ok,2026-09-13T06:46:19
189,Q9NZM1,4577,4578,15,18.75,7043,6357,5372,5496,True,9600,True,ok,2026-09-13T06:46:38
190,Q9Y385,4578,4579,15,19.0,7043,6357,5372,5496,True,11301,True,ok,2026-09-13T06:46:58
191,A2RRL7,4579,4580,16,19.43,7043,6357,5372,5496,True,10329,True,ok,2026-09-13T06:47:18
192,A6NLX4,4580,4581,16,19.29,7043,6357,5372,5496,True,9600,True,ok,2026-09-13T06:47:38
193,O14569,4581,4582,16,19.35,7043,6357,5372,5496,True,10491,True,ok,2026-09-13T06:47:58
194,O43581,4582,4583,16,19.18,7043,6357,5372,5496,True,9681,True,ok,2026-09-13T06:48:18
195,P27449,4583,4584,16,19.0,7043,6357,5372,5496,True,10410,True,ok,2026-09-13T06:48:38
196,P46093,4584,4585,16,18.99,7043,6357,5372,5498,True,12354,True,ok,2026-09-13T06:48:58
197,P51787,4585,4586,16,18.99,7043,6357,5372,5496,True,10167,True,ok,2026-09-13T06:49:17
198,P58550,4586,4587,16,19.11,7043,6357,5372,5496,True,11139,True,ok,2026-09-13T06:49:37
199,Q15743,4587,4588,16,19.24,7043,6357,5372,5496,True,11625,True,ok,2026-09-13T06:49:57
200,Q53HI1,4588,4589,16,19.01,7043,6357,5372,5496,True,12030,True,ok,2026-09-13T06:50:17
201,Q5VWC8,4589,4590,16,19.14,7043,6357,5372,5496,True,10977,True,ok,2026-09-13T06:50:37
202,Q8IY49,4590,4591,16,19.08,7043,6357,5372,5496,True,11382,True,ok,2026-09-13T06:50:57
203,Q8N4S9,4591,4592,16,19.38,7043,6357,5372,5498,True,11787,True,ok,2026-09-13T06:51:17
204,Q8N8Q1,4592,4593,16,19.08,7043,6357,5372,5496,True,10734,True,ok,2026-09-13T06:51:37
205,Q8NBV4,4593,4594,16,19.19,7043,6357,5372,5498,True,9924,True,ok,2026-09-13T06:51:57
206,Q9BQ31,4594,4595,16,19.53,7043,6357,5372,5496,True,10329,True,ok,2026-09-13T06:52:17
207,Q9H2B2,4595,4596,16,19.09,7043,6357,5372,5496,True,10329,True,ok,2026-09-13T06:52:37
208,Q9NWQ8,4596,4597,16,18.95,7043,6357,5372,5498,True,8547,True,ok,2026-09-13T06:52:56
209,Q9Y3P8,4597,4598,16,18.98,7043,6357,5372,5496,True,9357,True,ok,2026-09-13T06:53:16
210,A0AVI4,4598,4599,17,19.17,7043,6357,5373,5498,True,11139,True,ok,2026-09-13T06:53:36
211,A6NM10,4599,4600,17,19.18,7043,6357,5373,5498,True,10977,True,ok,2026-09-13T06:53:56
212,A8MWK0,4600,4601,17,19.4,7043,6357,5373,5498,True,12111,True,ok,2026-09-13T06:54:16
213,O14863,4601,4602,17,19.03,7043,6357,5373,5498,True,11625,True,ok,2026-09-13T06:54:36
214,O43861,4602,4603,17,19.21,7043,6357,5373,5498,True,10653,True,ok,2026-09-13T06:54:56
215,O60427,4603,4604,17,19.15,7043,6357,5373,5498,True,12840,True,ok,2026-09-13T06:55:15
216,Q6UVM3,4604,4605,17,19.18,7043,6357,5373,5498,True,11868,True,ok,2026-09-13T06:55:36
217,Q86V24,4605,4606,17,19.18,7043,6357,5373,5498,True,10572,True,ok,2026-09-13T06:55:56
218,Q8NEC5,4606,4607,17,19.29,7043,6357,5373,5498,True,11544,True,ok,2026-09-13T06:56:16
219,Q8NEW0,4607,4608,17,19.22,7043,6357,5373,5498,True,10815,True,ok,2026-09-13T06:56:36
220,Q8TC26,4608,4609,17,19.16,7043,6357,5373,5498,True,10977,True,ok,2026-09-13T06:56:56
221,Q96A54,4609,4610,17,19.48,7043,6357,5373,5498,True,10815,True,ok,2026-09-13T06:57:16
222,Q96D96,4610,4611,17,19.02,7043,6357,5373,5498,True,10977,True,ok,2026-09-13T06:57:36
223,Q96EC8,4611,4612,17,20.09,7043,6357,5373,5498,True,10653,True,ok,2026-09-13T06:57:57
224,Q96MV8,4612,4613,17,19.13,7043,6357,5373,5498,True,12192,True,ok,2026-09-13T06:58:17
225,Q99442,4613,4614,17,19.22,7043,6357,5373,5498,True,10248,True,ok,2026-09-13T06:58:37
226,Q9H0Q3,4614,4615,17,18.99,7043,6357,5373,5498,True,11868,True,ok,2026-09-13T06:58:57
227,Q9H6D3,4615,4616,17,19.23,7043,6357,5373,5498,True,11058,True,ok,2026-09-13T06:59:17
228,Q9HC97,4616,4617,17,19.18,7043,6357,5373,5498,True,10329,True,ok,2026-09-13T06:59:36
229,Q9UIJ5,4617,4618,17,19.04,7043,6357,5373,5498,True,10167,True,ok,2026-09-13T06:59:57
230,Q9Y4D2,4618,4619,17,19.39,7043,6357,5373,5498,True,10896,True,ok,2026-09-13T07:00:17
231,O43826,4619,4620,18,26.26,7043,6357,5374,5498,True,11463,True,ok,2026-09-13T07:00:44
232,P13164,4620,4621,18,19.07,7043,6357,5374,5498,True,12354,True,ok,2026-09-13T07:01:04
233,P55064,4621,4622,18,19.06,7043,6357,5374,5498,True,10410,True,ok,2026-09-13T07:01:23
234,P59646,4622,4623,18,19.06,7043,6357,5374,5498,True,13164,True,ok,2026-09-13T07:01:43
235,Q09013,4623,4624,18,18.99,7043,6357,5374,5498,True,10977,True,ok,2026-09-13T07:02:03
236,Q14802,4624,4625,18,19.33,7043,6357,5374,5498,True,13083,True,ok,2026-09-13T07:02:23
237,Q3MUY2,4625,4626,18,18.99,7043,6357,5374,5498,True,11139,True,ok,2026-09-13T07:02:43
238,Q53TN4,4626,4627,18,19.1,7043,6357,5374,5498,True,12111,True,ok,2026-09-13T07:03:02
239,Q5W0Z9,4627,4628,18,19.17,7043,6357,5374,5498,True,11301,True,ok,2026-09-13T07:03:22
240,Q86WK9,4628,4629,18,19.52,7043,6357,5374,5498,True,11949,True,ok,2026-09-13T07:03:43
241,Q8IV01,4629,4630,18,19.53,7043,6357,5374,5498,True,10815,True,ok,2026-09-13T07:04:03
242,Q96IW7,4630,4631,18,19.09,7043,6357,5374,5498,True,11544,True,ok,2026-09-13T07:04:23
243,Q99437,4631,4632,18,19.5,7043,6357,5374,5498,True,10086,True,ok,2026-09-13T07:04:43
244,Q9GZP9,4632,4633,18,19.19,7043,6357,5374,5498,True,12435,True,ok,2026-09-13T07:05:03
245,Q9H6F2,4633,4634,18,19.31,7043,6357,5374,5498,True,10896,True,ok,2026-09-13T07:05:23
246,Q9NZ01,4634,4635,18,19.13,7043,6357,5374,5498,True,13083,True,ok,2026-09-13T07:05:43
247,Q9UPI3,4635,4636,18,19.23,7043,6357,5374,5498,True,12516,True,ok,2026-09-13T07:06:03
248,Q9Y5Y0,4636,4637,18,19.09,7043,6357,5374,5498,True,12273,True,ok,2026-09-13T07:06:23
249,O15503,4637,4638,19,19.08,7043,6357,5374,5500,True,12111,True,ok,2026-09-13T07:06:43
