UniProt Name,UniProt Accession,UniProt gene,Ensembl Gene,CD,CSPA category,main functional class,Surfy,Surfy Score,surfy_class,uniprot_status,uniprot_current_accession,uniprot_current_entry_name,uniprot_primary_gene,gene_symbol_changed,foldable,class_conflict
1B82_HUMAN,Q29718,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7904,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1C01_HUMAN,P30499,HLA-C,ENSG00000237022,,NA,Miscellaneous,surface,0.9242,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C02_HUMAN,P30501,HLA-C,ENSG00000228299,,NA,Miscellaneous,surface,0.9162,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C03_HUMAN,P04222,HLA-C,ENSG00000225691,,1,Miscellaneous,surface,0.8144,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C04_HUMAN,P30504,HLA-C,ENSG00000206435;ENSG00000206452,,NA,Miscellaneous,surface,0.8244,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C05_HUMAN,Q9TNN7,HLA-C,ENSG00000206435;ENSG00000206452,,NA,Miscellaneous,surface,0.8104,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C06_HUMAN,Q29963,HLA-C,ENSG00000228299,,NA,Miscellaneous,surface,0.8184,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C07_HUMAN,P10321,HLA-C,ENSG00000204525,,1,Miscellaneous,surface,0.8124,surface,active_reviewed,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C08_HUMAN,P30505,HLA-C,ENSG00000206435;ENSG00000206452,,NA,Miscellaneous,surface,0.8224,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C12_HUMAN,P30508,HLA-C,ENSG00000228299,,NA,Miscellaneous,surface,0.9062,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C14_HUMAN,P30510,HLA-C,ENSG00000237022,,1,Miscellaneous,surface,0.9222,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C15_HUMAN,Q07000,HLA-C,ENSG00000206435;ENSG00000206452,,NA,Miscellaneous,surface,0.8084,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C16_HUMAN,Q29960,HLA-C,ENSG00000237022,,1,Miscellaneous,surface,0.7953,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C17_HUMAN,Q95604,HLA-C,ENSG00000206435;ENSG00000206452,,NA,Miscellaneous,surface,0.8423,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
1C18_HUMAN,Q29865,HLA-C,ENSG00000228299,,NA,Miscellaneous,surface,0.8244,surface,merged,P10321,HLAC_HUMAN,HLA-C,no,yes,no
2B11_HUMAN,P04229,HLA-DRB1,ENSG00000196126,,NA,Miscellaneous,surface,0.9361,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B13_HUMAN,P01912,HLA-DRB1,ENSG00000206306;ENSG00000206240,,NA,Miscellaneous,surface,0.9281,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B14_HUMAN,P13760,HLA-DRB1,ENSG00000228080,,1,Miscellaneous,surface,0.8641,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B17_HUMAN,P13761,HLA-DRB1,ENSG00000229074;ENSG00000236884,,1,Miscellaneous,surface,0.9381,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B18_HUMAN,Q30134,HLA-DRB1,ENSG00000206306;ENSG00000206240,,NA,Miscellaneous,surface,0.9202,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B19_HUMAN,Q9TQE0,HLA-DRB1,ENSG00000229074;ENSG00000236884,,NA,Miscellaneous,surface,0.9441,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B1A_HUMAN,Q30167,HLA-DRB1,ENSG00000228080,,NA,Miscellaneous,surface,0.9401,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B1B_HUMAN,P20039,HLA-DRB1,ENSG00000206306;ENSG00000206240,,NA,Miscellaneous,surface,0.8922,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B1C_HUMAN,Q95IE3,HLA-DRB1,ENSG00000206306;ENSG00000206240;ENSG00000228080,,NA,Miscellaneous,surface,0.9261,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B1D_HUMAN,Q5Y7A7,HLA-DRB1,ENSG00000206306;ENSG00000206240,,NA,Miscellaneous,surface,0.9202,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B1E_HUMAN,Q9GIY3,HLA-DRB1,ENSG00000206306;ENSG00000196126;ENSG00000206240;ENSG00000228080,,NA,Miscellaneous,surface,0.9182,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B1F_HUMAN,P01911,HLA-DRB1,ENSG00000196126,,NA,Miscellaneous,surface,0.9301,surface,active_reviewed,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
2B1G_HUMAN,Q29974,HLA-DRB1,ENSG00000196126,,NA,Miscellaneous,surface,0.9301,surface,merged,P01911,DRB1_HUMAN,HLA-DRB1,no,yes,no
3BHS1_HUMAN,P14060,HSD3B1,ENSG00000203857,,NA,Enzymes,nonsurface,0.142,non_surface,active_reviewed,P14060,3BHS1_HUMAN,HSD3B1,no,yes,no
3BHS2_HUMAN,P26439,HSD3B2,ENSG00000203859,,NA,Enzymes,nonsurface,0.0699,non_surface,active_reviewed,P26439,3BHS2_HUMAN,HSD3B2,no,yes,no
3BHS7_HUMAN,Q9H2F3,HSD3B7,ENSG00000099377,,NA,Enzymes,nonsurface,0.0773,non_surface,active_reviewed,Q9H2F3,3BHS7_HUMAN,HSD3B7,no,yes,no
4F2_HUMAN,P08195,SLC3A2,ENSG00000168003,CD98,1,Transporters,surface,0.694,surface,active_reviewed,P08195,4F2_HUMAN,SLC3A2,no,yes,no
5HT1A_HUMAN,P08908,HTR1A,ENSG00000178394,,NA,Receptors,surface,0.9742,surface,active_reviewed,P08908,5HT1A_HUMAN,HTR1A,no,yes,no
5HT1B_HUMAN,P28222,HTR1B,ENSG00000135312,,NA,Receptors,surface,0.9541,surface,active_reviewed,P28222,5HT1B_HUMAN,HTR1B,no,yes,no
5HT1D_HUMAN,P28221,HTR1D,ENSG00000179546,,1,Receptors,surface,0.9572,surface,active_reviewed,P28221,5HT1D_HUMAN,HTR1D,no,yes,no
5HT1E_HUMAN,P28566,HTR1E,ENSG00000168830,,NA,Receptors,surface,0.9641,surface,active_reviewed,P28566,5HT1E_HUMAN,HTR1E,no,yes,no
5HT1F_HUMAN,P30939,HTR1F,ENSG00000179097,,NA,Receptors,surface,0.9401,surface,active_reviewed,P30939,5HT1F_HUMAN,HTR1F,no,yes,no
5HT2A_HUMAN,P28223,HTR2A,ENSG00000102468,,NA,Receptors,surface,0.9641,surface,active_reviewed,P28223,5HT2A_HUMAN,HTR2A,no,yes,no
5HT2B_HUMAN,P41595,HTR2B,ENSG00000135914,,1,Receptors,surface,0.8852,surface,active_reviewed,P41595,5HT2B_HUMAN,HTR2B,no,yes,no
5HT2C_HUMAN,P28335,HTR2C,ENSG00000147246,,NA,Receptors,surface,0.8323,surface,active_reviewed,P28335,5HT2C_HUMAN,HTR2C,no,yes,no
5HT3A_HUMAN,P46098,HTR3A,ENSG00000166736,,NA,Transporters,surface,0.8703,surface,active_reviewed,P46098,5HT3A_HUMAN,HTR3A,no,yes,no
5HT3B_HUMAN,O95264,HTR3B,ENSG00000149305,,NA,Transporters,surface,0.8124,surface,active_reviewed,O95264,5HT3B_HUMAN,HTR3B,no,yes,no
5HT3C_HUMAN,Q8WXA8,HTR3C,ENSG00000178084,,NA,Transporters,surface,0.7505,surface,active_reviewed,Q8WXA8,5HT3C_HUMAN,HTR3C,no,yes,no
5HT3D_HUMAN,Q70Z44,HTR3D,ENSG00000186090,,NA,Transporters,surface,0.8184,surface,active_reviewed,Q70Z44,5HT3D_HUMAN,HTR3D,no,yes,no
5HT3E_HUMAN,A5X5Y0,HTR3E,ENSG00000186038,,NA,Transporters,surface,0.7365,surface,active_reviewed,A5X5Y0,5HT3E_HUMAN,HTR3E,no,yes,no
5HT4R_HUMAN,Q13639,HTR4,ENSG00000164270,,NA,Receptors,surface,0.9661,surface,active_reviewed,Q13639,5HT4R_HUMAN,HTR4,no,yes,no
5HT5A_HUMAN,P47898,HTR5A,ENSG00000157219,,NA,Receptors,surface,0.9341,surface,active_reviewed,P47898,5HT5A_HUMAN,HTR5A,no,yes,no
5HT6R_HUMAN,P50406,HTR6,ENSG00000158748,,NA,Receptors,surface,0.9305,surface,active_reviewed,P50406,5HT6R_HUMAN,HTR6,no,yes,no
5HT7R_HUMAN,P34969,HTR7,ENSG00000148680,,NA,Receptors,surface,0.9444,surface,active_reviewed,P34969,5HT7R_HUMAN,HTR7,no,yes,no
5NT3A_HUMAN,Q9H0P0,NT5C3A,ENSG00000122643,,NA,,,0.2555,unclassified,active_reviewed,Q9H0P0,5NT3A_HUMAN,NT5C3A,no,yes,no
5NTD_HUMAN,P21589,NT5E,ENSG00000135318,CD73,1,Enzymes,surface,0.6607,surface,active_reviewed,P21589,5NTD_HUMAN,NT5E,no,yes,no
68MP_HUMAN,P56378,MP68,ENSG00000156411,,NA,Unclassified,nonsurface,0.1138,non_surface,active_reviewed,P56378,ATP68_HUMAN,ATP5MJ,yes,yes,no
7B2_HUMAN,P05408,SCG5,ENSG00000166922;ENSG00000277614,,NA,,,0.3074,unclassified,active_reviewed,P05408,7B2_HUMAN,SCG5,no,yes,no
A1AG1_HUMAN,P02763,ORM1,ENSG00000229314,,1,,,0.6866,unclassified,active_reviewed,P02763,A1AG1_HUMAN,ORM1,no,yes,no
A1AG2_HUMAN,P19652,ORM2,ENSG00000228278,,NA,,,0.7026,unclassified,active_reviewed,P19652,A1AG2_HUMAN,ORM2,no,yes,no
A1ATR_HUMAN,P20848,SERPINA2,,,NA,,,0.6966,unclassified,active_reviewed,P20848,A1ATR_HUMAN,SERPINA2,no,yes,no
A1AT_HUMAN,P01009,SERPINA1,ENSG00000197249,,1,,,0.6427,unclassified,active_reviewed,P01009,A1AT_HUMAN,SERPINA1,no,yes,no
A1BG_HUMAN,P04217,A1BG,ENSG00000121410,,NA,,,0.7365,unclassified,active_reviewed,P04217,A1BG_HUMAN,A1BG,no,yes,no
A2AP_HUMAN,P08697,SERPINF2,ENSG00000167711;ENSG00000276838,,NA,,,0.7246,unclassified,active_reviewed,P08697,A2AP_HUMAN,SERPINF2,no,yes,no
A2GL_HUMAN,P02750,LRG1,ENSG00000171236,,NA,,,0.7226,unclassified,active_reviewed,P02750,A2GL_HUMAN,LRG1,no,yes,no
A2MG_HUMAN,P01023,A2M,ENSG00000175899,,1,,,0.7166,unclassified,active_reviewed,P01023,A2MG_HUMAN,A2M,no,yes,no
A2ML1_HUMAN,A8K2U0,A2ML1,ENSG00000166535,,NA,,,0.7605,unclassified,active_reviewed,A8K2U0,A2ML1_HUMAN,A2ML1,no,yes,no
A4GAT_HUMAN,Q9NPC4,A4GALT,ENSG00000128274,,2,Enzymes,nonsurface,0.1397,non_surface,active_reviewed,Q9NPC4,A4GAT_HUMAN,A4GALT,no,yes,no
A4GCT_HUMAN,Q9UNA3,A4GNT,ENSG00000118017,,NA,,nonsurface,0.1949,non_surface,active_reviewed,Q9UNA3,A4GCT_HUMAN,A4GNT,no,yes,no
A4_HUMAN,P05067,APP,ENSG00000142192,,NA,Unclassified,surface,0.8144,surface,active_reviewed,P05067,A4_HUMAN,APP,no,yes,no
AA1R_HUMAN,P30542,ADORA1,ENSG00000163485,,1,Receptors,surface,0.9512,surface,active_reviewed,P30542,AA1R_HUMAN,ADORA1,no,yes,no
AA2AR_HUMAN,P29274,ADORA2A,ENSG00000128271,,NA,Receptors,surface,0.8663,surface,active_reviewed,P29274,AA2AR_HUMAN,ADORA2A,no,yes,no
AA2BR_HUMAN,P29275,ADORA2B,ENSG00000170425,,NA,Receptors,surface,0.9787,surface,active_reviewed,P29275,AA2BR_HUMAN,ADORA2B,no,yes,no
AA3RB_HUMAN,Q6P2N6,ADORA3,ENSG00000121933,,NA,Receptors,nonsurface,0.2275,non_surface,merged,P0DMS9,TMIG3_HUMAN,TMIGD3,yes,yes,no
AA3R_HUMAN,P33765,ADORA3,ENSG00000121933,,NA,,surface,0.8882,surface,inactive,P33765,,,,no,no
AAA1_HUMAN,Q9NS82,SLC7A10,,,NA,Transporters,surface,0.6487,surface,active_reviewed,Q9NS82,AAA1_HUMAN,SLC7A10,no,yes,no
AAAD_HUMAN,P22760,AADAC,ENSG00000114771,,NA,Enzymes,nonsurface,0.0483,non_surface,active_reviewed,P22760,AAAD_HUMAN,AADAC,no,yes,no
AAAT_HUMAN,Q15758,SLC1A5,ENSG00000105281,,2,Transporters,surface,0.8104,surface,active_reviewed,Q15758,AAAT_HUMAN,SLC1A5,no,yes,no
AACS_HUMAN,Q86V21,AACS,ENSG00000081760,,NA,,nonsurface,0.1876,non_surface,active_reviewed,Q86V21,AACS_HUMAN,AACS,no,yes,no
AACT_HUMAN,P01011,SERPINA3,ENSG00000273259;ENSG00000196136,,1,,,0.6647,unclassified,active_reviewed,P01011,AACT_HUMAN,SERPINA3,no,yes,no
AAGAB_HUMAN,Q6PD74,AAGAB,ENSG00000103591,,NA,,,0.485,unclassified,active_reviewed,Q6PD74,AAGAB_HUMAN,AAGAB,no,yes,no
AATM_HUMAN,P00505,GOT2,ENSG00000125166,,NA,,,0.3293,unclassified,active_reviewed,P00505,AATM_HUMAN,GOT2,no,yes,no
AB17A_HUMAN,Q96GS6,ABHD17A,ENSG00000129968,,NA,,,0.3912,unclassified,active_reviewed,Q96GS6,AB17A_HUMAN,ABHD17A,no,yes,no
AB17B_HUMAN,Q5VST6,ABHD17B,ENSG00000107362,,NA,,,0.3573,unclassified,active_reviewed,Q5VST6,AB17B_HUMAN,ABHD17B,no,yes,no
ABCA1_HUMAN,O95477,ABCA1,ENSG00000165029,,2,Transporters,surface,0.8842,surface,active_reviewed,O95477,ABCA1_HUMAN,ABCA1,no,yes,no
ABCA2_HUMAN,Q9BZC7,ABCA2,ENSG00000107331,,2,Transporters,surface,0.9102,surface,active_reviewed,Q9BZC7,ABCA2_HUMAN,ABCA2,no,yes,no
ABCA3_HUMAN,Q99758,ABCA3,ENSG00000167972,,NA,Transporters,surface,0.5968,surface,active_reviewed,Q99758,ABCA3_HUMAN,ABCA3,no,yes,no
ABCA4_HUMAN,P78363,ABCA4,ENSG00000198691,,NA,Transporters,surface,0.8603,surface,active_reviewed,P78363,ABCA4_HUMAN,ABCA4,no,yes,no
ABCA5_HUMAN,Q8WWZ7,ABCA5,ENSG00000154265,,2,Transporters,surface,0.6727,surface,active_reviewed,Q8WWZ7,ABCA5_HUMAN,ABCA5,no,yes,no
ABCA6_HUMAN,Q8N139,ABCA6,ENSG00000154262,,NA,Transporters,surface,0.8104,surface,active_reviewed,Q8N139,ABCA6_HUMAN,ABCA6,no,yes,no
ABCA7_HUMAN,Q8IZY2,ABCA7,ENSG00000064687,,1,Transporters,surface,0.7778,surface,active_reviewed,Q8IZY2,ABCA7_HUMAN,ABCA7,no,yes,no
ABCA8_HUMAN,O94911,ABCA8,ENSG00000141338,,1,Transporters,surface,0.7396,surface,active_reviewed,O94911,ABCA8_HUMAN,ABCA8,no,yes,no
ABCA9_HUMAN,Q8IUA7,ABCA9,ENSG00000154258,,NA,Transporters,surface,0.7345,surface,active_reviewed,Q8IUA7,ABCA9_HUMAN,ABCA9,no,yes,no
ABCAA_HUMAN,Q8WWZ4,ABCA10,ENSG00000154263,,NA,Transporters,,0.5449,unclassified,active_reviewed,Q8WWZ4,ABCAA_HUMAN,ABCA10,no,yes,no
ABCAC_HUMAN,Q86UK0,ABCA12,ENSG00000144452,,NA,Transporters,surface,0.8124,surface,active_reviewed,Q86UK0,ABCAC_HUMAN,ABCA12,no,yes,no
ABCAD_HUMAN,Q86UQ4,ABCA13,ENSG00000179869,,NA,Transporters,surface,0.7784,surface,active_reviewed,Q86UQ4,ABCAD_HUMAN,ABCA13,no,yes,no
ABCB5_HUMAN,Q2M3G0,ABCB5,ENSG00000004846,,NA,Transporters,surface,0.7166,surface,active_reviewed,Q2M3G0,ABCB5_HUMAN,ABCB5,no,yes,no
ABCB6_HUMAN,Q9NP58,ABCB6,ENSG00000115657,,NA,Transporters,,0.4271,unclassified,active_reviewed,Q9NP58,ABCB6_HUMAN,ABCB6,no,yes,no
ABCB7_HUMAN,O75027,ABCB7,ENSG00000131269,,NA,Transporters,nonsurface,0.3932,non_surface,active_reviewed,O75027,ABCB7_HUMAN,ABCB7,no,yes,no
ABCB8_HUMAN,Q9NUT2,ABCB8,ENSG00000197150,,NA,Transporters,nonsurface,0.1537,non_surface,active_reviewed,Q9NUT2,MITOS_HUMAN,ABCB8,no,yes,no
ABCB9_HUMAN,Q9NP78,ABCB9,ENSG00000150967,,NA,Transporters,surface,0.8403,surface,active_reviewed,Q9NP78,ABCB9_HUMAN,ABCB9,no,yes,no
ABCBA_HUMAN,Q9NRK6,ABCB10,ENSG00000135776,,NA,Transporters,nonsurface,0.1613,non_surface,active_reviewed,Q9NRK6,ABCBA_HUMAN,ABCB10,no,yes,no
ABCBB_HUMAN,O95342,ABCB11,ENSG00000073734,,NA,Transporters,surface,0.8663,surface,active_reviewed,O95342,ABCBB_HUMAN,ABCB11,no,yes,no
ABCC8_HUMAN,Q09428,ABCC8,ENSG00000006071,,NA,Transporters,,0.5529,unclassified,active_reviewed,Q09428,ABCC8_HUMAN,ABCC8,no,yes,no
ABCC9_HUMAN,O60706,ABCC9,ENSG00000069431,,NA,Transporters,surface,0.8184,surface,active_reviewed,O60706,ABCC9_HUMAN,ABCC9,no,yes,no
ABCCB_HUMAN,Q96J66,ABCC11,ENSG00000121270,,NA,Transporters,surface,0.6727,surface,active_reviewed,Q96J66,MRP8_HUMAN,ABCC11,no,yes,no
ABCCD_HUMAN,Q9NSE7,ABCC13,,,NA,Unclassified,nonsurface,0.1557,non_surface,inactive,Q9NSE7,,,,no,no
