census_accession,span_aa,span_start,span_end,source,n_domain_chain,n_repeat_chain,n_domainlike_chain,n_domains_wholly_inside_the_V2_span,n_domains_straddling_the_span_boundary,n_domains_wholly_outside_the_span,n_unknown_coordinates,residues_in_domains,residues_in_span_not_in_any_domain,buckets_sum_ok,fetched_on,source_release,status
Q96PZ7,3461,27,3487,uniprot,42,0,42,42,0,0,0,3218,243,True,cache,181,ok
Q9UMZ3,1912,36,1947,uniprot,19,0,19,18,0,1,0,1650,262,True,cache,157,ok
Q6N022,2403,367,2769,uniprot,9,28,37,36,0,1,0,992,1411,True,cache,166,ok
Q7Z408,3408,1,3408,uniprot,40,0,40,40,0,0,0,3097,311,True,cache,172,ok
O75051,1203,35,1237,uniprot,5,0,5,5,0,0,0,837,366,True,cache,186,ok
O75581,1351,20,1370,uniprot,7,20,27,27,0,0,0,1142,209,True,cache,211,ok
P78357,1264,20,1283,uniprot,8,0,8,8,0,0,0,1050,214,True,cache,211,ok
Q9HCM2,1214,24,1237,uniprot,8,0,8,8,0,0,0,1005,209,True,cache,183,ok
Q9NZR2,4420,25,4444,uniprot,54,34,88,88,0,0,0,3619,801,True,cache,195,ok
Q92673,2056,82,2137,uniprot,19,10,29,29,0,0,0,1911,145,True,cache,233,ok
Q8TEM1,1782,27,1808,uniprot,1,0,1,1,0,0,0,74,1708,True,cache,180,ok
Q9UHC6,1235,28,1262,uniprot,8,0,8,8,0,0,0,1061,174,True,cache,224,ok
Q13018,1377,21,1397,uniprot,10,0,10,10,0,0,0,1142,235,True,cache,189,ok
Q04721,1652,26,1677,uniprot,35,9,44,38,0,6,0,1446,206,True,cache,259,ok
O75096,1705,21,1725,uniprot,11,20,31,31,0,0,0,1280,425,True,cache,200,ok
Q9NYQ7,2508,33,2540,uniprot,21,0,21,21,0,0,0,1840,668,True,cache,213,ok
Q16706,1118,27,1144,uniprot,0,0,0,0,0,0,0,0,1118,True,cache,208,ok
Q9UIW2,1218,27,1244,uniprot,5,0,5,5,0,0,0,854,364,True,cache,182,ok
Q96QU1,1350,27,1376,uniprot,11,0,11,11,0,0,0,1206,144,True,cache,204,ok
P32004,1101,20,1120,uniprot,11,0,11,11,0,0,0,1020,81,True,cache,249,ok
O94779,1053,19,1071,uniprot,10,0,10,10,0,0,0,911,142,True,cache,181,ok
Q96JQ0,2898,43,2940,uniprot,27,0,27,27,0,0,0,2868,30,True,cache,181,ok
O60469,1578,18,1595,uniprot,16,0,16,16,0,0,0,1491,87,True,cache,218,ok
Q685J3,4368,26,4393,uniprot,2,59,61,61,0,0,0,3622,746,True,cache,161,ok
Q8WXI7,14451,1,14451,uniprot,16,12,28,28,0,0,0,2330,12121,True,cache,163,ok
O60449,1639,28,1666,uniprot,12,0,12,12,0,0,0,1386,253,True,cache,204,ok
Q9P2S2,1608,29,1636,uniprot,9,0,9,9,0,0,0,1240,368,True,cache,208,ok
P09848,1863,20,1882,uniprot,0,0,0,0,0,0,0,0,1863,True,cache,219,ok
O15031,1178,20,1197,uniprot,4,0,4,4,0,0,0,734,444,True,cache,199,ok
Q86XX4,3875,27,3901,uniprot,11,26,37,37,0,0,0,2740,1135,True,cache,191,ok
Q9BZZ2,1622,20,1641,uniprot,17,0,17,17,0,0,0,1524,98,True,cache,203,ok
Q9H251,3041,24,3064,uniprot,27,0,27,27,0,0,0,2928,113,True,cache,222,ok
Q14517,4160,22,4181,uniprot,39,0,39,39,0,0,0,3826,334,True,cache,218,ok
Q9BZ76,1220,26,1245,uniprot,8,0,8,8,0,0,0,1137,83,True,cache,203,ok
Q99466,1424,24,1447,uniprot,29,8,37,32,0,5,0,1243,181,True,cache,237,ok
O75578,1100,23,1122,uniprot,1,7,8,8,0,0,0,595,505,True,cache,207,ok
A6NMS7,1547,36,1582,uniprot,0,5,5,5,0,0,0,110,1437,True,cache,133,ok
P46531,1717,19,1735,uniprot,36,9,45,39,0,6,0,1496,221,True,cache,266,ok
Q9Y493,2740,18,2757,uniprot,17,0,17,16,1,0,0,1751,989,True,cache,197,ok
Q6MZM0,1090,25,1114,uniprot,6,0,6,6,0,0,0,1019,71,True,cache,151,ok
O75445,5011,32,5042,uniprot,47,0,47,47,0,0,0,4366,645,True,cache,201,ok
Q9UKX5,1119,23,1141,uniprot,1,7,8,8,0,0,0,594,525,True,cache,210,ok
Q9Y4C0,1541,28,1568,uniprot,9,0,9,9,0,0,0,1180,361,True,cache,220,ok
Q92824,1629,115,1743,uniprot,3,22,25,25,0,0,0,1487,142,True,cache,226,ok
Q9HCU4,2349,32,2380,uniprot,20,0,20,20,0,0,0,1850,499,True,cache,209,ok
Q5VU97,1060,36,1095,uniprot,3,0,3,3,0,0,0,378,682,True,cache,152,ok
Q6UVK1,2195,30,2224,uniprot,2,15,17,17,0,0,0,1782,413,True,cache,179,ok
Q9C0I4,1524,32,1555,uniprot,18,0,18,18,0,0,0,1216,308,True,cache,134,ok
P08922,1832,28,1859,uniprot,10,0,10,9,0,1,0,908,924,True,cache,231,ok
P08F94,3835,24,3858,uniprot,15,9,24,24,0,0,0,1667,2168,True,cache,121,ok
P43146,1072,26,1097,uniprot,10,0,10,10,0,0,0,948,124,True,cache,225,ok
Q8WY21,1066,34,1099,uniprot,2,5,7,7,0,0,0,726,340,True,cache,180,ok
E2RYF6,1634,27,1660,uniprot,0,0,0,0,0,0,0,0,1634,True,cache,83,ok
Q8WXG9,5879,30,5908,uniprot,36,6,42,42,0,0,0,3934,1945,True,cache,182,ok
Q5VYJ5,2045,32,2076,uniprot,20,0,20,20,0,0,0,1878,167,True,cache,139,ok
P11215,1088,17,1104,uniprot,1,7,8,8,0,0,0,582,506,True,cache,252,ok
Q9ULL4,1211,45,1255,uniprot,8,0,8,8,0,0,0,985,226,True,cache,188,ok
P38570,1108,19,1126,uniprot,1,5,6,6,0,0,0,483,625,True,cache,212,ok
O60309,1546,36,1581,uniprot,0,12,12,12,0,0,0,293,1253,True,cache,170,ok
Q15155,1124,32,1155,uniprot,0,0,0,0,0,0,0,0,1124,True,cache,213,ok
Q9H7T0,1053,1,1053,uniprot,0,0,0,0,0,0,0,0,1053,True,cache,162,ok
Q8TDX9,1748,1,1748,uniprot,5,0,5,4,0,1,0,1212,536,True,cache,184,ok
Q13332,1253,30,1282,uniprot,13,0,13,11,0,2,0,1043,210,True,cache,227,ok
P69849,1124,32,1155,uniprot,0,0,0,0,0,0,0,0,1124,True,cache,159,ok
Q6P1J6,1396,22,1417,uniprot,0,4,4,4,0,0,0,1341,55,True,cache,163,ok
Q9Y219,1054,27,1080,uniprot,18,0,18,18,0,0,0,728,326,True,cache,226,ok
Q6V0I7,4466,39,4504,uniprot,42,0,42,42,0,0,0,4184,282,True,cache,182,ok
Q9BQS7,1087,24,1110,uniprot,6,0,6,6,0,0,0,1002,85,True,cache,189,ok
Q5DID0,1251,22,1272,uniprot,10,0,10,10,0,0,0,889,362,True,cache,158,ok
O60500,1032,23,1054,uniprot,9,0,9,9,0,0,0,863,169,True,cache,210,ok
P23229,1027,24,1050,uniprot,0,7,7,7,0,0,0,422,605,True,cache,242,ok
Q8WYK1,1213,25,1237,uniprot,8,0,8,8,0,0,0,1141,72,True,cache,153,ok
Q9NTG1,1165,20,1184,uniprot,2,0,2,1,0,1,0,699,466,True,cache,178,ok
Q92823,1143,25,1167,uniprot,11,0,11,11,0,0,0,1026,117,True,cache,218,ok
Q13683,1049,34,1082,uniprot,0,10,10,7,0,3,0,425,624,True,cache,223,ok
Q9NYQ6,2448,22,2469,uniprot,21,0,21,21,0,0,0,1877,571,True,cache,222,ok
Q86WI1,4190,21,4210,uniprot,17,9,26,26,0,0,0,1871,2319,True,cache,153,ok
O43157,1471,20,1490,uniprot,4,0,4,4,0,0,0,763,708,True,cache,211,ok
Q96NU0,1220,26,1245,uniprot,8,0,8,8,0,0,0,1144,76,True,cache,171,ok
Q6ZRH7,1030,36,1065,uniprot,0,0,0,0,0,0,0,0,1030,True,cache,146,ok
Q9C0A0,1216,26,1241,uniprot,8,0,8,8,0,0,0,1056,160,True,cache,198,ok
Q5VV63,1178,53,1230,uniprot,11,6,17,17,0,0,0,937,241,True,cache,181,ok
P11717,2264,41,2304,uniprot,15,0,15,15,0,0,0,2174,90,True,cache,251,ok
P22897,1371,19,1389,uniprot,10,0,10,10,0,0,0,1120,251,True,cache,250,ok
Q5SZK8,3067,47,3113,uniprot,5,12,17,17,0,0,0,1706,1361,True,cache,172,ok
Q5JPE7,1124,32,1155,uniprot,0,0,0,0,0,0,0,0,1124,True,cache,166,ok
Q9NR16,1319,41,1359,uniprot,12,0,12,12,0,0,0,1214,105,True,cache,172,ok
P98161,3051,24,3074,uniprot,25,2,27,26,0,1,0,2719,332,True,cache,269,ok
Q8TDW7,4122,33,4154,uniprot,38,0,38,38,0,0,0,3896,226,True,cache,170,ok
Q7Z442,1327,18,1344,uniprot,5,0,5,4,0,1,0,1070,257,True,cache,181,ok
O75197,1353,32,1384,uniprot,7,31,38,38,0,0,0,1143,210,True,cache,223,ok
Q9UKZ4,2380,346,2725,uniprot,9,28,37,36,0,1,0,952,1428,True,cache,184,ok
P17927,1930,42,1971,uniprot,30,0,30,30,0,0,0,1913,17,True,cache,225,ok
Q96PQ0,1028,51,1078,uniprot,2,6,8,8,0,0,0,734,294,True,cache,176,ok
Q8IZF6,2713,28,2740,uniprot,2,0,2,2,0,0,0,357,2356,True,cache,172,ok
P23468,1245,21,1265,uniprot,13,0,13,11,0,2,0,1035,210,True,cache,240,ok
Q9ULI3,1219,30,1248,uniprot,2,0,2,2,0,0,0,78,1141,True,cache,170,ok
Q9UKN1,5364,17,5380,uniprot,2,28,30,30,0,0,0,679,4685,True,cache,153,ok
Q6V1P9,2919,68,2986,uniprot,27,0,27,25,2,0,0,2894,25,True,cache,166,ok
Q9P283,1036,1,1036,uniprot,7,0,7,7,0,0,0,763,273,True,cache,192,ok
Q9NY15,2453,26,2478,uniprot,26,0,26,26,0,0,0,1811,642,True,cache,203,ok
P17301,1103,30,1132,uniprot,1,7,8,8,0,0,0,591,512,True,cache,250,ok
Q9UBG0,1384,31,1414,uniprot,10,0,10,10,0,0,0,1141,243,True,cache,183,ok
Q6YHK3,1398,22,1419,uniprot,0,0,0,0,0,0,0,0,1398,True,cache,164,ok
P20702,1088,20,1107,uniprot,1,7,8,8,0,0,0,576,512,True,cache,222,ok
O75976,1268,32,1299,uniprot,3,0,3,3,0,0,0,895,373,True,cache,209,ok
Q9UPZ6,1560,48,1607,uniprot,19,0,19,19,0,0,0,1230,330,True,cache,163,ok
Q07954,4400,20,4419,uniprot,53,34,87,87,0,0,0,3626,774,True,cache,248,ok
P51805,1201,20,1220,uniprot,5,0,5,5,0,0,0,836,365,True,cache,204,ok
Q6UXC1,1129,23,1151,uniprot,9,0,9,9,0,0,0,1055,74,True,cache,147,ok
Q8TD84,1573,19,1591,uniprot,16,0,16,16,0,0,0,1503,70,True,cache,186,ok
O00533,1058,25,1082,uniprot,10,0,10,10,0,0,0,942,116,True,cache,191,ok
Q7Z7M0,2620,28,2647,uniprot,18,12,30,30,0,0,0,1575,1045,True,cache,196,ok
Q9BZV3,1077,23,1099,uniprot,4,0,4,4,0,0,0,312,765,True,cache,152,ok
Q58EX2,1912,21,1932,uniprot,19,0,19,19,0,0,0,1810,102,True,cache,174,ok
P98164,4398,26,4423,uniprot,42,35,77,77,0,0,0,3158,1240,True,cache,231,ok
O75443,2068,23,2090,uniprot,10,0,10,10,0,0,0,1346,722,True,cache,199,ok
Q9Y4D7,1225,47,1271,uniprot,4,0,4,4,0,0,0,767,458,True,cache,195,ok
Q9NT68,2374,401,2774,uniprot,9,28,37,36,0,1,0,961,1413,True,cache,174,ok
Q9BYE9,1134,21,1154,uniprot,9,0,9,9,0,0,0,1016,118,True,cache,186,ok
Q92859,1072,34,1105,uniprot,10,0,10,10,0,0,0,925,147,True,cache,227,ok
