census_accession,census_class,census_identity_status,source_identifiers,fetch_failed,fetch_error,fetched_on,uniprot_release,span_aa_v1,span_aa,span_start,span_end,span_rule,span_category,no_span_reason,span_boundary_coordinate,terms_unruled,terms_held,guards,parsed_under
Q9BYF1,surface,active,ACE2_HUMAN,false,,2026-08-06,2005-08-02,723,723,18,740,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P22303,surface,active,ACES_HUMAN,false,,2026-08-06,1991-08-01,,556,32,587,gpi_rule_A,,,,,,chain_end_exceeds_anchor,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P12821,surface,active,ACE_HUMAN,false,,2026-08-06,1989-10-01,1227,1227,30,1256,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9GZZ6,surface,active,ACH10_HUMAN,false,,2026-08-06,2001-03-01,213,213,25,237,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q15822,surface,active,ACHA2_HUMAN,false,,2026-08-06,2010-10-05,238,238,27,264,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P32297,surface,active,ACHA3_HUMAN,false,,2026-08-06,2009-07-28,219,219,32,250,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P43681,surface,active,ACHA4_HUMAN,false,,2026-08-06,1996-02-01,223,223,27,249,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P30532,surface,active,ACHA5_HUMAN,false,,2026-08-06,1997-11-01,232,232,23,254,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q15825,surface,active,ACHA6_HUMAN,false,,2026-08-06,1997-11-01,214,214,26,239,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P36544,surface,active,ACHA7_HUMAN,false,,2026-08-06,1997-11-01,211,211,23,233,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UGM1,surface,active,ACHA9_HUMAN,false,,2026-08-06,2010-10-05,216,216,23,238,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P02708,surface,active,ACHA_HUMAN,false,,2026-08-06,2022-05-25,212,212,21,232,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P17787,surface,active,ACHB2_HUMAN,false,,2026-08-06,1990-08-01,213,213,26,238,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q05901,surface,active,ACHB3_HUMAN,false,,2026-08-06,1997-11-01,216,216,22,237,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P30926,surface,active,ACHB4_HUMAN,false,,2026-08-06,1997-11-01,218,218,22,239,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P11230,surface,active,ACHB_HUMAN,false,,2026-08-06,2002-07-11,221,221,24,244,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q07001,surface,active,ACHD_HUMAN,false,,2026-08-06,1994-06-01,224,224,22,245,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q04844,surface,active,ACHE_HUMAN,false,,2026-08-06,1995-11-01,219,219,21,239,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P07510,surface,active,ACHG_HUMAN,false,,2026-08-06,2007-02-20,218,218,23,240,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q16570,surface,active,ACKR1_HUMAN,false,,2026-08-06,2005-06-07,63,63,1,63,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O00590,surface,active,ACKR2_HUMAN,false,,2026-08-06,2002-05-02,50,50,1,50,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P25106,surface,active,ACKR3_HUMAN,false,,2026-08-06,2006-10-03,40,40,1,40,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NPB9,surface,active,ACKR4_HUMAN,false,,2026-08-06,2000-10-01,42,42,1,42,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P11229,surface,active,ACM1_HUMAN,false,,2026-08-06,1990-11-01,22,22,1,22,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08172,surface,active,ACM2_HUMAN,false,,2026-08-06,1988-08-01,20,20,1,20,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P20309,surface,active,ACM3_HUMAN,false,,2026-08-06,1991-02-01,67,67,1,67,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08173,surface,active,ACM4_HUMAN,false,,2026-08-06,2002-09-19,31,31,1,31,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08912,surface,active,ACM5_HUMAN,false,,2026-08-06,1994-06-01,29,29,1,29,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q01718,surface,active,ACTHR_HUMAN,false,,2026-08-06,1993-07-01,27,27,1,27,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P36896,surface,active,ACV1B_HUMAN,false,,2026-08-06,1994-06-01,103,103,24,126,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8NER5,surface,active,ACV1C_HUMAN,false,,2026-08-06,2002-10-01,92,92,22,113,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P37023,surface,active,ACVL1_HUMAN,false,,2026-08-06,1998-12-15,97,97,22,118,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q04771,surface,active,ACVR1_HUMAN,false,,2026-08-06,1994-02-01,103,103,21,123,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O14672,surface,active,ADA10_HUMAN,false,,2026-08-06,1998-01-01,653,653,20,672,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O75078,surface,active,ADA11_HUMAN,false,,2026-08-06,2006-10-03,509,509,226,734,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O43184,surface,active,ADA12_HUMAN,false,,2026-08-06,2009-05-05,501,501,208,708,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q13444,surface,active,ADA15_HUMAN,false,,2026-08-06,2010-07-13,490,490,207,696,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P78536,surface,active,ADA17_HUMAN,false,,2026-08-06,1997-05-01,457,457,215,671,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9Y3Q7,surface,active,ADA18_HUMAN,false,,2026-08-06,1999-11-01,511,511,177,687,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H013,surface,active,ADA19_HUMAN,false,,2026-08-06,2010-08-10,497,497,203,699,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P35348,surface,active,ADA1A_HUMAN,false,,2026-08-06,1995-11-01,27,27,1,27,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P35368,surface,active,ADA1B_HUMAN,false,,2026-08-06,2006-10-17,45,45,1,45,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P25100,surface,active,ADA1D_HUMAN,false,,2026-08-06,1995-11-01,95,95,1,95,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O43506,surface,active,ADA20_HUMAN,false,,2026-08-06,2008-11-25,487,487,207,693,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UKJ8,surface,active,ADA21_HUMAN,false,,2026-08-06,2010-05-18,485,485,197,681,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9P0K1,surface,active,ADA22_HUMAN,false,,2026-08-06,2000-10-01,514,514,223,736,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O75077,surface,active,ADA23_HUMAN,false,,2026-08-06,1998-11-01,506,506,287,792,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UKQ2,surface,active,ADA28_HUMAN,false,,2026-08-06,2011-01-11,467,467,199,665,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UKF5,surface,active,ADA29_HUMAN,false,,2026-08-06,2007-04-17,481,481,194,674,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08913,surface,active,ADA2A_HUMAN,false,,2026-08-06,2019-12-11,47,47,1,47,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P18089,surface,active,ADA2B_HUMAN,false,,2026-08-06,2017-03-15,22,22,149,170,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P18825,surface,active,ADA2C_HUMAN,false,,2026-08-06,2002-02-11,48,48,1,48,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UKF2,surface,active,ADA30_HUMAN,false,,2026-08-06,2004-05-10,489,489,199,687,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8TC27,surface,active,ADA32_HUMAN,false,,2026-08-06,2010-05-18,508,508,175,682,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BZ11,surface,active,ADA33_HUMAN,false,,2026-08-06,2002-03-27,672,672,30,701,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q99965,surface,active,ADAM2_HUMAN,false,,2026-08-06,2003-02-01,512,512,175,686,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H2U9,surface,active,ADAM7_HUMAN,false,,2026-08-06,2010-05-18,650,650,19,668,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P78325,surface,active,ADAM8_HUMAN,false,,2026-08-06,2012-10-03,639,639,17,655,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q13443,surface,active,ADAM9_HUMAN,false,,2026-08-06,1996-11-01,669,669,29,697,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q08462,surface,active,ADCY2_HUMAN,false,,2026-08-06,2006-11-28,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O60266,surface,active,ADCY3_HUMAN,false,,2026-08-06,2006-11-28,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95622,surface,active,ADCY5_HUMAN,false,,2026-08-06,2006-11-28,53,53,857,909,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O43306,surface,active,ADCY6_HUMAN,false,,2026-08-06,2001-01-11,60,60,760,819,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P51828,surface,active,ADCY7_HUMAN,false,,2026-08-06,1996-10-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O60503,surface,active,ADCY9_HUMAN,false,,2026-08-06,2002-12-13,34,34,942,975,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86V24,surface,active,ADR2_HUMAN,false,,2026-08-06,2003-06-01,17,17,370,386,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08588,surface,active,ADRB1_HUMAN,false,,2026-08-06,2023-09-13,57,57,1,57,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P07550,surface,active,ADRB2_HUMAN,false,,2026-08-06,2010-05-18,29,29,1,29,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P13945,surface,active,ADRB3_HUMAN,false,,2026-08-06,1994-02-01,39,39,1,39,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6UXC1,surface,active,AEGP_HUMAN,false,,2026-08-06,2007-05-15,1129,1129,23,1151,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P30556,surface,active,AGTR1_HUMAN,false,,2026-08-06,1993-04-01,25,25,1,25,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P50052,surface,active,AGTR2_HUMAN,false,,2026-08-06,1996-10-01,45,45,1,45,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UKB5,surface,active,AJAP1_HUMAN,false,,2026-08-06,2000-05-01,239,239,44,282,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UM73,surface,active,ALK_HUMAN,false,,2026-08-06,2010-05-18,1020,1020,19,1038,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P19021,surface,active,AMD_HUMAN,false,,2026-08-06,2002-09-19,,833,31,863,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86WK6,surface,active,AMGO1_HUMAN,false,,2026-08-06,2003-06-01,345,345,28,372,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86SJ2,surface,active,AMGO2_HUMAN,false,,2026-08-06,2003-06-01,359,359,40,398,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86WK7,surface,active,AMGO3_HUMAN,false,,2026-08-06,2003-06-01,364,364,20,383,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q16671,surface,active,AMHR2_HUMAN,false,,2026-08-06,1996-11-01,132,132,18,149,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BXJ7,surface,active,AMNLS_HUMAN,false,,2026-08-06,2010-05-18,338,338,20,357,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q07075,surface,active,AMPE_HUMAN,false,,2026-08-06,2010-05-18,918,918,40,957,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P15144,surface,active,AMPN_HUMAN,false,,2026-08-06,2007-04-03,935,935,33,967,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9HCJ1,surface,active,ANKH_HUMAN,false,,2026-08-06,2001-11-16,25,25,107,131,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q5XXA6,surface,active,ANO1_HUMAN,false,,2026-08-06,2004-11-23,87,87,806,892,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NQ90,surface,active,ANO2_HUMAN,false,,2026-08-06,2026-01-28,104,104,640,743,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BYT9,surface,active,ANO3_HUMAN,false,,2026-08-06,2010-05-18,100,100,662,761,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q75V66,surface,active,ANO5_HUMAN,false,,2026-08-06,2004-07-05,101,101,579,679,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q4KMQ2,surface,active,ANO6_HUMAN,false,,2026-08-06,2006-10-17,93,93,744,836,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6IWH7,surface,active,ANO7_HUMAN,false,,2026-08-06,2011-05-31,105,105,610,714,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
A1A5B4,surface,active,ANO9_HUMAN,false,,2026-08-06,2015-05-27,108,108,445,552,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P16066,surface,active,ANPRA_HUMAN,false,,2026-08-06,1990-04-01,441,441,33,473,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P20594,surface,active,ANPRB_HUMAN,false,,2026-08-06,1991-02-01,436,436,23,458,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P17342,surface,active,ANPRC_HUMAN,false,,2026-08-06,2003-01-10,455,455,27,481,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H6X2,surface,active,ANTR1_HUMAN,false,,2026-08-06,2001-11-02,289,289,33,321,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P58335,surface,active,ANTR2_HUMAN,false,,2026-08-06,2010-10-05,285,285,34,318,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
A6NF34,surface,active,ANTRL_HUMAN,false,,2026-08-06,2014-05-14,326,326,28,353,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
