census_accession,census_class,census_identity_status,source_identifiers,fetch_failed,fetch_error,fetched_on,uniprot_release,span_aa_v1,span_aa,span_rule,span_category,no_span_reason,span_boundary_coordinate,terms_unruled,terms_held,parsed_under
O95870,non_surface,active,ABHGA_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5T8D3,non_surface,active,ACBD5_HUMAN,false,,2026-08-06,2004-12-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6JQN1,non_surface,active,ACD10_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TDN7,non_surface,active,ACER1_HUMAN,false,,2026-08-06,2002-06-01,,27,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5QJU3,non_surface,active,ACER2_HUMAN,false,,2026-08-06,2006-07-25,,32,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TDX5,non_surface,active,ACMSD_HUMAN,false,,2026-08-06,2002-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O00767,non_surface,active,ACOD_HUMAN,false,,2026-08-06,2002-06-06,,4,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P13798,non_surface,active,ACPH_HUMAN,false,,2026-08-06,2003-11-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q68CK6,non_surface,active,ACS2B_HUMAN,false,,2026-08-06,2010-05-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P33121,non_surface,active,ACSL1_HUMAN,false,,2026-08-06,1993-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O95573,non_surface,active,ACSL3_HUMAN,false,,2026-08-06,2006-10-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O60488,non_surface,active,ACSL4_HUMAN,false,,2026-08-06,2001-04-27,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9ULC5,non_surface,active,ACSL5_HUMAN,false,,2026-08-06,2000-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UKU0,non_surface,active,ACSL6_HUMAN,false,,2026-08-06,2007-03-06,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q08AH1,non_surface,active,ACSM1_HUMAN,false,,2026-08-06,2006-10-31,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75689,non_surface,active,ADAP1_HUMAN,false,,2026-08-06,2008-11-25,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7Z695,non_surface,active,ADCK2_HUMAN,false,,2026-08-06,2003-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96D53,non_surface,active,ADCK4_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q3MIX3,non_surface,active,ADCK5_HUMAN,false,,2026-08-06,2018-09-12,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5VUY2,non_surface,active,ADCL4_HUMAN,false,,2026-08-06,2004-12-07,,382,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96PN6,non_surface,active,ADCYA_HUMAN,false,,2026-08-06,2010-10-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q0VDE8,non_surface,active,ADIG_HUMAN,false,,2026-08-06,2007-02-20,,13,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96A54,non_surface,active,ADR1_HUMAN,false,,2026-08-06,2001-12-01,17,17,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P12235,non_surface,active,ADT1_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P05141,non_surface,active,ADT2_HUMAN,false,,2026-08-06,2011-01-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P12236,non_surface,active,ADT3_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9H0C2,non_surface,active,ADT4_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96IZ2,non_surface,active,ADTRP_HUMAN,false,,2026-08-06,2001-12-01,22,22,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y4W6,non_surface,active,AFG32_HUMAN,false,,2026-08-06,2007-02-20,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5BKT4,non_surface,active,AG10A_HUMAN,false,,2026-08-06,2005-04-12,37,37,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5I7T1,non_surface,active,AG10B_HUMAN,false,,2026-08-06,2010-05-18,37,37,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O95831,non_surface,active,AIFM1_HUMAN,false,,2026-08-06,1999-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NVV5,non_surface,active,AIG1_HUMAN,false,,2026-08-06,2020-10-07,14,14,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q92667,non_surface,active,AKAP1_HUMAN,false,,2026-08-06,1997-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q60I27,non_surface,active,AL2CL_HUMAN,false,,2026-08-06,2004-11-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P51648,non_surface,active,AL3A2_HUMAN,false,,2026-08-06,1996-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P48448,non_surface,active,AL3B2_HUMAN,false,,2026-08-06,2010-02-09,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P20292,non_surface,active,AL5AP_HUMAN,false,,2026-08-06,1992-12-01,,33,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q2TAA5,non_surface,active,ALG11_HUMAN,false,,2026-08-06,2007-07-24,,19,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BV10,non_surface,active,ALG12_HUMAN,false,,2026-08-06,2001-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96F25,non_surface,active,ALG14_HUMAN,false,,2026-08-06,2001-12-01,,3,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BT22,non_surface,active,ALG1_HUMAN,false,,2026-08-06,2005-08-30,,2,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q92685,non_surface,active,ALG3_HUMAN,false,,2026-08-06,1997-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y673,non_surface,active,ALG5_HUMAN,false,,2026-08-06,1999-11-01,,7,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y672,non_surface,active,ALG6_HUMAN,false,,2026-08-06,2017-09-27,,90,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BVK2,non_surface,active,ALG8_HUMAN,false,,2026-08-06,2007-04-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6ZNB7,non_surface,active,ALKMO_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UHK6,non_surface,active,AMACR_HUMAN,false,,2026-08-06,2010-11-30,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UKV5,non_surface,active,AMFR_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P10275,non_surface,active,ANDR_HUMAN,false,,2026-08-06,2016-03-16,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7Z5J8,non_surface,active,ANKAR_HUMAN,false,,2026-08-06,2010-10-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86XL3,non_surface,active,ANKL2_HUMAN,false,,2026-08-06,2009-11-24,,12,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NW15,non_surface,active,ANO10_HUMAN,false,,2026-08-06,2007-05-29,79,79,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BQI6,non_surface,active,ANR32_HUMAN,false,,2026-08-06,2008-07-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86W74,non_surface,active,ANR46_HUMAN,false,,2026-08-06,2020-08-12,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P21397,non_surface,active,AOFA_HUMAN,false,,2026-08-06,1991-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P27338,non_surface,active,AOFB_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96N21,non_surface,active,AP4AT_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9H1A4,non_surface,active,APC1_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96BI3,non_surface,active,APH1A_HUMAN,false,,2026-08-06,2001-12-01,,19,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WW43,non_surface,active,APH1B_HUMAN,false,,2026-08-06,2005-03-15,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96LR9,non_surface,active,APLD1_HUMAN,false,,2026-08-06,2006-07-25,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BQE5,non_surface,active,APOL2_HUMAN,false,,2026-08-06,2022-05-25,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BWW8,non_surface,active,APOL6_HUMAN,false,,2026-08-06,2001-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BUR5,non_surface,active,APOO_HUMAN,false,,2026-08-06,2001-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IVJ8,non_surface,active,APRG1_HUMAN,false,,2026-08-06,2008-11-25,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
F7VJQ1,non_surface,active,APRIO_HUMAN,false,,2026-08-06,2011-09-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q53RT3,non_surface,active,APRV1_HUMAN,false,,2026-08-06,2005-05-24,267,267,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IXF9,non_surface,active,AQ12A_HUMAN,false,,2026-08-06,2003-03-01,33,33,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
A6NM10,non_surface,active,AQ12B_HUMAN,false,,2026-08-06,2007-07-24,17,17,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
A6NL99,non_surface,inactive,AQP73_HUMAN,false,,,,,,,,not fetched: uniprot_inactive,,,,
O14520,non_surface,active,AQP7_HUMAN,false,,2026-08-06,1998-01-01,38,38,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q15041,non_surface,active,AR6P1_HUMAN,false,,2026-08-06,2001-06-20,,28,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N6S5,non_surface,active,AR6P6_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O15013,non_surface,active,ARHGA_HUMAN,false,,2026-08-06,2006-06-27,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N7S6,non_surface,active,ARI2O_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N8L6,non_surface,active,ARL10_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N2F6,non_surface,active,ARM10_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7L311,non_surface,active,ARMX2_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UH62,non_surface,active,ARMX3_HUMAN,false,,2026-08-06,2000-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5H9R4,non_surface,active,ARMX4_HUMAN,false,,2026-08-06,2019-09-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7L4S7,non_surface,active,ARMX6_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5FYA8,non_surface,active,ARSH_HUMAN,false,,2026-08-06,2005-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9H2C2,non_surface,active,ARV1_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P11245,non_surface,active,ARY2_HUMAN,false,,2026-08-06,2022-02-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WXH4,non_surface,active,ASB11_HUMAN,false,,2026-08-06,2002-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WWX0,non_surface,active,ASB5_HUMAN,false,,2026-08-06,2002-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16515,non_surface,active,ASIC2_HUMAN,false,,2026-08-06,1997-11-01,360,360,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5U4P2,non_surface,active,ASPH1_HUMAN,false,,2026-08-06,2008-11-25,,295,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6ICH7,non_surface,active,ASPH2_HUMAN,false,,2026-08-06,2004-07-05,,290,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q12797,non_surface,active,ASPH_HUMAN,false,,2026-08-06,2007-04-17,,684,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y284,non_surface,active,ASTER_HUMAN,false,,2026-08-06,1999-11-01,,11,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WWH4,non_surface,active,ASZ1_HUMAN,false,,2026-08-06,2002-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O94823,non_surface,active,AT10B_HUMAN,false,,2026-08-06,2003-04-30,,30,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P98196,non_surface,active,AT11A_HUMAN,false,,2026-08-06,2006-01-24,31,31,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NB49,non_surface,active,AT11C_HUMAN,false,,2026-08-06,2005-04-12,35,35,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O14983,non_surface,active,AT2A1_HUMAN,false,,2026-08-06,1998-01-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P98194,non_surface,active,AT2C1_HUMAN,false,,2026-08-06,2005-06-21,,15,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75185,non_surface,active,AT2C2_HUMAN,false,,2026-08-06,2018-09-12,398,398,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P05496,non_surface,active,AT5G1_HUMAN,false,,2026-08-06,1994-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q06055,non_surface,active,AT5G2_HUMAN,false,,2026-08-06,1994-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P48201,non_surface,active,AT5G3_HUMAN,false,,2026-08-06,1996-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NTI2,non_surface,active,AT8A2_HUMAN,false,,2026-08-06,2018-09-12,27,27,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O60423,non_surface,active,AT8B3_HUMAN,false,,2026-08-06,2010-10-05,,27,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NBU5,non_surface,active,ATAD1_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86WG3,non_surface,active,ATCAY_HUMAN,false,,2026-08-06,2003-10-31,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NVI7,non_surface,active,ATD3A_HUMAN,false,,2026-08-06,2025-04-09,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P18850,non_surface,active,ATF6A_HUMAN,false,,2026-08-06,2005-05-24,,272,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q99941,non_surface,active,ATF6B_HUMAN,false,,2026-08-06,2002-01-23,,286,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q674R7,non_surface,active,ATG9B_HUMAN,false,,2026-08-06,2004-10-11,,48,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WXF7,non_surface,active,ATLA1_HUMAN,false,,2026-08-06,2002-03-01,,1,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NHH9,non_surface,active,ATLA2_HUMAN,false,,2026-08-06,2007-05-15,,2,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6DD88,non_surface,active,ATLA3_HUMAN,false,,2026-08-06,2004-08-16,,1,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P54710,non_surface,active,ATNG_HUMAN,false,,2026-08-06,2002-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P56385,non_surface,active,ATP5I_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P00846,non_surface,active,ATP6_HUMAN,false,,2026-08-06,1986-07-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P03928,non_surface,active,ATP8_HUMAN,false,,2026-08-06,1986-07-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75110,non_surface,active,ATP9A_HUMAN,false,,2026-08-06,2001-01-24,12,12,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O43861,non_surface,active,ATP9B_HUMAN,false,,2026-08-06,2008-11-25,17,17,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
