census_accession,span_aa,segment_count,extracellular_total_aa,discarded_aa,folded_fraction,topology,segments
Q99795,214,1,214,0,1.000,contiguous,22-235
Q9BXE9,36,4,76,40,0.474,intermittent,1-5;73-92;152-187;250-264
Q8N8F6,3,2,4,1,0.750,intermittent,147-147;194-196
Q8NH95,27,2,45,18,0.600,intermittent,1-27;83-100
Q8NGX8,37,4,104,67,0.356,intermittent,1-30;81-104;166-202;264-276
Q9UGF7,37,4,97,60,0.381,intermittent,1-23;74-97;159-195;258-270
Q02763,726,1,726,0,1.000,contiguous,23-748
Q8IV31,9,1,9,0,1.000,contiguous,26-34
Q86SQ4,825,4,865,40,0.954,intermittent,38-862;925-929;992-1024;1091-1092
Q96IW7,18,2,21,3,0.857,intermittent,209-226;272-274
Q8NGH9,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;260-274
P22760,376,1,376,0,1.000,contiguous,24-399
Q9Y5Z0,453,1,453,0,1.000,contiguous,21-473
Q96JW4,162,6,275,113,0.589,intermittent,1-162;217-245;304-313;369-376;428-469;520-543
Q0P6D2,376,1,376,0,1.000,contiguous,44-419
O94956,104,6,239,135,0.435,intermittent,70-88;141-185;256-273;389-408;461-564;623-655
Q9NZ08,920,1,920,0,1.000,contiguous,22-941
P36897,93,1,93,0,1.000,contiguous,34-126
O95907,23,6,74,51,0.311,intermittent,36-58;107-115;165-172;276-289;336-342;398-410
Q9N2J8,480,1,480,0,1.000,contiguous,36-515
P22888,337,4,391,54,0.862,intermittent,27-363;417-439;506-525;595-605
Q8NGP4,36,4,96,60,0.375,intermittent,1-23;74-97;159-194;257-269
O75022,420,1,420,0,1.000,contiguous,24-443
P05187,483,0,0,0,,no_accepted_segment,
Q96DD7,60,1,60,0,1.000,contiguous,28-87
Q14956,476,1,476,0,1.000,contiguous,23-498
Q6UWH4,464,1,464,0,1.000,contiguous,56-519
O15197,563,1,563,0,1.000,contiguous,32-594
Q03431,160,4,224,64,0.714,intermittent,27-186;242-282;343-357;427-434
P21757,375,1,375,0,1.000,contiguous,77-451
P19256,187,1,187,0,1.000,contiguous,29-215
P24071,206,1,206,0,1.000,contiguous,22-227
Q99941,286,1,286,0,1.000,contiguous,418-703
Q8TCT7,149,5,205,56,0.727,intermittent,26-174;245-248;315-319;370-412;467-470
P78504,1034,1,1034,0,1.000,contiguous,34-1067
O60235,377,1,377,0,1.000,contiguous,42-418
Q7L1I2,124,6,174,50,0.713,intermittent,130-148;204-205;259-277;412-535;587-592;650-653
P51810,28,4,97,69,0.289,intermittent,1-28;100-124;171-191;270-292
Q68CJ9,118,1,118,0,1.000,contiguous,344-461
Q6UWL6,490,1,490,0,1.000,contiguous,21-510
O75023,435,1,435,0,1.000,contiguous,24-458
Q8NH10,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q8NET8,19,4,39,20,0.487,intermittent,461-479;541-545;609-620;647-649
P32245,47,4,73,26,0.644,intermittent,1-47;108-118;189-191;268-279
P0C7N8,41,4,90,49,0.456,intermittent,1-27;86-96;160-200;261-271
P16444,368,0,0,0,,no_accepted_segment,
Q9NRX5,29,5,95,66,0.305,intermittent,61-88;145-151;219-231;281-309;409-426
P06213,731,2,925,194,0.790,intermittent,28-758;763-956
Q9H205,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
Q9BX97,394,1,394,0,1.000,contiguous,49-442
P29320,521,1,521,0,1.000,contiguous,21-541
Q9H6D3,17,4,42,25,0.405,intermittent,34-44;151-161;223-225;302-318
P16473,394,4,439,45,0.897,intermittent,21-414;474-492;559-576;650-657
Q6PK18,254,1,254,0,1.000,contiguous,66-319
Q06418,389,1,389,0,1.000,contiguous,41-429
P34910,181,1,181,0,1.000,contiguous,22-202
Q8NH03,37,4,101,64,0.366,intermittent,1-30;85-105;164-200;265-277
P30825,39,7,127,88,0.307,intermittent,58-61;124-162;213-246;308-337;406-408;514-526;581-584
Q9H902,1,1,1,0,1.000,contiguous,56-56
Q9NYW1,34,4,61,27,0.557,intermittent,1-9;73-86;147-180;258-261
Q8NGC6,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q8N9I0,62,1,62,0,1.000,contiguous,1-62
Q9HBW1,489,1,489,0,1.000,contiguous,39-527
Q16572,71,6,118,47,0.602,intermittent,55-125;174-182;235-242;311-325;378-388;444-447
Q9H158,665,1,665,0,1.000,contiguous,19-683
O95867,80,0,0,0,,no_accepted_segment,
Q6IF63,36,4,106,70,0.340,intermittent,1-30;81-104;166-201;264-279
P43632,224,1,224,0,1.000,contiguous,22-245
Q6NUS8,461,1,461,0,1.000,contiguous,23-483
Q9NX61,70,5,153,83,0.458,intermittent,29-98;156-166;246-263;326-370;471-479
Q4KMZ8,64,2,77,13,0.831,intermittent,22-34;83-146
Q9NYM9,4,1,4,0,1.000,contiguous,108-111
Q9NP60,338,1,338,0,1.000,contiguous,17-354
Q6ZMZ3,29,1,29,0,1.000,contiguous,947-975
Q92819,25,4,66,41,0.379,intermittent,33-45;396-402;451-475;532-552
Q8NH55,30,4,97,67,0.309,intermittent,1-30;78-101;166-195;260-272
Q8NGZ4,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
P78369,59,2,83,24,0.711,intermittent,22-80;137-160
P06127,348,1,348,0,1.000,contiguous,25-372
Q9HCJ1,25,4,41,16,0.610,intermittent,107-131;180-189;348-350;427-429
O15547,273,1,273,0,1.000,contiguous,61-333
Q16586,267,1,267,0,1.000,contiguous,24-290
Q01650,28,6,101,73,0.277,intermittent,71-83;148-169;215-242;298-324;391-395;452-457
Q9UHF3,164,1,164,0,1.000,contiguous,64-227
Q8NG94,44,4,107,63,0.411,intermittent,1-44;94-112;180-216;281-287
O95183,23,1,23,0,1.000,contiguous,94-116
Q96B86,255,0,0,0,,no_accepted_segment,
Q8NGA2,37,4,100,63,0.370,intermittent,1-26;77-100;162-198;260-272
Q96RQ1,265,1,265,0,1.000,contiguous,55-319
Q13873,124,1,124,0,1.000,contiguous,27-150
P23467,1599,1,1599,0,1.000,contiguous,23-1621
Q3MUY2,18,1,18,0,1.000,contiguous,27-44
P08588,57,4,94,37,0.606,intermittent,1-57;122-128;200-221;350-357
Q3SXY7,563,1,563,0,1.000,contiguous,20-582
Q8NGS6,55,4,135,80,0.407,intermittent,1-55;106-129;191-227;289-307
Q93086,268,1,268,0,1.000,contiguous,52-319
Q9HCU0,670,1,670,0,1.000,contiguous,18-687
Q9NRJ7,662,1,662,0,1.000,contiguous,29-690
Q15825,214,1,214,0,1.000,contiguous,26-239
Q96RC9,37,4,98,61,0.378,intermittent,1-25;76-98;160-196;258-270
Q9UKQ2,467,1,467,0,1.000,contiguous,199-665
Q92813,9,1,9,0,1.000,contiguous,1-9
O75144,238,1,238,0,1.000,contiguous,19-256
P12821,1227,1,1227,0,1.000,contiguous,30-1256
P55291,546,1,546,0,1.000,contiguous,61-606
G3V0H7,109,6,260,151,0.419,intermittent,1-16;71-123;181-211;314-329;384-492;543-577
Q8NB59,24,1,24,0,1.000,contiguous,1-24
Q99500,40,4,86,46,0.465,intermittent,1-40;102-115;180-195;266-281
Q5T4D3,280,6,439,159,0.638,intermittent,36-111;163-165;220-224;289-354;404-412;462-741
Q9HCX4,51,3,111,60,0.459,intermittent,373-383;487-537;603-651
O15439,13,5,26,13,0.500,intermittent,132-136;245-246;353-356;756-768;872-873
O00451,422,0,0,0,,no_accepted_segment,
Q9HC97,17,4,51,34,0.333,intermittent,1-17;81-86;156-169;243-256
Q9P2K9,432,6,887,455,0.487,intermittent,95-462;506-508;595-595;751-1182;1226-1291;1342-1358
Q9Y6H8,31,2,59,28,0.525,intermittent,41-71;174-201
Q5SQ64,219,1,219,0,1.000,contiguous,17-235
A6NND4,34,4,94,60,0.362,intermittent,1-31;84-102;167-200;267-276
Q9GZP7,56,4,127,71,0.441,intermittent,1-56;106-132;191-226;296-303
P05556,708,1,708,0,1.000,contiguous,21-728
Q9P232,982,0,0,0,,no_accepted_segment,
Q13433,297,4,362,65,0.820,intermittent,29-325;377-423;679-686;746-755
Q8NET5,121,1,121,0,1.000,contiguous,43-163
Q70SY1,120,1,120,0,1.000,contiguous,401-520
Q96GX1,643,1,643,0,1.000,contiguous,26-668
Q9Y5I0,668,1,668,0,1.000,contiguous,30-697
P35408,24,4,77,53,0.312,intermittent,1-19;80-96;161-184;296-312
Q96QK8,49,1,49,0,1.000,contiguous,1-49
Q6ZXV5,492,5,629,137,0.782,intermittent,30-93;188-193;253-317;375-376;424-915
Q92536,32,6,95,63,0.337,intermittent,66-78;136-167;216-235;288-311;385-385;447-451
Q9UQ52,979,0,0,0,,no_accepted_segment,
P09758,248,1,248,0,1.000,contiguous,27-274
A6NLE4,119,1,119,0,1.000,contiguous,54-172
O43699,321,1,321,0,1.000,contiguous,27-347
P40967,126,1,126,0,1.000,contiguous,470-595
Q7RTX1,547,4,599,52,0.913,intermittent,21-567;625-639;702-725;783-795
Q8WZ84,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q4G0T1,887,1,887,0,1.000,contiguous,20-906
O60609,342,0,0,0,,no_accepted_segment,
P06340,192,1,192,0,1.000,contiguous,26-217
Q8N387,213,1,213,0,1.000,contiguous,24-236
O60725,8,4,19,11,0.421,intermittent,34-41;88-92;150-154;229-229
P01903,191,1,191,0,1.000,contiguous,26-216
Q9NPG4,694,1,694,0,1.000,contiguous,25-718
Q9UPQ8,22,8,95,73,0.232,intermittent,1-13;96-111;156-163;210-224;276-297;355-359;423-436;494-495
Q8NFZ3,633,1,633,0,1.000,contiguous,44-676
P41217,202,1,202,0,1.000,contiguous,31-232
Q99999,388,1,388,0,1.000,contiguous,36-423
P0C6S8,507,1,507,0,1.000,contiguous,25-531
Q9Y5Y4,42,4,111,69,0.378,intermittent,1-33;90-106;169-210;270-288
Q9BZV2,25,6,70,45,0.357,intermittent,29-53;103-110;166-169;304-316;364-375;427-434
Q8NBN3,204,4,259,55,0.788,intermittent,22-225;279-305;347-361;425-437
P18505,220,1,220,0,1.000,contiguous,26-245
Q9Y5G1,661,1,661,0,1.000,contiguous,31-691
Q96A54,17,4,53,36,0.321,intermittent,158-170;225-234;286-298;359-375
Q9NWQ8,16,1,16,0,1.000,contiguous,1-16
Q99062,603,1,603,0,1.000,contiguous,25-627
Q96RD0,37,4,98,61,0.378,intermittent,1-25;76-99;161-197;259-270
Q9NPR2,674,1,674,0,1.000,contiguous,44-717
P55283,565,1,565,0,1.000,contiguous,170-734
P48960,532,4,574,42,0.927,intermittent,21-552;602-620;675-691;761-766
P08913,47,4,95,48,0.495,intermittent,1-47;108-120;182-208;414-421
P26951,287,1,287,0,1.000,contiguous,19-305
Q9UNN8,193,1,193,0,1.000,contiguous,18-210
Q8TBM8,114,1,114,0,1.000,contiguous,266-379
P78325,639,1,639,0,1.000,contiguous,17-655
O60404,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;260-272
Q9P121,287,0,0,0,,no_accepted_segment,
Q86V24,17,4,56,39,0.304,intermittent,169-181;235-245;295-309;370-386
Q9BY50,144,1,144,0,1.000,contiguous,49-192
P36941,197,1,197,0,1.000,contiguous,31-227
Q9HC73,209,1,209,0,1.000,contiguous,23-231
O75054,1105,1,1105,0,1.000,contiguous,20-1124
Q9H3T3,578,1,578,0,1.000,contiguous,26-603
P32248,35,4,101,66,0.347,intermittent,25-59;117-130;192-219;290-313
P10966,149,1,149,0,1.000,contiguous,22-170
Q9H2X9,126,4,193,67,0.653,intermittent,121-129;204-229;277-402;454-485
Q14952,224,1,224,0,1.000,contiguous,22-245
Q96R47,37,4,95,58,0.389,intermittent,1-24;79-99;158-194;259-271
O00124,11,1,11,0,1.000,contiguous,23-33
P01833,620,1,620,0,1.000,contiguous,19-638
Q8N3Y3,692,1,692,0,1.000,contiguous,30-721
Q15722,26,4,80,54,0.325,intermittent,1-19;76-91;160-178;243-268
P36383,30,2,60,30,0.500,intermittent,46-75;199-228
Q11203,347,1,347,0,1.000,contiguous,29-375
Q9UM47,1604,1,1604,0,1.000,contiguous,40-1643
P14778,319,1,319,0,1.000,contiguous,18-336
O43749,38,4,97,59,0.392,intermittent,1-25;80-100;159-196;260-272
Q9P2U8,33,6,81,48,0.407,intermittent,93-125;170-177;238-244;332-349;408-409;465-477
Q96NT5,38,6,73,35,0.521,intermittent,45-82;136-140;204-208;290-302;352-355;415-422
Q8N661,11,4,30,19,0.367,intermittent,41-46;94-100;141-146;189-199
P25100,95,4,125,30,0.760,intermittent,1-95;160-169;239-251;374-380
O76100,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q9Y5E4,659,1,659,0,1.000,contiguous,31-689
Q9H2B2,16,1,16,0,1.000,contiguous,1-16
Q9ULD8,71,4,94,23,0.755,intermittent,250-259;324-331;383-453;475-479
Q96FE5,520,1,520,0,1.000,contiguous,42-561
Q5NUL3,45,4,92,47,0.489,intermittent,1-45;99-112;178-204;290-295
Q8NC01,207,1,207,0,1.000,contiguous,74-280
Q9H159,553,1,553,0,1.000,contiguous,44-596
Q9NV96,255,1,255,0,1.000,contiguous,71-325
Q6UXG2,869,1,869,0,1.000,contiguous,42-910
P41231,32,4,89,57,0.360,intermittent,1-32;94-110;173-194;270-287
Q08708,163,1,163,0,1.000,contiguous,21-183
Q12836,487,1,487,0,1.000,contiguous,19-505
Q9NQA5,37,2,43,6,0.860,intermittent,349-385;443-448
Q8TDQ0,181,1,181,0,1.000,contiguous,22-202
Q9NZS2,172,1,172,0,1.000,contiguous,60-231
P25092,407,1,407,0,1.000,contiguous,24-430
Q05940,88,6,136,48,0.647,intermittent,42-129;181-189;243-248;312-328;379-389;436-440
O75084,224,4,311,87,0.720,intermittent,33-256;310-336;401-423;492-528
P54709,223,1,223,0,1.000,contiguous,57-279
Q10472,531,1,531,0,1.000,contiguous,29-559
P50281,430,1,430,0,1.000,contiguous,112-541
Q13635,320,6,613,293,0.522,intermittent,118-437;492-500;565-572;770-1027;1075-1083;1143-1151
Q8NGY6,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q7RTW8,1107,0,0,0,,no_accepted_segment,
Q96LA5,382,1,382,0,1.000,contiguous,20-401
Q86XJ0,52,2,64,12,0.812,intermittent,37-48;125-176
P16581,535,1,535,0,1.000,contiguous,22-556
Q9HD20,179,5,225,46,0.796,intermittent,88-95;265-443;1011-1011;1073-1096;1154-1166
Q9BT88,15,1,15,0,1.000,contiguous,1-15
P13747,284,1,284,0,1.000,contiguous,22-305
O60503,34,6,95,61,0.358,intermittent,139-141;193-215;260-280;808-818;889-891;942-975
A6NET4,32,4,90,58,0.356,intermittent,1-25;78-97;165-196;257-269
P49238,31,4,89,58,0.348,intermittent,1-31;91-103;168-195;257-273
Q8NGT5,37,4,98,61,0.378,intermittent,1-24;75-98;157-193;255-267
Q9BXS4,203,1,203,0,1.000,contiguous,36-238
P11117,350,1,350,0,1.000,contiguous,31-380
Q15005,4,1,4,0,1.000,contiguous,108-111
Q16553,80,0,0,0,,no_accepted_segment,
Q8N1C3,238,2,246,8,0.967,intermittent,36-273;321-328
Q8NCL4,594,1,594,0,1.000,contiguous,29-622
P36894,129,1,129,0,1.000,contiguous,24-152
Q96IZ2,22,3,49,27,0.449,intermittent,25-46;107-119;176-189
Q8NH37,37,4,92,55,0.402,intermittent,1-23;78-98;157-193;257-267
Q9Y5G5,663,1,663,0,1.000,contiguous,30-692
Q6ZMG9,37,4,84,47,0.440,intermittent,1-37;154-177;225-229;285-302
Q9GZZ6,213,1,213,0,1.000,contiguous,25-237
A6NM11,1547,1,1547,0,1.000,contiguous,36-1582
Q9UQ05,45,4,98,53,0.459,intermittent,250-259;324-332;383-427;449-482
P82279,1322,1,1322,0,1.000,contiguous,26-1347
P36956,39,1,39,0,1.000,contiguous,509-547
Q86VZ4,413,1,413,0,1.000,contiguous,38-450
P31644,229,3,253,24,0.905,intermittent,32-260;309-318;449-462
Q9Y278,328,1,328,0,1.000,contiguous,40-367
O14684,12,2,17,5,0.706,intermittent,1-12;91-95
Q8N695,58,7,156,98,0.372,intermittent,1-9;73-83;154-161;211-239;301-336;411-415;461-518
O94856,1193,1,1193,0,1.000,contiguous,25-1217
Q9UHC9,272,7,830,558,0.328,intermittent,22-284;373-632;688-696;764-776;868-1139;1190-1191;1258-1268
Q6UX71,424,1,424,0,1.000,contiguous,31-454
P56856,53,2,84,31,0.631,intermittent,28-80;144-174
Q7Z3T1,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
O96024,359,1,359,0,1.000,contiguous,20-378
Q6ZP80,88,2,114,26,0.772,intermittent,27-114;175-200
Q9Y228,7,1,7,0,1.000,contiguous,545-551
P47775,48,4,80,32,0.600,intermittent,1-48;104-113;177-192;275-280
Q13349,1082,1,1082,0,1.000,contiguous,18-1099
Q8TC36,257,1,257,0,1.000,contiguous,123-379
Q9BY15,336,4,367,31,0.916,intermittent,22-357;411-416;486-508;579-580
P10586,1234,1,1234,0,1.000,contiguous,30-1263
Q8WXD0,416,4,479,63,0.868,intermittent,1-416;477-495;559-592;661-670
O76024,217,1,217,0,1.000,contiguous,653-869
Q5BJH7,15,3,17,2,0.882,intermittent,178-192;241-241;314-314
Q69384,543,1,543,0,1.000,contiguous,90-632
Q9NPA2,431,0,0,0,,no_accepted_segment,
Q8NG11,119,2,142,23,0.838,intermittent,39-61;114-232
Q8TF66,517,1,517,0,1.000,contiguous,22-538
P29322,515,1,515,0,1.000,contiguous,28-542
Q8IVQ6,31,2,38,7,0.816,intermittent,38-44;155-185
Q8N3F9,48,4,114,66,0.421,intermittent,1-48;105-120;189-205;268-300
Q6PJF5,230,4,270,40,0.852,intermittent,431-660;714-715;769-773;824-856
Q96G79,36,4,66,30,0.545,intermittent,40-52;107-142;202-214;272-275
Q5JX71,33,1,33,0,1.000,contiguous,20-52
O00767,4,2,8,4,0.500,intermittent,94-97;238-241
P51679,39,4,100,61,0.390,intermittent,1-39;99-111;176-206;268-284
O43280,532,0,0,0,,no_accepted_segment,
Q9H8M5,250,2,259,9,0.965,intermittent,1-250;360-368
Q495A1,120,1,120,0,1.000,contiguous,22-141
O75325,612,1,612,0,1.000,contiguous,19-630
Q8N1N2,76,1,76,0,1.000,contiguous,109-184
Q96GP6,398,1,398,0,1.000,contiguous,44-441
P06729,185,1,185,0,1.000,contiguous,25-209
Q7KYR7,220,1,220,0,1.000,contiguous,29-248
Q96MV8,17,2,32,15,0.531,intermittent,42-56;194-210
Q14435,596,1,596,0,1.000,contiguous,38-633
Q8N6L1,20,2,25,5,0.800,intermittent,1-5;56-75
Q9UJ14,535,1,535,0,1.000,contiguous,128-662
A8MUP6,91,2,114,23,0.798,intermittent,30-120;182-204
P43628,224,1,224,0,1.000,contiguous,22-245
O00400,23,6,98,75,0.235,intermittent,96-113;163-175;239-256;321-343;399-404;530-549
Q04671,133,6,294,161,0.452,intermittent,198-330;371-384;441-513;638-647;697-720;778-817
Q9NZC2,156,1,156,0,1.000,contiguous,19-174
Q8TCJ2,274,7,428,154,0.640,intermittent,87-173;213-223;261-265;314-321;372-410;457-460;553-826
Q15392,9,1,9,0,1.000,contiguous,23-31
P35610,22,5,73,51,0.301,intermittent,161-180;245-252;353-369;469-474;529-550
Q5VUD6,380,1,380,0,1.000,contiguous,52-431
Q8NGT9,38,4,96,58,0.396,intermittent,1-24;79-99;158-195;259-271
Q8N7C0,221,1,221,0,1.000,contiguous,24-244
Q86UN2,395,0,0,0,,no_accepted_segment,
P41594,559,4,593,34,0.943,intermittent,22-580;637-644;715-737;796-798
P56199,1113,1,1113,0,1.000,contiguous,29-1141
Q96F46,288,1,288,0,1.000,contiguous,33-320
Q9H8J5,359,1,359,0,1.000,contiguous,27-385
Q96JJ7,351,1,351,0,1.000,contiguous,25-375
Q9UBN4,65,3,107,42,0.607,intermittent,384-403;454-475;535-599
O95832,53,2,80,27,0.662,intermittent,29-81;137-163
Q9NSD5,65,1,65,0,1.000,contiguous,142-206
P20701,1065,1,1065,0,1.000,contiguous,26-1090
O00592,439,1,439,0,1.000,contiguous,23-461
Q16849,541,1,541,0,1.000,contiguous,35-575
Q86VZ5,40,3,72,32,0.556,intermittent,157-183;236-275;325-329
P01130,767,1,767,0,1.000,contiguous,22-788
P63027,2,1,2,0,1.000,contiguous,115-116
P25942,173,1,173,0,1.000,contiguous,21-193
Q6UW56,169,1,169,0,1.000,contiguous,31-199
Q5BIV9,101,0,0,0,,no_accepted_segment,
