acc,gene,span_aa,n_domains,n_runs,largest_run,runs_over_context,regime
Q92824,PCSK5,1629,25,23,320,0,all_runs_in_context
Q9HCU4,CELSR2,2349,20,11,842,0,all_runs_in_context
Q5VU97,CACHD1,1060,3,3,216,0,all_runs_in_context
Q6UVK1,CSPG4,2195,17,17,179,0,all_runs_in_context
Q9C0I4,THSD7B,1524,18,13,135,0,all_runs_in_context
P08922,ROS1,1832,9,5,207,0,all_runs_in_context
P08F94,PKHD1,3835,24,19,227,0,all_runs_in_context
P43146,DCC,1072,10,10,110,0,all_runs_in_context
Q8WY21,SORCS1,1066,7,2,634,0,all_runs_in_context
E2RYF6,MUC22,1634,0,0,0,0,no_domains
Q8WXG9,ADGRV1,5879,42,40,157,0,all_runs_in_context
Q5VYJ5,MALRD1,2045,20,18,195,0,all_runs_in_context
P11215,ITGAM,1088,8,5,179,0,all_runs_in_context
Q9ULL4,PLXNB3,1211,8,8,427,0,all_runs_in_context
P38570,ITGAE,1108,6,4,243,0,all_runs_in_context
O60309,LRRC37A3,1546,12,10,72,0,all_runs_in_context
Q15155,NOMO1,1124,0,0,0,0,no_domains
Q9H7T0,CATSPERB,1053,0,0,0,0,no_domains
Q8TDX9,PKD1L1,1748,4,3,980,0,all_runs_in_context
Q13332,PTPRS,1253,11,9,311,0,all_runs_in_context
P69849,NOMO3,1124,0,0,0,0,no_domains
Q6P1J6,PLB1,1396,4,3,693,0,all_runs_in_context
Q9Y219,JAG2,1054,18,16,110,0,all_runs_in_context
Q6V0I7,FAT4,4466,42,10,3037,1,one_oversized_run
Q9BQS7,HEPH,1087,6,6,191,0,all_runs_in_context
Q5DID0,UMODL1,1251,10,5,289,0,all_runs_in_context
O60500,NPHS1,1032,9,9,104,0,all_runs_in_context
P23229,ITGA6,1027,7,4,236,0,all_runs_in_context
Q8WYK1,CNTNAP5,1213,8,5,450,0,all_runs_in_context
Q9NTG1,PKDREJ,1165,1,1,699,0,single_run_only
Q92823,NRCAM,1143,11,11,103,0,all_runs_in_context
Q13683,ITGA7,1049,7,5,176,0,all_runs_in_context
Q9NYQ6,CELSR1,2448,21,10,856,0,all_runs_in_context
Q86WI1,PKHD1L1,4190,26,25,223,0,all_runs_in_context
O43157,PLXNB1,1471,4,4,460,0,all_runs_in_context
Q96NU0,CNTNAP3B,1220,8,5,451,0,all_runs_in_context
Q6ZRH7,CATSPERG,1030,0,0,0,0,no_domains
Q9C0A0,CNTNAP4,1216,8,5,449,0,all_runs_in_context
Q5VV63,ATRNL1,1178,17,12,159,0,all_runs_in_context
P11717,IGF2R,2264,15,15,188,0,all_runs_in_context
P22897,MRC1,1371,10,10,129,0,all_runs_in_context
Q5SZK8,FREM2,3067,17,17,116,0,all_runs_in_context
Q5JPE7,NOMO2,1124,0,0,0,0,no_domains
Q9NR16,CD163L1,1319,12,12,103,0,all_runs_in_context
P98161,PKD1,3051,26,12,783,0,all_runs_in_context
Q8TDW7,FAT3,4122,38,9,2291,1,one_oversized_run
Q7Z442,PKD1L2,1327,4,4,702,0,all_runs_in_context
O75197,LRP5,1353,38,9,257,0,all_runs_in_context
Q9UKZ4,TENM1,2380,36,21,226,0,all_runs_in_context
P17927,CR1,1930,30,9,254,0,all_runs_in_context
Q96PQ0,SORCS2,1028,8,2,643,0,all_runs_in_context
Q8IZF6,ADGRG4,2713,2,2,200,0,all_runs_in_context
P23468,PTPRD,1245,11,10,203,0,all_runs_in_context
Q9ULI3,HEG1,1219,2,2,39,0,all_runs_in_context
Q9UKN1,MUC12,5364,30,30,108,0,all_runs_in_context
Q6V1P9,DCHS2,2919,25,5,832,0,all_runs_in_context
Q9P283,SEMA5B,1036,7,6,451,0,all_runs_in_context
Q9NY15,STAB1,2453,26,18,293,0,all_runs_in_context
P17301,ITGA2,1103,8,6,233,0,all_runs_in_context
Q9UBG0,MRC2,1384,10,10,132,0,all_runs_in_context
Q6YHK3,CD109,1398,0,0,0,0,no_domains
P20702,ITGAX,1088,8,4,340,0,all_runs_in_context
O75976,CPD,1268,3,3,324,0,all_runs_in_context
Q9UPZ6,THSD7A,1560,19,13,136,0,all_runs_in_context
Q07954,LRP1,4400,87,30,360,0,all_runs_in_context
P51805,PLXNA3,1201,5,5,469,0,all_runs_in_context
Q6UXC1,MAMDC4,1129,9,8,189,0,all_runs_in_context
Q8TD84,DSCAML1,1573,16,13,199,0,all_runs_in_context
O00533,CHL1,1058,10,10,106,0,all_runs_in_context
Q7Z7M0,MEGF8,2620,30,23,183,0,all_runs_in_context
Q9BZV3,IMPG2,1077,4,2,197,0,all_runs_in_context
Q58EX2,SDK2,1912,19,19,118,0,all_runs_in_context
P98164,LRP2,4398,77,50,224,0,all_runs_in_context
O75443,TECTA,2068,10,10,255,0,all_runs_in_context
Q9Y4D7,PLXND1,1225,4,4,500,0,all_runs_in_context
Q9NT68,TENM2,2374,36,26,100,0,all_runs_in_context
Q9BYE9,CDHR2,1134,9,4,441,0,all_runs_in_context
Q92859,NEO1,1072,10,10,98,0,all_runs_in_context
