census_accession,gene,tile_index,start,end,length,tile_cut_kind,merge_rule,straddle_handling,gap_tolerance,protein_regime,route,tile_max_aa,route_at,ruling,trained_context,f059_peak_gib,preflight_outcome,preflight_why
Q9P273,TENM3,18,2092,2129,38,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249794,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,19,2132,2173,42,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.251944,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,20,2175,2195,21,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.243021,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,21,2207,2227,21,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.243021,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,22,2229,2249,21,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.243021,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,23,2275,2316,42,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.251944,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P15941,MUC1,0,61,1020,960,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,rental,1026,440,D-104,1026,11.156709,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P15941,MUC1,1,1039,1148,110,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.320597,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,0,31,256,226,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.576073,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,1,283,473,191,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.480727,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,2,480,672,193,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.485752,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,3,676,713,38,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249794,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,4,718,891,174,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.440099,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,5,905,1080,176,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.444686,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,6,1083,1120,38,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249794,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9ULB1,NRXN1,7,1126,1294,169,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.428858,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23471,PTPRZ1,0,36,300,265,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.700822,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23471,PTPRZ1,1,314,413,100,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.306717,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,0,101,129,29,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.245730,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,1,132,248,117,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.331085,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,2,352,402,51,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.257553,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,3,404,451,48,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.255565,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,4,461,508,48,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.255565,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,5,513,564,52,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.258242,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,6,566,671,106,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.314889,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,7,703,748,46,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.254305,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,8,755,919,165,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.420097,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,9,932,983,52,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.258242,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,10,986,1061,76,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.278716,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75882,ATRN,11,1063,1157,95,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.300265,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,0,34,256,223,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,local,1026,440,D-104,1026,5.567284,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,1,363,669,307,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,local,1026,440,D-104,1026,5.856924,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,2,716,1346,631,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,rental,1026,440,D-104,1026,7.814510,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,3,1350,1872,523,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,rental,1026,440,D-104,1026,7.014292,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,4,1969,3642,1674,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,unroutable,1026,440,D-104,1026,23.061465,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,5,3773,3944,172,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,local,1026,440,D-104,1026,5.435564,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,6,3947,3984,38,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,local,1026,440,D-104,1026,5.249794,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9NYQ8,FAT2,7,3986,4022,37,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,0,185,294,110,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.320597,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,1,296,334,39,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.250311,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,2,336,372,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,3,374,410,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,4,412,448,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,5,450,485,36,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.248798,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,6,487,523,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,7,525,561,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,8,586,627,42,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.251944,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,9,629,665,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,10,667,703,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,11,705,741,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,12,744,780,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,13,782,818,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P78504,JAG1,14,820,856,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23467,PTPRB,0,23,288,266,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.704276,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23467,PTPRB,1,291,552,262,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.690534,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23467,PTPRB,2,556,906,351,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,6.044601,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23467,PTPRB,3,909,1083,175,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.442386,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23467,PTPRB,4,1087,1448,362,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,6.095373,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P23467,PTPRB,5,1458,1554,97,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.302807,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P12821,ACE,0,40,624,585,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,rental,1026,440,D-104,1026,7.455677,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
P12821,ACE,1,643,1222,580,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,rental,1026,440,D-104,1026,7.418282,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,0,20,138,119,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.334199,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,1,143,262,120,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.335775,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,2,276,386,111,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.322056,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,3,401,539,139,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.368184,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,4,545,661,117,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.331085,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,5,676,803,128,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.348851,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,6,813,945,133,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.357445,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
O75054,IGSF3,7,949,1097,149,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.387118,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9UM47,NOTCH3,0,40,156,117,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.331085,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9UM47,NOTCH3,1,158,195,38,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249794,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9UM47,NOTCH3,2,197,234,38,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249794,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9UM47,NOTCH3,3,236,272,37,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.249289,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9UM47,NOTCH3,4,274,312,39,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.250311,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
