census_accession,span_aa,span_start,span_end,source,n_domain_chain,n_repeat_chain,n_domainlike_chain,n_domains_wholly_inside_the_V2_span,n_domains_straddling_the_span_boundary,n_domains_wholly_outside_the_span,n_unknown_coordinates,residues_in_domains,residues_in_span_not_in_any_domain,buckets_sum_ok,fetched_on,source_release,status
Q04721,1652,26,1677,interpro,78,4,82,76,1,5,0,1591,61,True,2026-08-17,109.0,ok
O75096,1705,21,1725,interpro,11,12,23,23,0,0,0,1418,287,True,2026-08-17,109.0,ok
Q9NYQ7,2508,33,2540,interpro,28,0,28,27,1,0,0,2001,507,True,2026-08-17,109.0,ok
Q16706,1118,27,1144,interpro,4,0,4,4,0,0,0,678,440,True,2026-08-17,109.0,ok
Q9UIW2,1218,27,1244,interpro,13,2,15,12,1,2,0,1206,12,True,2026-08-17,109.0,ok
Q96QU1,1350,27,1376,interpro,12,0,12,12,0,0,0,1313,37,True,2026-08-17,109.0,ok
P32004,1101,20,1120,interpro,25,0,25,24,0,1,0,955,146,True,2026-08-17,109.0,ok
O94779,1053,19,1071,interpro,26,0,26,26,0,0,0,937,116,True,2026-08-17,109.0,ok
Q96JQ0,2898,43,2940,interpro,26,0,26,26,0,0,0,2829,69,True,2026-08-17,109.0,ok
O60469,1578,18,1595,interpro,42,0,42,42,0,0,0,1503,75,True,2026-08-17,109.0,ok
Q685J3,4368,26,4393,interpro,2,0,2,2,0,0,0,150,4218,True,2026-08-17,109.0,ok
Q8WXI7,14451,1,14451,interpro,16,0,16,16,0,0,0,2001,12450,True,2026-08-17,109.0,ok
O60449,1639,28,1666,interpro,12,0,12,12,0,0,0,1466,173,True,2026-08-17,109.0,ok
Q9P2S2,1608,29,1636,interpro,10,0,10,8,1,1,0,1240,368,True,2026-08-17,109.0,ok
P09848,1863,20,1882,interpro,0,0,0,0,0,0,0,0,1863,True,2026-08-17,109.0,ok
O15031,1178,20,1197,interpro,11,1,12,9,1,2,0,975,203,True,2026-08-17,109.0,ok
Q86XX4,3875,27,3901,interpro,20,23,43,42,1,0,0,2808,1067,True,2026-08-17,109.0,ok
Q9BZZ2,1622,20,1641,interpro,50,0,50,50,0,0,0,1563,59,True,2026-08-17,109.0,ok
Q9H251,3041,24,3064,interpro,28,0,28,28,0,0,0,2970,71,True,2026-08-17,109.0,ok
Q14517,4160,22,4181,interpro,43,0,43,43,0,0,0,3883,277,True,2026-08-17,109.0,ok
Q9BZ76,1220,26,1245,interpro,8,0,8,8,0,0,0,989,231,True,2026-08-17,109.0,ok
Q99466,1424,24,1447,interpro,56,2,58,56,0,2,0,1356,68,True,2026-08-17,109.0,ok
O75578,1100,23,1122,interpro,3,7,10,10,0,0,0,821,279,True,2026-08-17,109.0,ok
A6NMS7,1547,36,1582,interpro,6,5,11,10,1,0,0,533,1014,True,2026-08-17,109.0,ok
P46531,1717,19,1735,interpro,77,3,80,76,0,4,0,1614,103,True,2026-08-17,109.0,ok
Q9Y493,2740,18,2757,interpro,29,0,29,29,0,0,0,2056,684,True,2026-08-17,109.0,ok
Q6MZM0,1090,25,1114,interpro,5,0,5,5,0,0,0,440,650,True,2026-08-17,109.0,ok
O75445,5011,32,5042,interpro,47,0,47,47,0,0,0,4697,314,True,2026-08-17,109.0,ok
Q9UKX5,1119,23,1141,interpro,3,7,10,10,0,0,0,868,251,True,2026-08-17,109.0,ok
Q9Y4C0,1541,28,1568,interpro,11,0,11,8,1,2,0,1180,361,True,2026-08-17,109.0,ok
Q92824,1629,115,1743,interpro,21,14,35,34,0,1,0,1521,108,True,2026-08-17,109.0,ok
Q9HCU4,2349,32,2380,interpro,27,0,27,26,1,0,0,1997,352,True,2026-08-17,109.0,ok
Q5VU97,1060,36,1095,interpro,4,0,4,4,0,0,0,556,504,True,2026-08-17,109.0,ok
Q6UVK1,2195,30,2224,interpro,2,15,17,16,1,0,0,1782,413,True,2026-08-17,109.0,ok
Q9C0I4,1524,32,1555,interpro,8,16,24,24,0,0,0,1106,418,True,2026-08-17,109.0,ok
P08922,1832,28,1859,interpro,13,4,17,14,0,3,0,1035,797,True,2026-08-17,109.0,ok
P08F94,3835,24,3858,interpro,13,10,23,23,0,0,0,1445,2390,True,2026-08-17,109.0,ok
P43146,1072,26,1097,interpro,23,0,23,21,1,1,0,973,99,True,2026-08-17,109.0,ok
Q8WY21,1066,34,1099,interpro,5,0,5,5,0,0,0,823,243,True,2026-08-17,109.0,ok
E2RYF6,1634,27,1660,interpro,1,0,1,0,1,0,0,16,1618,True,2026-08-17,109.0,ok
Q8WXG9,5879,30,5908,interpro,35,7,42,40,2,0,0,3759,2120,True,2026-08-17,109.0,ok
Q5VYJ5,2045,32,2076,interpro,10,10,20,19,1,0,0,1901,144,True,2026-08-17,109.0,ok
P11215,1088,17,1104,interpro,4,7,11,11,0,0,0,999,89,True,2026-08-17,109.0,ok
Q9ULL4,1211,45,1255,interpro,13,1,14,11,1,2,0,1161,50,True,2026-08-17,109.0,ok
P38570,1108,19,1126,interpro,2,4,6,6,0,0,0,560,548,True,2026-08-17,109.0,ok
O60309,1546,36,1581,interpro,6,5,11,10,1,0,0,530,1016,True,2026-08-17,109.0,ok
Q15155,1124,32,1155,interpro,8,0,8,8,0,0,0,652,472,True,2026-08-17,109.0,ok
Q9H7T0,1053,1,1053,interpro,5,0,5,4,1,0,0,976,77,True,2026-08-17,109.0,ok
Q8TDX9,1748,1,1748,interpro,11,0,11,7,0,4,0,1212,536,True,2026-08-17,109.0,ok
Q13332,1253,30,1282,interpro,24,0,24,18,0,6,0,1063,190,True,2026-08-17,109.0,ok
P69849,1124,32,1155,interpro,8,0,8,8,0,0,0,652,472,True,2026-08-17,109.0,ok
Q6P1J6,1396,22,1417,interpro,4,0,4,4,0,0,0,1136,260,True,2026-08-17,109.0,ok
Q9Y219,1054,27,1080,interpro,35,0,35,35,0,0,0,1002,52,True,2026-08-17,109.0,ok
Q6V0I7,4466,39,4504,interpro,48,0,48,48,0,0,0,4167,299,True,2026-08-17,109.0,ok
Q9BQS7,1087,24,1110,interpro,4,0,4,4,0,0,0,485,602,True,2026-08-17,109.0,ok
Q5DID0,1251,22,1272,interpro,20,0,20,20,0,0,0,882,369,True,2026-08-17,109.0,ok
O60500,1032,23,1054,interpro,31,0,31,31,0,0,0,972,60,True,2026-08-17,109.0,ok
P23229,1027,24,1050,interpro,3,7,10,10,0,0,0,881,146,True,2026-08-17,109.0,ok
Q8WYK1,1213,25,1237,interpro,8,0,8,8,0,0,0,986,227,True,2026-08-17,109.0,ok
Q9NTG1,1165,20,1184,interpro,6,0,6,2,0,4,0,699,466,True,2026-08-17,109.0,ok
Q92823,1143,25,1167,interpro,27,0,27,26,0,1,0,1050,93,True,2026-08-17,109.0,ok
Q13683,1049,34,1082,interpro,3,7,10,10,0,0,0,902,147,True,2026-08-17,109.0,ok
Q9NYQ6,2448,22,2469,interpro,26,0,26,25,1,0,0,2008,440,True,2026-08-17,109.0,ok
Q86WI1,4190,21,4210,interpro,20,10,30,30,0,0,0,2025,2165,True,2026-08-17,109.0,ok
O43157,1471,20,1490,interpro,12,1,13,10,1,2,0,1106,365,True,2026-08-17,109.0,ok
Q96NU0,1220,26,1245,interpro,8,0,8,8,0,0,0,989,231,True,2026-08-17,109.0,ok
Q6ZRH7,1030,36,1065,interpro,4,0,4,3,1,0,0,891,139,True,2026-08-17,109.0,ok
Q9C0A0,1216,26,1241,interpro,8,0,8,8,0,0,0,995,221,True,2026-08-17,109.0,ok
Q5VV63,1178,53,1230,interpro,16,1,17,17,0,0,0,1056,122,True,2026-08-17,109.0,ok
P11717,2264,41,2304,interpro,16,15,31,31,0,0,0,2234,30,True,2026-08-17,109.0,ok
P22897,1371,19,1389,interpro,10,0,10,10,0,0,0,1200,171,True,2026-08-17,109.0,ok
Q5SZK8,3067,47,3113,interpro,6,12,18,18,0,0,0,1963,1104,True,2026-08-17,109.0,ok
Q5JPE7,1124,32,1155,interpro,8,0,8,8,0,0,0,652,472,True,2026-08-17,109.0,ok
Q9NR16,1319,41,1359,interpro,12,0,12,12,0,0,0,1214,105,True,2026-08-17,109.0,ok
P98161,3051,24,3074,interpro,42,3,45,41,0,4,0,3004,47,True,2026-08-17,109.0,ok
Q8TDW7,4122,33,4154,interpro,40,0,40,40,0,0,0,3748,374,True,2026-08-17,109.0,ok
Q7Z442,1327,18,1344,interpro,9,0,9,5,0,4,0,1080,247,True,2026-08-17,109.0,ok
O75197,1353,32,1384,interpro,4,10,14,14,0,0,0,1128,225,True,2026-08-17,109.0,ok
Q9UKZ4,2380,346,2725,interpro,15,3,18,17,0,1,0,1863,517,True,2026-08-17,109.0,ok
P17927,1930,42,1971,interpro,30,0,30,29,1,0,0,1909,21,True,2026-08-17,109.0,ok
Q96PQ0,1028,51,1078,interpro,6,0,6,6,0,0,0,841,187,True,2026-08-17,109.0,ok
Q8IZF6,2713,28,2740,interpro,3,0,3,1,1,1,0,358,2355,True,2026-08-17,109.0,ok
P23468,1245,21,1265,interpro,27,0,27,20,0,7,0,1046,199,True,2026-08-17,109.0,ok
Q9ULI3,1219,30,1248,interpro,6,0,6,6,0,0,0,127,1092,True,2026-08-17,109.0,ok
Q9UKN1,5364,17,5380,interpro,2,0,2,2,0,0,0,120,5244,True,2026-08-17,109.0,ok
Q6V1P9,2919,68,2986,interpro,25,0,25,23,2,0,0,2902,17,True,2026-08-17,109.0,ok
Q9P283,1036,1,1036,interpro,3,6,9,9,0,0,0,832,204,True,2026-08-17,109.0,ok
Q9NY15,2453,26,2478,interpro,50,0,50,50,0,0,0,2010,443,True,2026-08-17,109.0,ok
P17301,1103,30,1132,interpro,3,6,9,9,0,0,0,777,326,True,2026-08-17,109.0,ok
Q9UBG0,1384,31,1414,interpro,11,0,11,11,0,0,0,1218,166,True,2026-08-17,109.0,ok
Q6YHK3,1398,22,1419,interpro,7,0,7,7,0,0,0,778,620,True,2026-08-17,109.0,ok
P20702,1088,20,1107,interpro,4,7,11,11,0,0,0,986,102,True,2026-08-17,109.0,ok
O75976,1268,32,1299,interpro,5,0,5,5,0,0,0,1089,179,True,2026-08-17,109.0,ok
Q9UPZ6,1560,48,1607,interpro,7,14,21,21,0,0,0,1045,515,True,2026-08-17,109.0,ok
Q07954,4400,20,4419,interpro,36,42,78,78,0,0,0,3655,745,True,2026-08-17,109.0,ok
P51805,1201,20,1220,interpro,12,2,14,11,1,2,0,1187,14,True,2026-08-17,109.0,ok
Q6UXC1,1129,23,1151,interpro,6,3,9,8,1,0,0,1067,62,True,2026-08-17,109.0,ok
Q8TD84,1573,19,1591,interpro,42,0,42,41,1,0,0,1537,36,True,2026-08-17,109.0,ok
O00533,1058,25,1082,interpro,24,0,24,23,0,1,0,959,99,True,2026-08-17,109.0,ok
Q7Z7M0,2620,28,2647,interpro,37,1,38,38,0,0,0,1826,794,True,2026-08-17,109.0,ok
Q9BZV3,1077,23,1099,interpro,3,0,3,3,0,0,0,275,802,True,2026-08-17,109.0,ok
Q58EX2,1912,21,1932,interpro,35,0,35,35,0,0,0,1856,56,True,2026-08-17,109.0,ok
P98164,4398,26,4423,interpro,40,50,90,90,0,0,0,3803,595,True,2026-08-17,109.0,ok
O75443,2068,23,2090,interpro,22,0,22,21,1,0,0,1822,246,True,2026-08-17,109.0,ok
Q9Y4D7,1225,47,1271,interpro,11,1,12,9,1,2,0,983,242,True,2026-08-17,109.0,ok
Q9NT68,2374,401,2774,interpro,18,1,19,18,0,1,0,1875,499,True,2026-08-17,109.0,ok
Q9BYE9,1134,21,1154,interpro,9,0,9,9,0,0,0,1016,118,True,2026-08-17,109.0,ok
Q92859,1072,34,1105,interpro,21,0,21,20,0,1,0,951,121,True,2026-08-17,109.0,ok
