census_accession,census_class,span_aa,span_rule,band,tier,tier_reason,dtype,chunk_size,fold_order,span_definition,guards
Q8NGZ0,surface,37,vocabulary,local,local,,int8,64,41,v2-ruled-vocabulary-2026-08-07,
Q8NGN5,surface,37,vocabulary,local,local,,int8,64,42,v2-ruled-vocabulary-2026-08-07,
Q9BYW1,surface,29,vocabulary,local,local,,int8,64,43,v2-ruled-vocabulary-2026-08-07,
Q8NGH3,surface,41,vocabulary,local,local,,int8,64,44,v2-ruled-vocabulary-2026-08-07,
Q8N9M5,non_surface,260,vocabulary,local,local,,int8,64,45,v2-ruled-vocabulary-2026-08-07,
Q8NGK1,surface,36,vocabulary,local,local,,int8,64,46,v2-ruled-vocabulary-2026-08-07,
Q9NRD8,surface,576,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,47,v2-ruled-vocabulary-2026-08-07,
Q9NYW3,surface,38,vocabulary,local,local,,int8,64,48,v2-ruled-vocabulary-2026-08-07,
P01133,surface,1010,vocabulary,above_local,rental,over_local_ceiling,fp16,64,49,v2-ruled-vocabulary-2026-08-07,
P59540,surface,31,vocabulary,local,local,,int8,64,50,v2-ruled-vocabulary-2026-08-07,
P54762,surface,523,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,51,v2-ruled-vocabulary-2026-08-07,
Q68DH5,surface,52,vocabulary,local,local,,int8,64,52,v2-ruled-vocabulary-2026-08-07,
Q5VWK5,surface,332,vocabulary,local,local,,int8,64,53,v2-ruled-vocabulary-2026-08-07,
Q9ULB1,surface,1371,vocabulary,above_local,rental,over_local_ceiling,fp16,64,54,v2-ruled-vocabulary-2026-08-07,
Q9NQW8,non_surface,22,vocabulary,local,local,,int8,64,55,v2-ruled-vocabulary-2026-08-07,
Q9Y271,surface,31,vocabulary,local,local,,int8,64,56,v2-ruled-vocabulary-2026-08-07,
P07204,surface,497,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,57,v2-ruled-vocabulary-2026-08-07,
Q8N614,non_surface,186,vocabulary,local,local,,int8,64,58,v2-ruled-vocabulary-2026-08-07,
O43292,non_surface,329,vocabulary,local,local,,int8,64,59,v2-ruled-vocabulary-2026-08-07,
O00264,non_surface,24,vocabulary,local,local,,int8,64,60,v2-ruled-vocabulary-2026-08-07,
Q14714,surface,50,vocabulary,local,local,,int8,64,61,v2-ruled-vocabulary-2026-08-07,
Q96DS6,non_surface,47,vocabulary,local,local,,int8,64,62,v2-ruled-vocabulary-2026-08-07,
O75015,surface,183,gpi_rule_A,local,local,,int8,64,63,v2-ruled-vocabulary-2026-08-07,
Q9H0Q3,non_surface,17,vocabulary,local,local,,int8,64,64,v2-ruled-vocabulary-2026-08-07,
O95502,non_surface,477,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,65,v2-ruled-vocabulary-2026-08-07,
Q9Y5Y7,surface,219,vocabulary,local,local,,int8,64,66,v2-ruled-vocabulary-2026-08-07,
O75752,non_surface,288,vocabulary,local,local,,int8,64,67,v2-ruled-vocabulary-2026-08-07,
Q8NGT1,surface,35,vocabulary,local,local,,int8,64,68,v2-ruled-vocabulary-2026-08-07,
Q9UKR8,non_surface,14,vocabulary,local,local,,int8,64,69,v2-ruled-vocabulary-2026-08-07,
Q9P1Q5,surface,37,vocabulary,local,local,,int8,64,70,v2-ruled-vocabulary-2026-08-07,
P04035,non_surface,39,vocabulary,local,local,,int8,64,71,v2-ruled-vocabulary-2026-08-07,
Q8N4A0,non_surface,543,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,72,v2-ruled-vocabulary-2026-08-07,
P08138,surface,222,vocabulary,local,local,,int8,64,73,v2-ruled-vocabulary-2026-08-07,
Q86UN2,surface,395,gpi_rule_A,local,local,,int8,64,74,v2-ruled-vocabulary-2026-08-07,
P59541,surface,31,vocabulary,local,local,,int8,64,75,v2-ruled-vocabulary-2026-08-07,
O43306,surface,60,vocabulary,local,local,,int8,64,76,v2-ruled-vocabulary-2026-08-07,
P02708,surface,212,vocabulary,local,local,,int8,64,77,v2-ruled-vocabulary-2026-08-07,
P23471,surface,1612,vocabulary,above_local,rental,over_local_ceiling,fp16,64,78,v2-ruled-vocabulary-2026-08-07,
Q8WUD6,surface,15,vocabulary,local,local,,int8,64,79,v2-ruled-vocabulary-2026-08-07,
Q96BY9,non_surface,143,vocabulary,local,local,,int8,64,80,v2-ruled-vocabulary-2026-08-07,
Q9UPI3,surface,18,vocabulary,local,local,,int8,64,81,v2-ruled-vocabulary-2026-08-07,
Q9NPD7,surface,88,gpi_rule_A,local,local,,int8,64,82,v2-ruled-vocabulary-2026-08-07,
Q86X52,non_surface,774,vocabulary,above_local,rental,over_local_ceiling,fp16,64,83,v2-ruled-vocabulary-2026-08-07,
Q12866,surface,485,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,84,v2-ruled-vocabulary-2026-08-07,
Q8NBL3,surface,154,vocabulary,local,local,,int8,64,85,v2-ruled-vocabulary-2026-08-07,
Q8NGF3,surface,38,vocabulary,local,local,,int8,64,86,v2-ruled-vocabulary-2026-08-07,
Q02246,surface,981,gpi_rule_A,above_local,rental,over_local_ceiling,fp16,64,87,v2-ruled-vocabulary-2026-08-07,
P42892,surface,681,vocabulary,above_local,rental,over_local_ceiling,fp16,64,88,v2-ruled-vocabulary-2026-08-07,
P05186,surface,483,gpi_rule_A,untested_band,rental,unmeasured_local_ceiling,fp16,64,89,v2-ruled-vocabulary-2026-08-07,
O60507,non_surface,345,vocabulary,local,local,,int8,64,90,v2-ruled-vocabulary-2026-08-07,
O43570,surface,277,vocabulary,local,local,,int8,64,91,v2-ruled-vocabulary-2026-08-07,
Q9NY72,surface,134,vocabulary,local,local,,int8,64,92,v2-ruled-vocabulary-2026-08-07,
Q8IY49,non_surface,16,vocabulary,local,local,,int8,64,93,v2-ruled-vocabulary-2026-08-07,
Q4KMZ8,surface,64,vocabulary,local,local,,int8,64,94,v2-ruled-vocabulary-2026-08-07,
O95006,surface,37,vocabulary,local,local,,int8,64,95,v2-ruled-vocabulary-2026-08-07,
Q8NGR5,surface,38,vocabulary,local,local,,int8,64,96,v2-ruled-vocabulary-2026-08-07,
P22413,surface,828,vocabulary,above_local,rental,over_local_ceiling,fp16,64,97,v2-ruled-vocabulary-2026-08-07,
Q8NCG5,non_surface,358,vocabulary,local,local,,int8,64,98,v2-ruled-vocabulary-2026-08-07,
Q7LFX5,non_surface,460,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,99,v2-ruled-vocabulary-2026-08-07,
O75882,surface,1196,vocabulary,above_local,rental,over_local_ceiling,fp16,64,100,v2-ruled-vocabulary-2026-08-07,
Q9NYQ8,surface,4030,vocabulary,above_local,rental,over_local_ceiling,fp16,64,101,v2-ruled-vocabulary-2026-08-07,
Q13634,surface,555,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,102,v2-ruled-vocabulary-2026-08-07,
Q6NW40,surface,367,gpi_rule_A,local,local,,int8,64,103,v2-ruled-vocabulary-2026-08-07,
Q8TCW9,surface,62,vocabulary,local,local,,int8,64,104,v2-ruled-vocabulary-2026-08-07,
Q9Y3E0,non_surface,2,vocabulary,local,local,,int8,64,105,v2-ruled-vocabulary-2026-08-07,
O43315,surface,37,vocabulary,local,local,,int8,64,106,v2-ruled-vocabulary-2026-08-07,
Q9ULC0,surface,172,vocabulary,local,local,,int8,64,107,v2-ruled-vocabulary-2026-08-07,
P16442,non_surface,301,vocabulary,local,local,,int8,64,108,v2-ruled-vocabulary-2026-08-07,
P41732,surface,101,vocabulary,local,local,,int8,64,109,v2-ruled-vocabulary-2026-08-07,
Q8N2K0,non_surface,303,vocabulary,local,local,,int8,64,110,v2-ruled-vocabulary-2026-08-07,
P34741,surface,126,vocabulary,local,local,,int8,64,111,v2-ruled-vocabulary-2026-08-07,
Q8NGE7,surface,50,vocabulary,local,local,,int8,64,112,v2-ruled-vocabulary-2026-08-07,
Q99805,surface,272,vocabulary,local,local,,int8,64,113,v2-ruled-vocabulary-2026-08-07,
Q9BXE9,surface,36,vocabulary,local,local,,int8,64,114,v2-ruled-vocabulary-2026-08-07,
Q8N8F6,non_surface,3,vocabulary,local,local,,int8,64,115,v2-ruled-vocabulary-2026-08-07,
Q8NHA4,surface,37,vocabulary,local,local,,int8,64,116,v2-ruled-vocabulary-2026-08-07,
Q8NGX9,surface,37,vocabulary,local,local,,int8,64,117,v2-ruled-vocabulary-2026-08-07,
Q9UGF7,surface,37,vocabulary,local,local,,int8,64,118,v2-ruled-vocabulary-2026-08-07,
Q03167,surface,767,vocabulary,above_local,rental,over_local_ceiling,fp16,64,119,v2-ruled-vocabulary-2026-08-07,
Q8IV31,non_surface,9,vocabulary,local,local,,int8,64,120,v2-ruled-vocabulary-2026-08-07,
Q9NYM4,surface,54,vocabulary,local,local,,int8,64,121,v2-ruled-vocabulary-2026-08-07,
Q96IW7,non_surface,18,vocabulary,local,local,,int8,64,122,v2-ruled-vocabulary-2026-08-07,
Q8NGI0,surface,36,vocabulary,local,local,,int8,64,123,v2-ruled-vocabulary-2026-08-07,
P22760,non_surface,376,vocabulary,local,local,,int8,64,124,v2-ruled-vocabulary-2026-08-07,
Q96DD7,surface,60,vocabulary,local,local,,int8,64,125,v2-ruled-vocabulary-2026-08-07,
Q96K49,surface,172,vocabulary,local,local,,int8,64,126,v2-ruled-vocabulary-2026-08-07,
Q0P6D2,non_surface,376,vocabulary,local,local,,int8,64,127,v2-ruled-vocabulary-2026-08-07,
O94956,surface,104,vocabulary,local,local,,int8,64,128,v2-ruled-vocabulary-2026-08-07,
Q9NZ08,non_surface,920,vocabulary,above_local,rental,over_local_ceiling,fp16,64,129,v2-ruled-vocabulary-2026-08-07,
P36897,surface,93,vocabulary,local,local,,int8,64,130,v2-ruled-vocabulary-2026-08-07,
O95907,surface,23,vocabulary,local,local,,int8,64,131,v2-ruled-vocabulary-2026-08-07,
Q9N2J8,surface,480,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,132,v2-ruled-vocabulary-2026-08-07,
P22888,surface,337,vocabulary,local,local,,int8,64,133,v2-ruled-vocabulary-2026-08-07,
Q9UEF7,surface,948,vocabulary,above_local,rental,over_local_ceiling,fp16,64,134,v2-ruled-vocabulary-2026-08-07,
O75022,surface,420,vocabulary,local,local,,int8,64,135,v2-ruled-vocabulary-2026-08-07,
P05187,surface,483,gpi_rule_A,untested_band,rental,unmeasured_local_ceiling,fp16,64,136,v2-ruled-vocabulary-2026-08-07,
Q96DU3,surface,205,vocabulary,local,local,,int8,64,137,v2-ruled-vocabulary-2026-08-07,
Q9BY15,surface,336,vocabulary,local,local,,int8,64,138,v2-ruled-vocabulary-2026-08-07,
Q6UWH4,non_surface,464,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,139,v2-ruled-vocabulary-2026-08-07,
O15197,surface,563,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,140,v2-ruled-vocabulary-2026-08-07,
Q9NY46,surface,100,vocabulary,local,local,,int8,64,141,v2-ruled-vocabulary-2026-08-07,
P21757,surface,375,vocabulary,local,local,,int8,64,142,v2-ruled-vocabulary-2026-08-07,
P19256,surface,187,vocabulary,local,local,,int8,64,143,v2-ruled-vocabulary-2026-08-07,
P24071,surface,206,vocabulary,local,local,,int8,64,144,v2-ruled-vocabulary-2026-08-07,
Q99941,non_surface,286,vocabulary,local,local,,int8,64,145,v2-ruled-vocabulary-2026-08-07,
Q8TCT8,surface,147,vocabulary,local,local,,int8,64,146,v2-ruled-vocabulary-2026-08-07,
P78536,surface,457,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,147,v2-ruled-vocabulary-2026-08-07,
O60235,surface,377,vocabulary,local,local,,int8,64,148,v2-ruled-vocabulary-2026-08-07,
Q7L985,surface,518,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,149,v2-ruled-vocabulary-2026-08-07,
Q9BZD2,surface,31,vocabulary,local,local,,int8,64,150,v2-ruled-vocabulary-2026-08-07,
Q68CJ9,non_surface,118,vocabulary,local,local,,int8,64,151,v2-ruled-vocabulary-2026-08-07,
Q6PCB8,surface,228,vocabulary,local,local,,int8,64,152,v2-ruled-vocabulary-2026-08-07,
O75023,surface,435,vocabulary,local,local,,int8,64,153,v2-ruled-vocabulary-2026-08-07,
Q8NH16,surface,37,vocabulary,local,local,,int8,64,154,v2-ruled-vocabulary-2026-08-07,
Q8NET8,non_surface,19,vocabulary,local,local,,int8,64,155,v2-ruled-vocabulary-2026-08-07,
P32245,surface,47,vocabulary,local,local,,int8,64,156,v2-ruled-vocabulary-2026-08-07,
P0C7N8,surface,41,vocabulary,local,local,,int8,64,157,v2-ruled-vocabulary-2026-08-07,
P16444,surface,368,gpi_rule_A,local,local,,int8,64,158,v2-ruled-vocabulary-2026-08-07,
Q9NRX5,surface,29,vocabulary,local,local,,int8,64,159,v2-ruled-vocabulary-2026-08-07,
P06213,surface,731,vocabulary,above_local,rental,over_local_ceiling,fp16,64,160,v2-ruled-vocabulary-2026-08-07,
Q9H205,surface,37,vocabulary,local,local,,int8,64,161,v2-ruled-vocabulary-2026-08-07,
Q9BX97,surface,394,vocabulary,local,local,,int8,64,162,v2-ruled-vocabulary-2026-08-07,
P29320,surface,521,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,163,v2-ruled-vocabulary-2026-08-07,
Q9H6D3,non_surface,17,vocabulary,local,local,,int8,64,164,v2-ruled-vocabulary-2026-08-07,
P16473,surface,394,vocabulary,local,local,,int8,64,165,v2-ruled-vocabulary-2026-08-07,
Q6PK18,non_surface,254,vocabulary,local,local,,int8,64,166,v2-ruled-vocabulary-2026-08-07,
Q06432,surface,79,vocabulary,local,local,,int8,64,167,v2-ruled-vocabulary-2026-08-07,
P34910,surface,181,vocabulary,local,local,,int8,64,168,v2-ruled-vocabulary-2026-08-07,
Q16572,surface,71,vocabulary,local,local,,int8,64,169,v2-ruled-vocabulary-2026-08-07,
P30825,surface,39,vocabulary,local,local,,int8,64,170,v2-ruled-vocabulary-2026-08-07,
Q9H902,non_surface,1,vocabulary,local,local,,int8,64,171,v2-ruled-vocabulary-2026-08-07,
Q86XT9,surface,166,vocabulary,local,local,,int8,64,172,v2-ruled-vocabulary-2026-08-07,
Q9BY07,surface,114,vocabulary,local,local,,int8,64,173,v2-ruled-vocabulary-2026-08-07,
Q8N9I0,non_surface,62,vocabulary,local,local,,int8,64,174,v2-ruled-vocabulary-2026-08-07,
Q9HBW1,surface,489,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,175,v2-ruled-vocabulary-2026-08-07,
Q16581,surface,172,vocabulary,local,local,,int8,64,176,v2-ruled-vocabulary-2026-08-07,
Q9H158,surface,665,vocabulary,above_local,rental,over_local_ceiling,fp16,64,177,v2-ruled-vocabulary-2026-08-07,
O95867,surface,80,gpi_rule_A,local,local,,int8,64,178,v2-ruled-vocabulary-2026-08-07,
Q6IF82,surface,37,vocabulary,local,local,,int8,64,179,v2-ruled-vocabulary-2026-08-07,
P43632,surface,224,vocabulary,local,local,,int8,64,180,v2-ruled-vocabulary-2026-08-07,
Q6NUS8,non_surface,461,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,181,v2-ruled-vocabulary-2026-08-07,
Q9NX61,surface,70,vocabulary,local,local,,int8,64,182,v2-ruled-vocabulary-2026-08-07,
Q4U2R8,surface,105,vocabulary,local,local,,int8,64,183,v2-ruled-vocabulary-2026-08-07,
Q9NYM9,non_surface,4,vocabulary,local,local,,int8,64,184,v2-ruled-vocabulary-2026-08-07,
Q9NP60,surface,338,vocabulary,local,local,,int8,64,185,v2-ruled-vocabulary-2026-08-07,
Q6ZMZ3,non_surface,29,vocabulary,local,local,,int8,64,186,v2-ruled-vocabulary-2026-08-07,
Q92819,non_surface,25,vocabulary,local,local,,int8,64,187,v2-ruled-vocabulary-2026-08-07,
Q8NH56,surface,36,vocabulary,local,local,,int8,64,188,v2-ruled-vocabulary-2026-08-07,
Q8WZ92,surface,36,vocabulary,local,local,,int8,64,189,v2-ruled-vocabulary-2026-08-07,
P78380,surface,216,vocabulary,local,local,,int8,64,190,v2-ruled-vocabulary-2026-08-07,
P06127,surface,348,vocabulary,local,local,,int8,64,191,v2-ruled-vocabulary-2026-08-07,
Q9HCJ1,surface,25,vocabulary,local,local,,int8,64,192,v2-ruled-vocabulary-2026-08-07,
O15547,surface,273,vocabulary,local,local,,int8,64,193,v2-ruled-vocabulary-2026-08-07,
Q08ET2,surface,342,vocabulary,local,local,,int8,64,194,v2-ruled-vocabulary-2026-08-07,
Q6H3X3,surface,198,vocabulary,local,local,,int8,64,195,v2-ruled-vocabulary-2026-08-07,
Q9UHF3,non_surface,164,vocabulary,local,local,,int8,64,196,v2-ruled-vocabulary-2026-08-07,
Q99795,surface,214,vocabulary,local,local,,int8,64,197,v2-ruled-vocabulary-2026-08-07,
O95183,non_surface,23,vocabulary,local,local,,int8,64,198,v2-ruled-vocabulary-2026-08-07,
Q9H3T3,surface,578,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,199,v2-ruled-vocabulary-2026-08-07,
Q8NGA4,surface,46,vocabulary,local,local,,int8,64,200,v2-ruled-vocabulary-2026-08-07,
Q96RQ1,non_surface,265,vocabulary,local,local,,int8,64,201,v2-ruled-vocabulary-2026-08-07,
Q9HC97,surface,17,vocabulary,local,local,,int8,64,202,v2-ruled-vocabulary-2026-08-07,
P23467,surface,1599,vocabulary,above_local,rental,over_local_ceiling,fp16,64,203,v2-ruled-vocabulary-2026-08-07,
Q3MUY2,non_surface,18,vocabulary,local,local,,int8,64,204,v2-ruled-vocabulary-2026-08-07,
P08588,surface,57,vocabulary,local,local,,int8,64,205,v2-ruled-vocabulary-2026-08-07,
Q3ZCQ3,surface,64,vocabulary,local,local,,int8,64,206,v2-ruled-vocabulary-2026-08-07,
Q8NGS7,surface,37,vocabulary,local,local,,int8,64,207,v2-ruled-vocabulary-2026-08-07,
Q93086,non_surface,268,vocabulary,local,local,,int8,64,208,v2-ruled-vocabulary-2026-08-07,
Q9HCU0,surface,670,vocabulary,above_local,rental,over_local_ceiling,fp16,64,209,v2-ruled-vocabulary-2026-08-07,
Q9NRJ7,surface,662,vocabulary,above_local,rental,over_local_ceiling,fp16,64,210,v2-ruled-vocabulary-2026-08-07,
Q9UIG8,surface,101,vocabulary,local,local,,int8,64,211,v2-ruled-vocabulary-2026-08-07,
Q9UBN6,surface,156,vocabulary,local,local,,int8,64,212,v2-ruled-vocabulary-2026-08-07,
Q9UKQ2,surface,467,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,213,v2-ruled-vocabulary-2026-08-07,
Q92813,non_surface,9,vocabulary,local,local,,int8,64,214,v2-ruled-vocabulary-2026-08-07,
O75144,surface,238,vocabulary,local,local,,int8,64,215,v2-ruled-vocabulary-2026-08-07,
P12821,surface,1227,vocabulary,above_local,rental,over_local_ceiling,fp16,64,216,v2-ruled-vocabulary-2026-08-07,
P55344,surface,42,vocabulary,local,local,,int8,64,217,v2-ruled-vocabulary-2026-08-07,
G3V0H7,surface,109,vocabulary,local,local,,int8,64,218,v2-ruled-vocabulary-2026-08-07,
Q8NB59,non_surface,24,vocabulary,local,local,,int8,64,219,v2-ruled-vocabulary-2026-08-07,
Q99523,surface,678,vocabulary,above_local,rental,over_local_ceiling,fp16,64,220,v2-ruled-vocabulary-2026-08-07,
Q5T4D3,non_surface,280,vocabulary,local,local,,int8,64,221,v2-ruled-vocabulary-2026-08-07,
Q9HCX4,non_surface,51,vocabulary,local,local,,int8,64,222,v2-ruled-vocabulary-2026-08-07,
O15439,surface,13,vocabulary,local,local,,int8,64,223,v2-ruled-vocabulary-2026-08-07,
O00451,surface,422,gpi_rule_A,local,local,,int8,64,224,v2-ruled-vocabulary-2026-08-07,
P82251,surface,28,vocabulary,local,local,,int8,64,225,v2-ruled-vocabulary-2026-08-07,
Q9P2K9,surface,432,vocabulary,local,local,,int8,64,226,v2-ruled-vocabulary-2026-08-07,
Q9Y6H8,surface,31,vocabulary,local,local,,int8,64,227,v2-ruled-vocabulary-2026-08-07,
Q8IYV9,surface,271,vocabulary,local,local,,int8,64,228,v2-ruled-vocabulary-2026-08-07,
A6NND4,surface,34,vocabulary,local,local,,int8,64,229,v2-ruled-vocabulary-2026-08-07,
Q9ULW2,surface,205,vocabulary,local,local,,int8,64,230,v2-ruled-vocabulary-2026-08-07,
P05556,surface,708,vocabulary,above_local,rental,over_local_ceiling,fp16,64,231,v2-ruled-vocabulary-2026-08-07,
Q9P232,surface,982,gpi_rule_A,above_local,rental,over_local_ceiling,fp16,64,232,v2-ruled-vocabulary-2026-08-07,
Q8WXA8,surface,221,vocabulary,local,local,,int8,64,233,v2-ruled-vocabulary-2026-08-07,
Q8WTR4,surface,283,vocabulary,local,local,,int8,64,234,v2-ruled-vocabulary-2026-08-07,
Q70SY1,non_surface,120,vocabulary,local,local,,int8,64,235,v2-ruled-vocabulary-2026-08-07,
Q96H15,surface,290,vocabulary,local,local,,int8,64,236,v2-ruled-vocabulary-2026-08-07,
Q6UXU4,surface,103,vocabulary,local,local,,int8,64,237,v2-ruled-vocabulary-2026-08-07,
P35408,surface,24,vocabulary,local,local,,int8,64,238,v2-ruled-vocabulary-2026-08-07,
Q96QK8,non_surface,49,vocabulary,local,local,,int8,64,239,v2-ruled-vocabulary-2026-08-07,
Q6ZXV5,non_surface,492,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,240,v2-ruled-vocabulary-2026-08-07,
Q92537,surface,81,vocabulary,local,local,,int8,64,241,v2-ruled-vocabulary-2026-08-07,
Q9UQ52,surface,979,gpi_rule_A,above_local,rental,over_local_ceiling,fp16,64,242,v2-ruled-vocabulary-2026-08-07,
P09758,surface,248,vocabulary,local,local,,int8,64,243,v2-ruled-vocabulary-2026-08-07,
A6NLE4,non_surface,119,vocabulary,local,local,,int8,64,244,v2-ruled-vocabulary-2026-08-07,
O43699,surface,321,vocabulary,local,local,,int8,64,245,v2-ruled-vocabulary-2026-08-07,
P40967,surface,126,vocabulary,local,local,,int8,64,246,v2-ruled-vocabulary-2026-08-07,
Q14982,surface,294,gpi_rule_A,local,local,,int8,64,247,v2-ruled-vocabulary-2026-08-07,
Q8NGZ6,surface,37,vocabulary,local,local,,int8,64,248,v2-ruled-vocabulary-2026-08-07,
Q13591,surface,946,vocabulary,above_local,rental,over_local_ceiling,fp16,64,249,v2-ruled-vocabulary-2026-08-07,
O60609,surface,342,gpi_rule_A,local,local,,int8,64,250,v2-ruled-vocabulary-2026-08-07,
P06340,surface,192,vocabulary,local,local,,int8,64,251,v2-ruled-vocabulary-2026-08-07,
Q8N3F9,surface,48,vocabulary,local,local,,int8,64,252,v2-ruled-vocabulary-2026-08-07,
O60725,non_surface,8,vocabulary,local,local,,int8,64,253,v2-ruled-vocabulary-2026-08-07,
P01903,surface,191,vocabulary,local,local,,int8,64,254,v2-ruled-vocabulary-2026-08-07,
Q96R67,surface,37,vocabulary,local,local,,int8,64,255,v2-ruled-vocabulary-2026-08-07,
Q9UPQ8,non_surface,22,vocabulary,local,local,,int8,64,256,v2-ruled-vocabulary-2026-08-07,
Q9H0V9,surface,269,vocabulary,local,local,,int8,64,257,v2-ruled-vocabulary-2026-08-07,
