census_accession,source_identifiers,source_accessions,census_class,census_identity_status,fetch_eligible,fetch_ineligible_reason,parent_sha256,resolved_on
P47898,5HT5A_HUMAN,P47898,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P50406,5HT6R_HUMAN,P50406,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P34969,5HT7R_HUMAN,P34969,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9H0P0,5NT3A_HUMAN,Q9H0P0,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P21589,5NTD_HUMAN,P21589,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P56378,68MP_HUMAN,P56378,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P05408,7B2_HUMAN,P05408,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P02763,A1AG1_HUMAN,P02763,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P19652,A1AG2_HUMAN,P19652,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P20848,A1ATR_HUMAN,P20848,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P01009,A1AT_HUMAN,P01009,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P04217,A1BG_HUMAN,P04217,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P08697,A2AP_HUMAN,P08697,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P02750,A2GL_HUMAN,P02750,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P01023,A2MG_HUMAN,P01023,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
A8K2U0,A2ML1_HUMAN,A8K2U0,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NPC4,A4GAT_HUMAN,Q9NPC4,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9UNA3,A4GCT_HUMAN,Q9UNA3,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P05067,A4_HUMAN,P05067,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P30542,AA1R_HUMAN,P30542,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P29274,AA2AR_HUMAN,P29274,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P29275,AA2BR_HUMAN,P29275,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P0DMS9,AA3RB_HUMAN,Q6P2N6,non_surface,merged,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P33765,AA3R_HUMAN,P33765,surface,inactive,false,uniprot_inactive,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NS82,AAA1_HUMAN,Q9NS82,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P22760,AAAD_HUMAN,P22760,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q15758,AAAT_HUMAN,Q15758,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q86V21,AACS_HUMAN,Q86V21,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P01011,AACT_HUMAN,P01011,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q6PD74,AAGAB_HUMAN,Q6PD74,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P00505,AATM_HUMAN,P00505,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q96GS6,AB17A_HUMAN,Q96GS6,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q5VST6,AB17B_HUMAN,Q5VST6,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O95477,ABCA1_HUMAN,O95477,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9BZC7,ABCA2_HUMAN,Q9BZC7,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q99758,ABCA3_HUMAN,Q99758,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P78363,ABCA4_HUMAN,P78363,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8WWZ7,ABCA5_HUMAN,Q8WWZ7,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8N139,ABCA6_HUMAN,Q8N139,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8IZY2,ABCA7_HUMAN,Q8IZY2,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O94911,ABCA8_HUMAN,O94911,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8IUA7,ABCA9_HUMAN,Q8IUA7,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8WWZ4,ABCAA_HUMAN,Q8WWZ4,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q86UK0,ABCAC_HUMAN,Q86UK0,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q86UQ4,ABCAD_HUMAN,Q86UQ4,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q2M3G0,ABCB5_HUMAN,Q2M3G0,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NP58,ABCB6_HUMAN,Q9NP58,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O75027,ABCB7_HUMAN,O75027,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NUT2,ABCB8_HUMAN,Q9NUT2,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NP78,ABCB9_HUMAN,Q9NP78,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NRK6,ABCBA_HUMAN,Q9NRK6,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O95342,ABCBB_HUMAN,O95342,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q09428,ABCC8_HUMAN,Q09428,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O60706,ABCC9_HUMAN,O60706,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q96J66,ABCCB_HUMAN,Q96J66,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NSE7,ABCCD_HUMAN,Q9NSE7,non_surface,inactive,false,uniprot_inactive,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P33897,ABCD1_HUMAN,P33897,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9UBJ2,ABCD2_HUMAN,Q9UBJ2,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P28288,ABCD3_HUMAN,P28288,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O14678,ABCD4_HUMAN,O14678,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P45844,ABCG1_HUMAN,P45844,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9UNQ0,ABCG2_HUMAN,Q9UNQ0,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9H172,ABCG4_HUMAN,Q9H172,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9H222,ABCG5_HUMAN,Q9H222,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9H221,ABCG8_HUMAN,Q9H221,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8N2K0,ABD12_HUMAN,Q8N2K0,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q6UXT9,ABH15_HUMAN,Q6UXT9,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q96SE0,ABHD1_HUMAN,Q96SE0,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P08910,ABHD2_HUMAN,P08910,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8WU67,ABHD3_HUMAN,Q8WU67,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9BV23,ABHD6_HUMAN,Q9BV23,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NUJ1,ABHDA_HUMAN,Q9NUJ1,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q7L211,ABHDD_HUMAN,Q7L211,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9BUJ0,ABHEA_HUMAN,Q9BUJ0,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O95870,ABHGA_HUMAN,O95870,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O14639,ABLM1_HUMAN,O14639,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O00763,ACACB_HUMAN,O00763,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9H845,ACAD9_HUMAN,Q9H845,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P16219,ACADS_HUMAN,P16219,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O00400,ACATN_HUMAN,O00400,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q5T8D3,ACBD5_HUMAN,Q5T8D3,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q6JQN1,ACD10_HUMAN,Q6JQN1,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9BYF1,ACE2_HUMAN,Q9BYF1,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8TDN7,ACER1_HUMAN,Q8TDN7,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q5QJU3,ACER2_HUMAN,Q5QJU3,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NUN7,ACER3_HUMAN,Q9NUN7,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P22303,ACES_HUMAN,P22303,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P12821,ACE_HUMAN,P12821,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9GZZ6,ACH10_HUMAN,Q9GZZ6,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q15822,ACHA2_HUMAN,Q15822,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P32297,ACHA3_HUMAN,P32297,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P43681,ACHA4_HUMAN,P43681,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P30532,ACHA5_HUMAN,P30532,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q15825,ACHA6_HUMAN,Q15825,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P36544,ACHA7_HUMAN,P36544,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9UGM1,ACHA9_HUMAN,Q9UGM1,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P02708,ACHA_HUMAN,P02708,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P17787,ACHB2_HUMAN,P17787,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q05901,ACHB3_HUMAN,Q05901,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P30926,ACHB4_HUMAN,P30926,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P11230,ACHB_HUMAN,P11230,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q07001,ACHD_HUMAN,Q07001,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q04844,ACHE_HUMAN,Q04844,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P07510,ACHG_HUMAN,P07510,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q16570,ACKR1_HUMAN,Q16570,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O00590,ACKR2_HUMAN,O00590,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P25106,ACKR3_HUMAN,P25106,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9NPB9,ACKR4_HUMAN,Q9NPB9,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q5JWF8,ACL10_HUMAN,Q5JWF8,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P11229,ACM1_HUMAN,P11229,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P08172,ACM2_HUMAN,P08172,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P20309,ACM3_HUMAN,P20309,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P08173,ACM4_HUMAN,P08173,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P08912,ACM5_HUMAN,P08912,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8TDX5,ACMSD_HUMAN,Q8TDX5,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O00767,ACOD_HUMAN,O00767,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9Y305,ACOT9_HUMAN,Q9Y305,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P13798,ACPH_HUMAN,P13798,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O14561,ACPM_HUMAN,O14561,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8NEB7,ACRBP_HUMAN,Q8NEB7,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P10323,ACRO_HUMAN,P10323,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q68CK6,ACS2B_HUMAN,Q68CK6,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q96CM8,ACSF2_HUMAN,Q96CM8,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P33121,ACSL1_HUMAN,P33121,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O95573,ACSL3_HUMAN,O95573,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O60488,ACSL4_HUMAN,O60488,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9ULC5,ACSL5_HUMAN,Q9ULC5,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9UKU0,ACSL6_HUMAN,Q9UKU0,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q08AH1,ACSM1_HUMAN,Q08AH1,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q53FZ2,ACSM3_HUMAN,Q53FZ2,unclassified,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q01718,ACTHR_HUMAN,Q01718,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P36896,ACV1B_HUMAN,P36896,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8NER5,ACV1C_HUMAN,Q8NER5,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P37023,ACVL1_HUMAN,P37023,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q04771,ACVR1_HUMAN,Q04771,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O14672,ADA10_HUMAN,O14672,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O75078,ADA11_HUMAN,O75078,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O43184,ADA12_HUMAN,O43184,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q13444,ADA15_HUMAN,Q13444,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P78536,ADA17_HUMAN,P78536,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9Y3Q7,ADA18_HUMAN,Q9Y3Q7,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9H013,ADA19_HUMAN,Q9H013,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
