gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
KNSTRN,Q9Y448,1,"Mitotic spindle, Centriolar satellite",Plasma membrane,Enhanced
KNTC1,P50748,1,Cytosol,Plasma membrane,Supported
KPNA1,P52294,1,Nucleoplasm,Cytosol,Enhanced
KPNA2,P52292,1,Nucleoplasm,Cytosol,Enhanced
KPNA3,O00505,1,"Nucleoplasm, Cytosol",,Approved
KPNA4,O00629,1,Nucleoplasm,Nuclear membrane,Enhanced
KPNA5,O15131,1,Cytosol,,Supported
KPNA6,O60684,1,Cytosol,Nucleoplasm,Approved
KPNA7,A9QM74,1,,,
KPNB1,Q14974,1,Nuclear membrane,"Nucleoplasm, Cytosol",Enhanced
KPRP,Q5T749,1,,,
KPTN,Q9Y664,1,Plasma membrane,"Nucleoplasm, Vesicles",Approved
KRAS,P01116,1,,,
KRBA1,A5PL33,1,Nucleoplasm,Cytosol,Approved
KRBA2,Q6ZNG9,1,Nucleoplasm,,Approved
KRBOX1,C9JBD0,1,Nucleoplasm,Golgi apparatus,Approved
KRBOX4,Q5JUW0,1,Nucleoplasm,,Approved
KRCC1,Q9NPI7,1,Cytosol,Nucleoli,Approved
KREMEN1,Q96MU8,1,Nucleoplasm,"Nuclear bodies, Cytosol",Approved
KREMEN2,Q8NCW0,1,Nucleoli,,Approved
KRI1,Q8N9T8,1,Nucleoli,,Enhanced
KRIT1,O00522,1,Vesicles,,Uncertain
KRR1,Q13601,1,"Nucleoli, Nucleoli rim","Nucleoplasm, Mitotic chromosome",Enhanced
KRT1,P04264,1,,,
KRT10,P13645,1,,,
KRT12,Q99456,1,,,
KRT13,P13646,1,Intermediate filaments,,Enhanced
KRT14,P02533,1,Intermediate filaments,,Enhanced
KRT15,P19012,1,Intermediate filaments,Nucleoplasm,Supported
KRT16,P08779,1,Intermediate filaments,,Approved
KRT17,Q04695,1,Intermediate filaments,,Enhanced
KRT18,P05783,1,Cytosol,,Supported
KRT19,P08727,1,Intermediate filaments,,Supported
KRT2,P35908,1,,,
KRT20,P35900,1,"Intermediate filaments, Cytosol",,Supported
KRT222,Q8N1A0,1,"Vesicles, Lipid droplets",,Approved
KRT23,Q9C075,1,Intermediate filaments,Cytosol,Approved
KRT24,Q2M2I5,1,"Intermediate filaments, Cytosol",,Approved
KRT25,Q7Z3Z0,1,Vesicles,,Approved
KRT26,Q7Z3Y9,1,,,
KRT27,Q7Z3Y8,1,,,
KRT28,Q7Z3Y7,1,,,
KRT3,P12035,1,,,
KRT31,Q15323,1,,,
KRT32,Q14532,1,,,
KRT33A,O76009,1,,,
KRT33B,Q14525,1,,,
KRT34,O76011,1,"Nucleoplasm, Vesicles",,Approved
KRT35,Q92764,1,Intermediate filaments,,Approved
KRT36,O76013,1,,,
KRT37,O76014,1,,,
KRT38,O76015,1,,,
KRT39,Q6A163,1,,,
KRT4,P19013,1,Intermediate filaments,,Supported
KRT40,Q6A162,1,,,
KRT5,P13647,1,Intermediate filaments,,Approved
KRT6A,P02538,1,Intermediate filaments,,Enhanced
KRT6B,P04259,1,Intermediate filaments,,Approved
KRT6C,P48668,1,Intermediate filaments,,Approved
KRT7,P08729,1,"Intermediate filaments, Cytosol",,Supported
KRT71,Q3SY84,1,,,
KRT72,Q14CN4,1,,,
KRT73,Q86Y46,1,,,
KRT74,Q7RTS7,1,Intermediate filaments,"Nucleoli, Cytosol",Approved
KRT75,O95678,1,Cytosol,Plasma membrane,Approved
KRT76,Q01546,1,,,
KRT77,Q7Z794,1,"Nuclear membrane, Plasma membrane",,Approved
KRT78,Q8N1N4,1,,,
KRT79,Q5XKE5,1,,,
KRT8,P05787,1,Intermediate filaments,,Supported
KRT80,Q6KB66,1,Intermediate filaments,,Enhanced
KRT81,Q14533,1,,,
KRT82,Q9NSB4,1,,,
KRT83,P78385,1,,,
KRT84,Q9NSB2,1,,,
KRT85,P78386,1,,,
KRT86,O43790,1,Cytosol,,Approved
KRT9,P35527,1,,,
KRTAP1-1,Q07627,1,,,
KRTAP1-3,Q8IUG1,1,,,
KRTAP1-4,P0C5Y4,1,,,
KRTAP1-5,Q9BYS1,1,,,
KRTAP10-1,P60331,1,,,
KRTAP10-10,P60014,1,,,
KRTAP10-11,P60412,1,,,
KRTAP10-12,P60413,1,,,
KRTAP10-2,P60368,1,,,
KRTAP10-3,P60369,1,,,
KRTAP10-4,P60372,1,,,
KRTAP10-5,P60370,1,,,
KRTAP10-6,P60371,1,,,
KRTAP10-7,P60409,1,,,
KRTAP10-8,P60410,1,,,
KRTAP10-9,P60411,1,,,
KRTAP11-1,Q8IUC1,1,,,
KRTAP12-1,P59990,1,,,
KRTAP12-2,P59991,1,,,
KRTAP12-3,P60328,1,,,
KRTAP12-4,P60329,1,,,
KRTAP13-1,Q8IUC0,1,,,
KRTAP13-2,Q52LG2,1,,,
KRTAP13-3,Q3SY46,1,,,
KRTAP13-4,Q3LI77,1,,,
KRTAP15-1,Q3LI76,1,,,
KRTAP16-1,A8MUX0,1,,,
KRTAP17-1,Q9BYP8,1,,,
KRTAP19-1,Q8IUB9,1,,,
KRTAP19-2,Q3LHN2,1,,,
KRTAP19-3,Q7Z4W3,1,,,
KRTAP19-4,Q3LI73,1,,,
KRTAP19-5,Q3LI72,1,,,
KRTAP19-6,Q3LI70,1,,,
KRTAP19-7,Q3SYF9,1,,,
KRTAP19-8,Q3LI54,1,,,
KRTAP2-1,Q9BYU5,1,,,
KRTAP2-2,Q9BYT5,1,,,
KRTAP2-3,P0C7H8,1,,,
KRTAP2-4,Q9BYR9,1,,,
KRTAP20-1,Q3LI63,1,,,
KRTAP20-2,Q3LI61,1,,,
KRTAP20-3,Q3LI60,1,,,
KRTAP20-4,Q3LI62,1,,,
KRTAP21-1,Q3LI58,1,,,
KRTAP21-2,Q3LI59,1,,,
KRTAP21-3,Q3LHN1,1,,,
KRTAP22-1,Q3MIV0,1,,,
KRTAP22-2,Q3LI68,1,,,
KRTAP23-1,A1A580,1,,,
KRTAP24-1,Q3LI83,1,,,
KRTAP25-1,Q3LHN0,1,Nuclear membrane,"Plasma membrane, Cytosol",Approved
KRTAP26-1,Q6PEX3,1,,,
KRTAP27-1,Q3LI81,1,,,
KRTAP29-1,A8MX34,1,,,
KRTAP3-1,Q9BYR8,1,,,
KRTAP3-2,Q9BYR7,1,,,
KRTAP3-3,Q9BYR6,1,,,
KRTAP4-1,Q9BYQ7,1,,,
KRTAP4-11,Q9BYQ6,1,,,
KRTAP4-12,Q9BQ66,1,,,
KRTAP4-16,,0,,,
KRTAP4-2,Q9BYR5,1,,,
KRTAP4-3,Q9BYR4,1,,,
KRTAP4-4,Q9BYR3,1,,,
KRTAP4-5,Q9BYR2,1,,,
KRTAP4-6,Q9BYQ5,1,,,
KRTAP4-7,Q9BYR0,1,,,
KRTAP4-8,Q9BYQ9,1,,,
KRTAP4-9,Q9BYQ8,1,,,
KRTAP5-1,Q6L8H4,1,,,
KRTAP5-10,Q6L8G5,1,,,
KRTAP5-11,Q6L8G4,1,,,
KRTAP5-2,Q701N4,1,,,
KRTAP5-3,Q6L8H2,1,,,
KRTAP5-4,,0,,,
KRTAP5-5,Q701N2,1,,,
KRTAP5-6,Q6L8G9,1,,,
KRTAP5-7,Q6L8G8,1,,,
KRTAP5-8,O75690,1,,,
KRTAP5-9,P26371,1,,,
KRTAP6-1,Q3LI64,1,,,
KRTAP6-2,Q3LI66,1,,,
KRTAP6-3,Q3LI67,1,,,
KRTAP7-1,Q8IUC3,1,,,
KRTAP8-1,Q8IUC2,1,,,
KRTAP9-1,A8MXZ3,1,,,
KRTAP9-2,Q9BYQ4,1,,,
KRTAP9-3,Q9BYQ3,1,,,
KRTAP9-4,Q9BYQ2,1,,,
KRTAP9-6,A8MVA2,1,,,
KRTAP9-7,A8MTY7,1,,,
KRTAP9-8,Q9BYQ0,1,,,
KRTAP9-9,Q9BYP9,1,,,
KRTCAP2,Q8N6L1,1,,,
KRTCAP3,Q53RY4,1,"Nucleoplasm, Cytosol",,Approved
KRTDAP,P60985,1,,,
KSR1,Q8IVT5,1,Cytosol,Vesicles,Supported
KSR2,Q6VAB6,1,,,
KTI12,Q96EK9,1,"Nuclear speckles, Cytoplasmic bodies",,Approved
KTN1,Q86UP2,1,Endoplasmic reticulum,,Enhanced
KXD1,Q9BQD3,1,"Nucleoli fibrillar center, Centrosome, Cytosol",,Approved
KY,Q8NBH2,1,Nucleoplasm,,Approved
KYAT1,Q16773,1,Cytosol,,Supported
KYAT3,Q6YP21,1,Cytosol,"Nucleoli, Cytokinetic bridge",Approved
KYNU,Q16719,1,Cytosol,Nucleoplasm,Supported
L1CAM,P32004,1,"Nucleoplasm, Plasma membrane",,Approved
L1TD1,Q5T7N2,1,Vesicles,,Enhanced
L2HGDH,Q9H9P8,1,Mitochondria,,Enhanced
L34079.1,,0,,,
L3HYPDH,Q96EM0,1,Vesicles,,Uncertain
L3MBTL1,Q9Y468,1,Nucleoplasm,"Nuclear bodies, Midbody ring",Supported
L3MBTL2,Q969R5,1,Nucleoplasm,,Approved
L3MBTL3,Q96JM7,1,"Nucleoli, Nucleoli rim",Nucleoplasm,Supported
L3MBTL4,Q8NA19,1,"Nucleoplasm, Vesicles",,Approved
LACC1,Q8IV20,1,,,
LACRT,Q9GZZ8,1,,,
LACTB,P83111,1,Mitochondria,,Supported
LACTB2,Q53H82,1,Cytosol,"Nucleoplasm, Golgi apparatus",Supported
LACTBL1,A8MY62,1,Nuclear bodies,,Approved
LAD1,O00515,1,Actin filaments,,Enhanced
LAG3,P18627,1,,,
LAGE3,Q14657,1,Nucleoplasm,Nuclear bodies,Supported
LAIR1,Q6GTX8,1,Plasma membrane,,Supported
LAIR2,Q6ISS4,1,,,
LALBA,P00709,1,,,
LAMA1,P25391,1,,,
LAMA2,P24043,1,,,
LAMA3,Q16787,1,Endoplasmic reticulum,,Approved
LAMA4,Q16363,1,"Plasma membrane, Cytosol",,Approved
LAMA5,O15230,1,Vesicles,,Approved
LAMB1,P07942,1,,,
LAMB2,P55268,1,Vesicles,Cytosol,Approved
LAMB3,Q13751,1,Vesicles,,Approved
LAMB4,A4D0S4,1,,,
LAMC1,P11047,1,"Endoplasmic reticulum, Plasma membrane",,Approved
LAMC2,Q13753,1,"Endoplasmic reticulum, Golgi apparatus",,Approved
LAMC3,Q9Y6N6,1,,,
LAMP1,P11279,1,,,
LAMP2,P13473,1,Vesicles,,Supported
LAMP3,Q9UQV4,1,Vesicles,,Enhanced
LAMP5,Q9UJQ1,1,Cytosol,"Mitotic spindle, Centriolar satellite",Uncertain
LAMTOR1,Q6IAA8,1,Golgi apparatus,"Vesicles, Plasma membrane",Supported
LAMTOR2,Q9Y2Q5,1,"Nucleoplasm, Vesicles",,Approved
LAMTOR3,Q9UHA4,1,,,
LAMTOR4,Q0VGL1,1,Vesicles,,Supported
LAMTOR5,O43504,1,Cytosol,,Supported
LANCL1,O43813,1,Microtubules,,Uncertain
LANCL2,Q9NS86,1,"Nucleoplasm, Cytosol",,Supported
LANCL3,Q6ZV70,1,Mitochondria,,Approved
LAP3,P28838,1,Cytosol,"Nucleoplasm, Midbody",Approved
LAPTM4A,Q15012,1,"Golgi apparatus, Vesicles",Plasma membrane,Approved
LAPTM4B,Q86VI4,1,Golgi apparatus,,Approved
LAPTM5,Q13571,1,Cytosol,,Approved
LARGE1,O95461,1,,,
LARGE2,Q8N3Y3,1,,,
LARP1,Q6PKG0,1,"Nucleoplasm, Endoplasmic reticulum, Cytosol",,Supported
LARP1B,Q659C4,1,Cytosol,,Approved
LARP4,Q71RC2,1,Cytosol,Nucleoli fibrillar center,Enhanced
LARP4B,Q92615,1,Cytosol,,Enhanced
LARP6,Q9BRS8,1,Microtubules,Cytokinetic bridge,Approved
LARP7,Q4G0J3,1,"Nucleoplasm, Cytosol",,Supported
LARS1,Q9P2J5,1,"Nuclear bodies, Cytosol",,Approved
LARS2,Q15031,1,Mitochondria,Nucleoplasm,Supported
LAS1L,Q9Y4W2,1,Nucleoplasm,"Centriolar satellite, Cytosol",Approved
LASP1,Q14847,1,"Plasma membrane, Cytosol",Focal adhesion sites,Supported
LAT,O43561,1,Plasma membrane,Golgi apparatus,Supported
LAT2,Q9GZY6,1,Plasma membrane,,Supported
LATS1,O95835,1,,,
LATS2,Q9NRM7,1,"Centriolar satellite, Cytosol",,Supported
LAX1,Q8IWV1,1,"Plasma membrane, Cytosol",Golgi apparatus,Enhanced
LAYN,Q6UX15,1,Cytosol,,Approved
LBH,Q53QV2,1,Vesicles,,Approved
LBHD1,Q9BQE6,1,Nucleoplasm,Cytosol,Approved
LBHD2,A0A0U1RRK4,1,,,
LBP,P18428,1,,,
LBR,Q14739,1,Nuclear membrane,,Enhanced
LBX1,P52954,1,Nucleoplasm,"Nucleoli, Nuclear bodies, Cytosol",Approved
LBX2,Q6XYB7,1,Nucleoplasm,Midbody,Approved
LCA5,Q86VQ0,1,Centriolar satellite,,Approved
LCA5L,O95447,1,Nucleoplasm,Cytosol,Uncertain
LCAT,P04180,1,Nucleoplasm,,Approved
LCE1A,Q5T7P2,1,,,
LCE1B,Q5T7P3,1,,,
LCE1C,Q5T751,1,,,
LCE1D,Q5T752,1,,,
LCE1E,Q5T753,1,,,
LCE1F,Q5T754,1,,,
LCE2A,Q5TA79,1,,,
LCE2B,O14633,1,,,
LCE2C,Q5TA81,1,,,
LCE2D,Q5TA82,1,,,
LCE3A,Q5TA76,1,,,
LCE3B,Q5TA77,1,,,
LCE3C,Q5T5A8,1,,,
LCE3D,Q9BYE3,1,,,
LCE3E,Q5T5B0,1,,,
LCE4A,Q5TA78,1,,,
LCE5A,Q5TCM9,1,,,
LCE6A,A0A183,1,,,
LCK,P06239,1,Golgi apparatus,,Approved
LCLAT1,Q6UWP7,1,Endoplasmic reticulum,Cytosol,Supported
LCMT1,Q9UIC8,1,"Nucleoplasm, Cytosol",,Approved
LCMT2,O60294,1,Cytosol,,Approved
LCN1,P31025,1,,,
LCN10,Q6JVE6,1,,,
LCN12,Q6JVE5,1,,,
LCN15,Q6UWW0,1,,,
LCN2,P80188,1,Endoplasmic reticulum,,Supported
LCN6,P62502,1,,,
LCN8,Q6JVE9,1,,,
LCN9,Q8WX39,1,,,
LCNL1,Q6ZST4,1,,,
LCOR,Q96JN0,1,Nucleoplasm,,Enhanced
LCORL,Q8N3X6,1,Nucleoplasm,Nuclear membrane,Approved
LCP1,P13796,1,Plasma membrane,"Actin filaments, Cytosol",Supported
LCP2,Q13094,1,,,
LCT,P09848,1,,,
LCTL,Q6UWM7,1,Plasma membrane,Endoplasmic reticulum,Approved
LDAH,Q9H6V9,1,,,
LDB1,Q86U70,1,Nucleoplasm,,Approved
LDB2,O43679,1,"Nucleoplasm, Nucleoli",Plasma membrane,Supported
LDB3,O75112,1,"Focal adhesion sites, Cytosol",Nucleoplasm,Supported
LDHA,P00338,1,Cytosol,Vesicles,Supported
LDHAL6A,Q6ZMR3,1,,,
LDHAL6B,Q9BYZ2,1,Cytosol,,Approved
LDHB,P07195,1,Cytosol,,Supported
LDHC,P07864,1,,,
LDHD,Q86WU2,1,Cytosol,,Approved
LDLR,P01130,1,,,
LDLRAD1,Q5T700,1,Nucleoplasm,Golgi apparatus,Uncertain
LDLRAD2,Q5SZI1,1,,,
LDLRAD3,Q86YD5,1,Cell Junctions,,Approved
LDLRAD4,O15165,1,Vesicles,,Supported
LDLRAP1,Q5SW96,1,Microtubules,,Approved
LDOC1,O95751,1,"Nucleoplasm, Nucleoli",,Supported
LEAP2,Q969E1,1,,,
LECT2,O14960,1,Cytosol,Vesicles,Supported
LEF1,Q9UJU2,1,Nucleoplasm,,Approved
LEFTY1,O75610,1,,,
LEFTY2,O00292,1,,,
LEKR1,,0,Nucleoplasm,Nucleoli,Approved
LELP1,Q5T871,1,,,
LEMD1,Q68G75,1,"Nucleoli, Cytosol",,Approved
LEMD2,Q8NC56,1,Nuclear membrane,,Supported
LEMD3,Q9Y2U8,1,Nuclear membrane,,Supported
LENEP,Q9Y5L5,1,,,
LENG1,Q96BZ8,1,Plasma membrane,Nucleoplasm,Approved
LENG8,Q96PV6,1,Nucleoplasm,Cytosol,Approved
LENG9,,0,Nucleoli fibrillar center,,Approved
LEO1,Q8WVC0,1,"Nucleoplasm, Nucleoli fibrillar center",Centrosome,Enhanced
LEP,P41159,1,"Vesicles, Plasma membrane",,Approved
LEPR,P48357,1,,,
LEPROT,O15243,1,Centrosome,,Approved
LEPROTL1,O95214,1,,,
LETM1,O95202,1,Mitochondria,,Supported
LETM2,Q2VYF4,1,Nucleoplasm,"Nuclear bodies, Cytosol",Approved
LETMD1,Q6P1Q0,1,Mitochondria,"Nucleoplasm, Nucleoli",Supported
LEUTX,A8MZ59,1,"Nucleoplasm, Nucleoli",,Approved
LEXM,Q3ZCV2,1,,,
LFNG,Q8NES3,1,Golgi apparatus,Nuclear membrane,Approved
LGALS1,P09382,1,Cytosol,Nucleoplasm,Approved
LGALS12,Q96DT0,1,Cytosol,,Approved
LGALS13,Q9UHV8,1,Nucleoplasm,,Supported
LGALS14,Q8TCE9,1,Nucleoplasm,,Supported
LGALS16,A8MUM7,1,,,
LGALS2,P05162,1,Mitochondria,Nucleoplasm,Approved
LGALS3,P17931,1,"Nucleoplasm, Cytosol",Plasma membrane,Supported
LGALS3BP,Q08380,1,,,
LGALS4,P56470,1,Plasma membrane,,Uncertain
LGALS7,P47929,1,,,
LGALS7B,P47929,1,,,
LGALS8,O00214,1,Plasma membrane,,Approved
LGALS9,O00182,1,Cytosol,,Approved
LGALS9B,Q3B8N2,1,Cytosol,,Uncertain
LGALS9C,Q6DKI2,1,Cytosol,,Approved
LGALSL,Q3ZCW2,1,Nucleoplasm,,Approved
LGI1,O95970,1,,,
LGI2,Q8N0V4,1,Centrosome,,Uncertain
LGI3,Q8N145,1,Cytosol,,Uncertain
LGI4,Q8N135,1,Golgi apparatus,,Approved
LGMN,Q99538,1,Vesicles,Nucleoplasm,Approved
LGR4,Q9BXB1,1,Centriolar satellite,,Approved
LGR5,O75473,1,Golgi apparatus,Nucleoplasm,Approved
LGR6,Q9HBX8,1,Plasma membrane,Nucleoplasm,Approved
LGSN,Q5TDP6,1,"Nucleoplasm, Vesicles",,Approved
LHB,P01229,1,,,
LHCGR,P22888,1,Plasma membrane,Centriolar satellite,Supported
LHFPL1,Q86WI0,1,,,
LHFPL2,Q6ZUX7,1,Plasma membrane,"Nuclear bodies, Vesicles",Approved
LHFPL3,Q86UP9,1,Vesicles,,Approved
LHFPL4,Q7Z7J7,1,Golgi apparatus,Nucleoplasm,Approved
LHFPL5,Q8TAF8,1,Vesicles,,Approved
LHFPL6,Q9Y693,1,Nucleoli,,Uncertain
LHPP,Q9H008,1,"Nuclear speckles, Cytosol",,Supported
LHX1,P48742,1,Nucleoplasm,"Nuclear membrane, Golgi apparatus",Supported
LHX2,P50458,1,Nucleoplasm,,Approved
LHX3,Q9UBR4,1,,,
LHX4,Q969G2,1,Nuclear speckles,,Approved
LHX5,Q9H2C1,1,Cytosol,"Nucleoplasm, Nuclear bodies",Approved
LHX6,Q9UPM6,1,Nucleoli fibrillar center,Plasma membrane,Uncertain
LHX8,Q68G74,1,"Nucleoplasm, Nucleoli",Cytosol,Approved
LHX9,Q9NQ69,1,Nucleoplasm,,Approved
LIAS,O43766,1,Nucleoplasm,Mitochondria,Approved
LIF,P15018,1,Cytosol,,Supported
LIFR,P42702,1,,,
LIG1,P18858,1,Nucleoplasm,"Golgi apparatus, Vesicles",Supported
LIG3,P49916,1,Nucleoplasm,,Supported
LIG4,P49917,1,Nucleoplasm,Cytoplasmic bodies,Supported
LILRA1,O75019,1,,,
LILRA2,Q8N149,1,,,
LILRA4,P59901,1,,,
LILRA5,A6NI73,1,,,
LILRA6,Q6PI73,1,Plasma membrane,Cytosol,Approved
LILRB1,,0,,,
LILRB2,Q8N423,1,,,
LILRB3,O75022,1,Plasma membrane,Cytosol,Approved
LILRB4,Q8NHJ6,1,,,
LILRB5,O75023,1,,,
LIM2,P55344,1,,,
LIMA1,Q9UHB6,1,"Plasma membrane, Actin filaments","Focal adhesion sites, Cytosol",Enhanced
LIMCH1,Q9UPQ0,1,Actin filaments,,Approved
LIMD1,Q9UGP4,1,"Nucleoplasm, Focal adhesion sites",,Supported
LIMD2,Q9BT23,1,Nucleoplasm,Cytosol,Supported
LIME1,Q9H400,1,,,
LIMK1,P53667,1,"Nuclear speckles, Cytosol",,Supported
LIMK2,P53671,1,Nucleoplasm,Cytosol,Supported
LIMS1,P48059,1,Cytosol,Focal adhesion sites,Approved
LIMS2,Q7Z4I7,1,Focal adhesion sites,,Supported
LIMS3,P0CW19,1,Cytosol,Focal adhesion sites,Approved
LIMS4,P0CW20,1,Cytosol,Focal adhesion sites,Uncertain
LIN28A,Q9H9Z2,1,Cytosol,"Nucleoli, Rods & Rings",Supported
LIN28B,Q6ZN17,1,"Nucleoplasm, Nucleoli",Cytosol,Supported
LIN37,Q96GY3,1,Nucleoplasm,,Supported
LIN52,Q52LA3,1,Nuclear speckles,,Approved
LIN54,Q6MZP7,1,,,
LIN7A,O14910,1,,,
LIN7B,Q9HAP6,1,,,
LIN7C,Q9NUP9,1,,,
LIN9,Q5TKA1,1,Nucleoplasm,,Supported
LINC00514,,0,,,
LINC00634,,0,Nuclear speckles,Cytosol,Approved
LINC00672,,0,,,
LINC02203,,0,Centrosome,,Approved
LINC02210-CRHR1,,0,,,
LINC02218,,0,,,
LINGO1,Q96FE5,1,Plasma membrane,,Supported
LINGO2,Q7L985,1,,,
LINGO3,P0C6S8,1,Mitochondria,,Approved
LINGO4,Q6UY18,1,"Golgi apparatus, Vesicles",,Uncertain
LINS1,Q8NG48,1,Nucleoplasm,,Approved
LIPA,P38571,1,"Vesicles, Cytosol","Nucleoplasm, Nucleoli fibrillar center",Supported
LIPC,P11150,1,,,
LIPE,Q05469,1,Cytosol,,Supported
LIPF,P07098,1,,,
LIPG,Q9Y5X9,1,,,
LIPH,Q8WWY8,1,,,
LIPI,Q6XZB0,1,Plasma membrane,,Supported
LIPJ,Q5W064,1,Plasma membrane,,Approved
LIPK,Q5VXJ0,1,,,
LIPM,Q5VYY2,1,Endoplasmic reticulum,,Approved
LIPN,Q5VXI9,1,,,
LIPT1,Q9Y234,1,,,
LIPT2,A6NK58,1,,,
LITAF,Q99732,1,Nucleoplasm,"Golgi apparatus, Vesicles",Supported
LITAFD,A0A1B0GVX0,1,,,
LIX1,Q8N485,1,Cytosol,"Vesicles, Cytokinetic bridge",Approved
LIX1L,Q8IVB5,1,Cytosol,,Approved
LKAAEAR1,Q8TD35,1,Nucleoplasm,,Approved
LLCFC1,Q96L11,1,,,
LLGL1,Q15334,1,,,
LLGL2,Q6P1M3,1,Cytosol,Vesicles,Supported
LLPH,Q9BRT6,1,Nucleoli,Mitotic chromosome,Enhanced
LMAN1,P49257,1,Vesicles,Endoplasmic reticulum,Supported
LMAN1L,Q9HAT1,1,,,
LMAN2,Q12907,1,Golgi apparatus,,Supported
LMAN2L,Q9H0V9,1,,,
LMBR1,Q8WVP7,1,Cytosol,,Approved
LMBR1L,Q6UX01,1,,,
LMBRD1,Q9NUN5,1,Vesicles,,Supported
LMBRD2,Q68DH5,1,"Nucleoplasm, Cytosol",,Approved
LMCD1,Q9NZU5,1,"Nucleoplasm, Cytosol","Plasma membrane, Cell Junctions",Supported
LMF1,Q96S06,1,,,
LMF2,Q9BU23,1,Centrosome,,Approved
LMLN,Q96KR4,1,Cytosol,Focal adhesion sites,Supported
LMLN2,A0A1B0GTW7,1,,,
LMNA,P02545,1,Nuclear speckles,,Supported
LMNB1,P20700,1,Nuclear membrane,,Supported
LMNB2,Q03252,1,Nuclear membrane,,Supported
LMNTD1,Q8N9Z9,1,"Nucleoplasm, Centrosome",,Approved
LMNTD2,Q8IXW0,1,Cytoplasmic bodies,,Approved
LMO1,P25800,1,,,
LMO2,P25791,1,Nucleoplasm,,Approved
LMO3,Q8TAP4,1,,,
LMO4,P61968,1,Nucleoplasm,Midbody ring,Supported
LMO7,Q8WWI1,1,Actin filaments,Cytosol,Supported
LMOD1,P29536,1,Cytosol,,Approved
LMOD2,Q6P5Q4,1,Plasma membrane,"Actin filaments, Cytosol",Uncertain
LMOD3,Q0VAK6,1,,,
LMTK2,Q8IWU2,1,"Nuclear speckles, Centriolar satellite","Plasma membrane, Cytosol",Approved
LMTK3,Q96Q04,1,Nucleoplasm,Cell Junctions,Uncertain
LMX1A,Q8TE12,1,"Nucleoplasm, Golgi apparatus, Vesicles",,Approved
LMX1B,O60663,1,Nucleoplasm,,Approved
LNP1,A1A4G5,1,Vesicles,"Nuclear speckles, Cytosol",Approved
LNPEP,Q9UIQ6,1,,,
LNPK,Q9C0E8,1,Endoplasmic reticulum,Nucleoplasm,Supported
LNX1,Q8TBB1,1,Cell Junctions,Cytosol,Supported
LNX2,Q8N448,1,Vesicles,"Plasma membrane, Cytosol",Approved
LONP1,P36776,1,Mitochondria,Nucleoplasm,Enhanced
LONP2,Q86WA8,1,,,
LONRF1,Q17RB8,1,"Plasma membrane, Cytosol",Centrosome,Approved
LONRF2,Q1L5Z9,1,Nucleoplasm,,Approved
LONRF3,Q496Y0,1,Nucleoplasm,Plasma membrane,Approved
LORICRIN,P23490,1,,,
LOX,P28300,1,Endoplasmic reticulum,,Approved
LOXHD1,Q8IVV2,1,Plasma membrane,,Approved
LOXL1,Q08397,1,Endoplasmic reticulum,,Approved
LOXL2,Q9Y4K0,1,Nucleoplasm,,Enhanced
LOXL3,P58215,1,,,
LOXL4,Q96JB6,1,Vesicles,,Approved
LPA,P08519,1,,,
LPAR1,Q92633,1,,,
LPAR2,Q9HBW0,1,,,
LPAR3,Q9UBY5,1,Plasma membrane,,Supported
LPAR4,Q99677,1,Plasma membrane,"Nuclear bodies, Vesicles",Supported
LPAR5,Q9H1C0,1,,,
LPAR6,P43657,1,,,
LPCAT1,Q8NF37,1,Endoplasmic reticulum,Lipid droplets,Supported
LPCAT2,Q7L5N7,1,Endoplasmic reticulum,Lipid droplets,Supported
LPCAT3,Q6P1A2,1,,,
LPCAT4,Q643R3,1,,,
LPGAT1,Q92604,1,,,
LPIN1,Q14693,1,Cytosol,Plasma membrane,Approved
LPIN2,Q92539,1,Cytosol,"Plasma membrane, Actin filaments",Approved
LPIN3,Q9BQK8,1,Cytosol,,Supported
LPL,P06858,1,Vesicles,,Supported
LPO,P22079,1,,,
LPP,Q93052,1,"Focal adhesion sites, Cytosol",,Supported
LPXN,O60711,1,Focal adhesion sites,"Nuclear speckles, Cytosol",Supported
LRAT,O95237,1,Golgi apparatus,Endoplasmic reticulum,Uncertain
LRATD1,Q96KN4,1,Nucleoplasm,,Approved
LRATD2,Q96KN1,1,Nucleoplasm,,Approved
LRBA,P50851,1,Golgi apparatus,Cytosol,Approved
LRCH1,Q9Y2L9,1,"Actin filaments, Cytosol",Nucleoli,Approved
LRCH2,Q5VUJ6,1,Plasma membrane,,Approved
LRCH3,Q96II8,1,Cytosol,,Enhanced
LRCH4,O75427,1,"Nucleoplasm, Focal adhesion sites, Cytosol",,Approved
LRCOL1,A6NCL2,1,,,
LRFN1,Q9P244,1,,,
LRFN2,Q9ULH4,1,Plasma membrane,,Supported
LRFN3,Q9BTN0,1,,,
LRFN4,Q6PJG9,1,,,
LRFN5,Q96NI6,1,,,
LRG1,P02750,1,Vesicles,,Approved
LRGUK,Q96M69,1,,,
LRIF1,Q5T3J3,1,Nucleoplasm,Centriolar satellite,Supported
LRIG1,Q96JA1,1,Cytosol,,Approved
LRIG2,O94898,1,Golgi apparatus,Nucleoplasm,Approved
LRIG3,Q6UXM1,1,Cytosol,,Approved
LRIT1,Q9P2V4,1,,,
LRIT2,A6NDA9,1,,,
