accession,gene,n_spans,largest_span_aa,total_ecd_aa,n_pdb,cov_total_aa,cov_total_pct,cov_largest_aa,cov_largest_pct,best_pdb,best_pdb_cov_aa,best_pdb_method,best_pdb_res,has_alphafold,has_smr
Q6PJG9,LRFN4,1,502,502,0,0,0.0,0,0.0,,0,,,True,True
O75581,LRP6,1,1351,1351,27,1234,91.3,1234,91.3,5GJE,1227,EM,21.00 A,True,True
Q6UXK5,LRRN1,1,606,606,0,0,0.0,0,0.0,,0,,,True,True
Q8ND94,LRRN4CL,1,172,172,0,0,0.0,0,0.0,,0,,,True,True
Q9GZU1,MCOLN1,4,212,245,25,245,100.0,212,100.0,5WJ5,245,EM,3.70 A,True,True
Q16819,MEP1A,1,647,647,5,535,82.7,535,82.7,7UAB,535,EM,3.70 A,True,True
Q12866,MERTK,1,485,485,42,111,22.9,111,22.9,2DBJ,111,NMR,-,True,True
P50281,MMP14,1,430,430,12,377,87.7,377,87.7,2MQS,196,NMR,-,True,True
Q13421,MSLN,0,0,0,12,0,0.0,0,0.0,4F3F,0,X-ray,2.65 A,True,True
Q8WXI7,MUC16,1,14451,14451,4,345,2.4,345,2.4,7SA9,193,X-ray,1.69 A,False,True
P13591,NCAM1,1,699,699,7,388,55.5,388,55.5,2VKW,201,X-ray,2.30 A,True,True
Q96NY8,NECTIN4,1,318,318,5,212,66.7,212,66.7,4FRW,212,X-ray,3.50 A,True,True
Q04721,NOTCH2,1,1652,1652,2,374,22.6,374,22.6,2OO4,255,X-ray,2.00 A,True,True
Q99650,OSMR,1,713,713,0,0,0.0,0,0.0,,0,,,True,True
O60245,PCDH7,1,851,851,1,112,13.2,112,13.2,2YST,112,NMR,-,True,True
P09619,PDGFRB,1,500,500,8,289,57.8,289,57.8,3MJG,282,X-ray,2.30 A,True,True
O00592,PODXL,1,439,439,0,0,0.0,0,0.0,,0,,,True,False
P23471,PTPRZ1,1,1612,1612,6,371,23.0,371,23.0,3JXF,269,X-ray,2.00 A,True,True
Q15858,SCN9A,16,79,336,43,336,100.0,79,100.0,21TP,336,EM,3.00 A,True,True
P37088,SCNN1A,1,456,456,3,456,100.0,456,100.0,6WTH,456,EM,3.06 A,True,True
Q7Z5N4,SDK1,1,0,0,0,0,0.0,0,0.0,,0,,,True,True
Q3KNW5,SLC10A6,5,29,58,0,0,0.0,0,0.0,,0,,,True,True
Q9UP95,SLC12A4,4,122,184,8,184,100.0,122,100.0,6KKR,184,EM,2.90 A,True,True
Q9BXP2,SLC12A9,6,253,368,0,0,0.0,0,0.0,,0,,,True,True
Q9BXS9,SLC26A6,4,50,117,1,117,100.0,50,100.0,8OPQ,117,EM,3.28 A,True,True
Q9NRM0,SLC2A9,6,35,91,6,91,100.0,35,100.0,8Y65,91,EM,3.51 A,True,True
Q13433,SLC39A6,4,297,362,0,0,0.0,0,0.0,,0,,,True,False
P08195,SLC3A2,1,425,425,43,425,100.0,425,100.0,6IRS,425,EM,3.30 A,True,True
Q8N4M1,SLC44A3,0,0,0,0,0,0.0,0,0.0,,0,,,True,True
Q53GD3,SLC44A4,5,174,344,0,0,0.0,0,0.0,,0,,,True,True
Q5BKX6,SLC45A4,6,13,40,2,40,100.0,13,100.0,9GHZ,40,EM,3.25 A,True,True
Q9NQ40,SLC52A3,6,62,146,1,146,100.0,62,100.0,8XSN,146,EM,3.29 A,True,True
Q99835,SMO,4,202,295,15,295,100.0,202,100.0,6OT0,295,EM,3.90 A,True,True
Q99523,SORT1,1,678,678,17,678,100.0,678,100.0,3F6K,678,X-ray,2.00 A,True,True
O15455,TLR3,0,0,0,20,0,0.0,0,0.0,1ZIW,0,X-ray,2.10 A,True,True
Q6UXF1,TMEM108,0,0,0,0,0,0.0,0,0.0,,0,,,True,False
Q9NV96,TMEM30A,0,0,0,33,0,0.0,0,0.0,6K7G,0,EM,3.30 A,True,True
O14798,TNFRSF10C,0,0,0,0,0,0.0,0,0.0,,0,,,True,True
O95858,TSPAN15,2,121,139,3,139,100.0,121,100.0,8ESV,139,EM,3.30 A,True,True
O60637,TSPAN3,2,106,124,0,0,0.0,0,0.0,,0,,,True,True
O75954,TSPAN9,2,97,118,0,0,0.0,0,0.0,,0,,,True,True
Q16880,UGT8,0,0,0,0,0,0.0,0,0.0,,0,,,True,True
O75841,UPK1B,2,122,146,0,0,0.0,0,0.0,,0,,,True,True
